word,support,adjSupport,frequency
گوشی,0.30096694731424,0.1704739799658,32744
صفحه,0.04901834626273,0.14269641852616,5333
دوربین,0.059928673848303,0.22101226993865,6520
سامسونگ,0.045286591418802,0.076720113659428,4927
کیفیت,0.051408140005147,0.249597711425,5593
قیمت,0.065563072171771,0.21701948689191,7133
شارژ,0.028732673995367,0.16538707613564,3126
دوستان,0.04276811647487,0.04341285192349,4653
خرید,0.10302768484135,0.074672138460166,11209
افزار,0.031352255597632,0.19231896804456,3411
اپل,0.026379646310526,0.070383275261324,2870
نمایش,0.034817456524137,0.17713833157339,3788
دست,0.05378874223317,0.10611756664388,5852
رنگ,0.024412662230229,0.053840361445783,2656
کالا,0.033521452994595,0.051823416506718,3647
سرعت,0.018787455421155,0.22260273972603,2044
اثر,0.012831354093901,0.18553008595989,1396
باتری,0.031591234971874,0.21210357870236,3437
بهتر,0.063577705062686,0.13690906462339,6917
حافظه,0.012518842604508,0.061674008810573,1362
انگشت,0.0138883782492,0.18861681005956,1511
مدل,0.024973344608258,0.060360691939639,2717
سونی,0.019531968087062,0.072470588235294,2125
بازی,0.025938453619618,0.089652728561304,2822
اندروید,0.025874113018861,0.068561278863233,2815
برنامه,0.017151365859039,0.069667738478028,1866
امکانات,0.018631199676459,0.22446965959546,2027
موجود,0.022997169013567,0.025579536370903,2502
پیشنهاد,0.019826096547667,0.08993973110802,2157
ساخت,0.014136549137836,0.19115734720416,1538
مقایسه,0.016894003456009,0.022306855277476,1838
کارت,0.01722489797419,0.044290288153682,1874
قیمتش,0.019054009338579,0.29232995658466,2073
برند,0.02246406117872,0.067921440261866,2444
آیفون,0.015487701753741,0.074183976261128,1685
باطری,0.019982352292364,0.2097516099356,2174
بازار,0.014936210890106,0.058461538461538,1625
توجه,0.020864737674179,0.05726872246696,2270
طراحی,0.016287363506011,0.17494356659142,1772
نور,0.013520717673444,0.18830727396329,1471
ایفون,0.012739438949961,0.067821067821068,1386
تاپ,0.019697415346152,0.13205786280915,2143
عکس,0.01604838413177,0.11912943871707,1746
باهاش,0.013943527335564,0.14172709294661,1517
گوشیه,0.017877495496158,0.33521850899743,1945
هواوی,0.01186624508254,0.080557707203718,1291
دوربینش,0.013768888562079,0.30841121495327,1498
لگ,0.010818412441634,0.16142735768904,1177
سیم,0.016268980477223,0.037853107344633,1770
ساعت,0.013842420677231,0.042496679946879,1506
قابلیت,0.012178756571933,0.11018867924528,1325
نوت,0.012849737122688,0.070815450643777,1398
رده,0.043705650943049,0.1062039957939,4755
گیگ,0.015754255671164,0.043757292882147,1714
حرف,0.018603625133277,0.062747035573123,2024
شرکت,0.0120776499136,0.040334855403349,1314
ارزش,0.01139747784845,0.11451612903226,1240
هفته,0.011489392992389,0.0376,1250
انتخاب,0.01334607889996,0.12947658402204,1452
راحت,0.018842604507519,0.079512195121951,2050
"صفحه نمایش",0.029633442405971,0.13523573200993,3224
"اثر انگشت",0.010873561527997,0.12172442941674,1183
