positivePoints,negativePoints,commentText,like,dislike,"کيفيت ساخت","ارزش خريد به نسبت قيمت",نوآوري,"امکانات و قابليت ها","سهولت استفاده","طراحي و ظاهر"
,,"سلام .
من وقتی که تازه بیلد 1607 اومده بود خریدم و الان این بیلد خیلی قدیمی شده . توصیه میکنم اگه خریدید با کیت آپدیت مخصوصی که خود مایکروسافت داده خیلی آسون و سریع به Creators آپدیت کنید تا متوجه تغییرات چشمگیر ویندوز ده تو این بیلد بشید .
ممنون که خوندید",0,0,5,5,5,5,3,3
"ويندوز 10 عاليه","بيلد قديمي","اینو من توی پیشنهاد شگفت انگیز خریدم و میارزید
اما بیلدش قدیمی شده دیگه و جدیدا اپدیت سازندگان اومده که اون خیلی عالیه
البته این CD هنوز نصبش نکردم ببینم چطوریاس
ممنون از دیجی کالا",0,0,3,4,3,5,3,3
"پشتيباني از برنامه هاي Win Store بهينه شده براي لپ تاپ ها و ...","براي سيستم هاي ضعيف کند عمل ميکند","نو آوری فوق العاده مایکروسافت نکته: فقط موقع نصب فضای بیشتری به درایو C بدهید.",2,0,5,5,5,5,4,3
"طراحي که به صورت مخلوط دو ويندوز8و7است
نصب سريع و. با بالاترين سرعت ممکن","اوايل کار با هاش سخته ولي دو سه بار باهاش کار کني دريت ميشه","هیچ مشکلی نداره. عالی است",4,0,5,5,5,5,4,5
"سرعت لود بالا
کاربري شيک
نوار جستجو دقيق تر به اسم cortana
خيلي رديفه","بازي هاي قديمي رو نميتونيد نصب کنيد
براي بازي فقط ويندوز هفت","خیلی عالیه . فقط تو پیشنهاد ویژه و زمانیکه چندتا خرید دارید بخرید . از دیجی کالا بعیده نوشته بالا یکصد هزارتومان هزینه ارسال نمیگیرن ولی میگیرن . امیدوارم برطرف کنن لین مشکل را . سپاس",4,1,5,1,5,5,3,3
,,"معلوم نیست جهت لب تاب هم میشه استفاده کرد یا نه",0,6,3,3,3,3,3,3
عالي,نداره,"عالیه که قابلیت Remote desktopداره که home نداره دوتاشون یکیه اما قابلیت pro از home بالاتره و برای بازی هیچ فرقی نداره که home یا pro بگیری",3,2,3,3,3,3,3,3
,,"اخرین بیلد ویندوز 10 که تاحالا انتشار یافته همه اپدیت ها همراهش هست نصبشم مشکلی نداشت راحت و اکتیوو
(چند سال ویندوز 10 اومده دیگه نیازی به توضیح بیشتری نیست مخصوصا برسی در مقابل ویندوز 8.8.1.7 و .... )",3,0,4,5,4,5,5,4
,,"راحت نصب میشه واقعا",3,0,3,3,3,3,3,3
,,"سلام دوستان یه راهنمایی درباره ویندوز 10 اولا اگه میخوای نصب کنی حتما نسخه 64 بیت نصب کن چون روی 32 یه مقدار ویندوز لگ داره اگه زیاد اهل بازی نیستی نسخه pro پیشنهاد نمیشه در کل ارزش داره ویندوز 10 نصب کنی یکی از بهترین دلیلاشم برگشتن دوباره استاپ که تو ویندوز 8/1 نبود سرعت بوت شدن سیستم هم معمولا کمتر از 10 ثانیه است که عالیه البته بدی هایی هم داره مثل این که ویندوز دیفنصر خیلی رو اعصابه و مثل نسخه های قبل نیست که بشه برای همیشه خاموشش کرد تو ویندوز 10 نهایتا میزاره یک ساعت خاموش باشه و به محض این که فعال میشه شروع میکنه به گیر دادن به کرک ها که خیلی بده یکی دیگه از بدی هاشم اینه که اگه به هر دلیلی بخاین به ویندوز های قبل برگردی کلا باید این فکر از سرت بیرون کنی چون ویندوز 10 به هیچ عنوان به نسخه های قبل بر نمیگرده حتی با فرمت کردن هارد!!!! البته در نسخه های پولی تا یک هفته فرصت برگشت داره ولی خوب تو ایران امکانش نیست ولی در کل به نظر من ارزش اپدیت کردنش بیشتر موفق باشین",1,0,5,5,5,5,5,3
"همه چي","هيچ چي","سلام جای تشکر داره از دیجی کالا
وقتی من روی لپ تاب ایسوز نصب کردم تو 11 ثانیه قشنگ میاد تو ویندوز
فوق‌العاده است",2,1,5,5,5,5,5,3
"همون طراحي عادي ويندوز برگشته
سريع تر بوت ميشه
نصب آسوون",هيچي,"خیلی از ویندوز 8 و 7 بهتره و قابلیت های بیشتری داره مخصوصا Cortana امنیتشم کمی ضعیفه",15,28,5,4,4,5,3,5
,,"عالی بود راحت نصب شد پیشنهد میکنم حتما تهیه کنید",19,13,4,5,4,4,5,5
"قيمت عالي کيفيت ساخت نصب اسان و سريع",ندارد,"سلام اینو تو پیشنهاد شگفت انگیز خریدم نصبش خیلی اسون و خوب بود",25,9,5,5,5,5,0,5
,,"خیلی عالی و کامله",15,10,5,5,5,5,5,5
"قيمت بسيار ارزان
کيفيت عالي",,"عالبه خیلی خوشم اومد شما هم بخرید.
مرسی دیجی کالا",15,9,5,5,5,5,5,5
,,"خوبه راضیم",19,8,3,3,3,3,3,3
"دي وي دي 9 گيگه و درايورهاي متعددي داره
نصب راحت و سريع
خيلي زود بوت ميشه و سيستم مياد بالا
روي لپتاپ و پي سي نصب ميشه",نداره,"من از این ویندوز راضی هستم. موقع نصب ویندوز اصلا اذیت نکرد",34,8,5,5,3,3,5,3
"سرعت لود بالا
کاربري شيک
نوار جستجو دقيق تر به اسم cortana
خيلي رديفه","بازي هاي قديمي رو نميتونيد نصب کنيد
براي بازي فقط ويندوز هفت","خیلی عالیه . فقط تو پیشنهاد ویژه و زمانیکه چندتا خرید دارید بخرید . از دیجی کالا بعیده نوشته بالا یکصد هزارتومان هزینه ارسال نمیگیرن ولی میگیرن . امیدوارم برطرف کنن لین مشکل را . سپاس",4,1,5,1,5,5,3,3
,,"معلوم نیست جهت لب تاب هم میشه استفاده کرد یا نه",0,6,3,3,3,3,3,3
عالي,نداره,"عالیه که قابلیت Remote desktopداره که home نداره دوتاشون یکیه اما قابلیت pro از home بالاتره و برای بازی هیچ فرقی نداره که home یا pro بگیری",3,2,3,3,3,3,3,3
,,"اخرین بیلد ویندوز 10 که تاحالا انتشار یافته همه اپدیت ها همراهش هست نصبشم مشکلی نداشت راحت و اکتیوو
(چند سال ویندوز 10 اومده دیگه نیازی به توضیح بیشتری نیست مخصوصا برسی در مقابل ویندوز 8.8.1.7 و .... )",3,0,4,5,4,5,5,4
,,"راحت نصب میشه واقعا",3,0,3,3,3,3,3,3
,,"سلام دوستان یه راهنمایی درباره ویندوز 10 اولا اگه میخوای نصب کنی حتما نسخه 64 بیت نصب کن چون روی 32 یه مقدار ویندوز لگ داره اگه زیاد اهل بازی نیستی نسخه pro پیشنهاد نمیشه در کل ارزش داره ویندوز 10 نصب کنی یکی از بهترین دلیلاشم برگشتن دوباره استاپ که تو ویندوز 8/1 نبود سرعت بوت شدن سیستم هم معمولا کمتر از 10 ثانیه است که عالیه البته بدی هایی هم داره مثل این که ویندوز دیفنصر خیلی رو اعصابه و مثل نسخه های قبل نیست که بشه برای همیشه خاموشش کرد تو ویندوز 10 نهایتا میزاره یک ساعت خاموش باشه و به محض این که فعال میشه شروع میکنه به گیر دادن به کرک ها که خیلی بده یکی دیگه از بدی هاشم اینه که اگه به هر دلیلی بخاین به ویندوز های قبل برگردی کلا باید این فکر از سرت بیرون کنی چون ویندوز 10 به هیچ عنوان به نسخه های قبل بر نمیگرده حتی با فرمت کردن هارد!!!! البته در نسخه های پولی تا یک هفته فرصت برگشت داره ولی خوب تو ایران امکانش نیست ولی در کل به نظر من ارزش اپدیت کردنش بیشتر موفق باشین",1,0,5,5,5,5,5,3
"همه چي","هيچ چي","سلام جای تشکر داره از دیجی کالا
وقتی من روی لپ تاب ایسوز نصب کردم تو 11 ثانیه قشنگ میاد تو ویندوز
فوق‌العاده است",2,1,5,5,5,5,5,3
"همون طراحي عادي ويندوز برگشته
سريع تر بوت ميشه
نصب آسوون",هيچي,"خیلی از ویندوز 8 و 7 بهتره و قابلیت های بیشتری داره مخصوصا Cortana امنیتشم کمی ضعیفه",15,28,5,4,4,5,3,5
,,"عالی بود راحت نصب شد پیشنهد میکنم حتما تهیه کنید",19,13,4,5,4,4,5,5
"قيمت عالي کيفيت ساخت نصب اسان و سريع",ندارد,"سلام اینو تو پیشنهاد شگفت انگیز خریدم نصبش خیلی اسون و خوب بود",25,9,5,5,5,5,0,5
