positivePoints,negativePoints,commentText,like,dislike,"کيفيت عمومي پخش صدا","امکانات و قابليت ها",ارگونومي,"کيفيت ساخت","ارزش خريد در برابر قيمت"
"راحت بودن در گوش","احساس ضعيف بودن صدا بعد مدتي","هندزفری جالبیه فقط کیفیت صداش حس میکنم کمه اونم فکر کنم بخاطر پد راحتی گوششه که صدا رو یکم خفه میکنه در کل خوبه با این قیمت",0,0,4,3,3,4,3
"کيفيت صدا مناسب
شکل ظاهري زيبا
قيمت مناسب","نازک بودن سيمش","واقعا از خریدم راضیم - صدای خیلی خوبی داره و البته شکل زیبایی هم داره و بخاطر داشتن قسمت های الومینیومیش هم زیبا شده و هم استحکام داره .
با چنین قیمتی من فکر میکنم بهتر انتخاب در دیجی کالاست .
امتحانش کنید...",0,0,5,4,4,4,5
"صداي خوب رابط فلزي ساختار شکيل","ضيف بودن سيم","دوستان چند روزی میشه این هندزفری رو خریدم اول که بازش کردم یکه خوردم چون خیلی ظریف هستش نسبت به هندزفریهای که دارم رو راست روی نظراتی که دوستان نوشته بودن خرید کردم برای دم دستی چون همون روز 3 تا مدل مختلف سفارش دادم ولی واقعا اصلا نسبت به قیمت که هزینه این مدل کردم انتظار نداشتم خیلی خیلی خیلی عالی صداش از هر لحاظ الان دارم باهاش موزیک گوش میدم البته نا گفته نباش من نرم افزار اورجینال جت آیدیو رو گوشیم نصب کردم و اکولیزرشوتقویت کردم این اصلا کم نمیاره از بیس واقعا از دوستان ممنون نظرات منصفانه در مورد این هندزفری دادن و منم خریدمش ببخشید نظرم طولانی شد",1,0,4,3,3,3,5
"صداش به قيمتش مي ارزه","کيفيت معمولي و نه چندان بالا","در کل از خریم راضی هستم
توی پیشنهاد ویژه خریدم، البته باید یه ماهی کار کنه تا دقیقا مشخص بشه چطوریاست. ولی الان تو این دو روزه خوب بوده",0,0,4,3,5,3,5
"صداي خوبي داره
قيمت مناسب
شکل ظاهري عالي","سيم ضعيف و نازک","نسبت به قیمت اش واقعا عالیه... 4 تا هم سر گوشی اضافی داره و شکل و استایل اش خیلی قشنگه.. کیفیت صداهم عالیه",0,0,5,5,5,5,5
"قيمت پايين
کيفيت مناسب ساخت گوشي ها
کيفيت صداي مناسب","سيم کوتاه و نه چندان مستحکم","توی این رنج قیمت قطعا بهترین گزینه هست و کیفیت ساخت و کیفیت صداش ( نسبت به قیمتش ) خوبه و از خریدم راضی ام",0,1,3,2,3,2,5
,,"اگه تو این قیمت دنبال یه هدفون (هندزفری) خوب هستید این رو حتما پیشنهاد میکنم!
پشیمون نمیشید",0,0,3,4,3,4,5
"همه چي خوب","جنس سيم نازکه","در کل راضیم نسبت به قیمتش واقعا خوبه کیفیت صداش عالیه",1,0,4,3,4,3,4
"بيس عالي تفکيک صداي عالي",,"تو این قیمت بی نظیره ، تمام جزئیات و کلیات واضح و شفافه
بیس محشره و واقعا موزیک گوش دادن خستتون نمیکنه و روی ولوم صداش سرتونو درد نمیاره
تمام تس تس ها و ریزه کاری های آهنگ واضحه و آهنگ گوش دادنو لذت بخش میکنه.
پیشنهاد میکنم حتما بخرین .",1,0,4,3,5,5,5
"بِيس عالي
تفکيک صداي خواننده با ريتم عالي",,"همین الان بدستم رسید ، حرف نداره
صدای بیس عالی ، صدای تس تس ها عالی و در کل صدای جزئیات و کلیات به زیبایی تمام شنیده میشه و همچنین بعضی از هدفون ها بیش از حد صدای بیس بالایی دارن ولی تو این مورد خیلی شفاف و واضحه . تو این قیمت بی نظیره.",1,0,4,3,5,5,5
,,"گوش سمت راستش بعد یه ماه استفاده خش خش افتاده یکم و سر اتصالشم یکم قطعی پیدا کرده",0,1,3,1,3,0,2
,,"شک نکنید تو خردیش عالیه",0,0,5,5,5,5,5
"بيس مناسب
وضوح خوب
طراحي ظاهري","اتصال سري به جک 3.5 ميلي متري","این هدفون به نسبت قیمت کیفیت واقعا خوبی رو داره و من فک نمیکردم اینطوری باشه در کل نسبت به پولی که میدین خوبه چون گارانتی 18 ماهه هم داره",0,0,4,4,4,4,5
,,"خیلی زود خراب شد!!!خیلی",0,0,3,2,2,0,1
