positivePoints,negativePoints,commentText,like,dislike,"کيفيت پخش صدا","کيفيت ساخت","ارزش خريد در برابر قيمت","امکانات و قابليت‌ها"
"قيمت ارزون",,"سلام دوستان خسته نباشین منبع تغذیه 5 امپر جدا گذاشتم براش برقش جدا کردم از usb نویز خب شد",0,0,3,3,3,3
"کيفيت خوب نسبت به قيمت","نداشتن کابل براي اتصال مستقيم به برق","منبع تغذیه ی بلنگو برق شهری نیست ، باید به usb وصل بشه
اگه از لپ تاپ یا کامپیوتر استفاده میکنید ، چون هم جک 3.5 و هم usb به کامپیوتر وصل میشن ، نویز روی صدا میفته

برای رفع نویز کابل usb رو به آداپتور گوشی وصل کتید و بعد بزنید به برق (خروجی آداپتور ترجیحا 1 آمپر باشه)

صدای بلندگو هم واسه ی اتاق نه تنها کفی نیست بلکه زیاد هم هست

دو روز هست که خریدمش",1,0,3,3,5,3
,,"امروز رسید به دستم . بلندی صداش فقط به درد یه اتاق میخوره ولی کیفیتش خوبه. در کل برای من که فقط واسه یه اتاق معمولی میخواستم باید بگم عالیه.
پیشنهادم اینه که حتما شما هم خریداری کنید",1,0,3,3,3,3
,,"قبلا نظرم را نوشته ام ، اما به دو نظر پاسخ می دهم . یک اینکه ، اصلا نیاز به کامپیوتر نمی باشد! کابل و فیش USB در این دستگاه فقط برای رساندن برق می باشد و می توان با یک شارژر مبایل آن را تغذیه کرد و ورودی صدا همان فیش 3.5 م م است، پس از اکثر دستگاهها می تواند به عنوا ن ورودی استفاده کرد ! در مورد نویز هم توجه کنید که بسیاری از وسایل نویز ایجاد می کنند ،از جمله خود کامپیوتر ویا شارژر های نامرغوب که با تعویض آنها می توان از میزان نویز کم کرد ولی در مجموع کیفیت صدا قابل قبول است و آنقدر نویز زیاد نیست که موسیقی تحت شعاع قرار گیرد.موفق باشید.",2,0,4,5,5,3
نميدونم,نميدونم,"باید نگاه کنید چجوری نویز داره",0,0,0,0,0,0
,,"تقریبا یک هفته هست که خریدمش و اصلا ازش راضی نیستم. صداش بد نیست ولی وقتی موزیک یا فیلمی پخش نمیشه. پر از سرو صداست و واقعا آدم رو کلافه میکنه پیشنهاد میکنم این اسپیکر رو نخرید دوستان خیلی نویز داره",0,2,3,3,3,3
,,"پس از خریدن متوجه میشوید بایدباًیواس بی و سوکت متصل گردد و بدون رایانه قابل استفاده نیست البته بدون تمهیدات اضافی",0,2,2,2,2,2
"سبک وکوچک
ارزان وساده
داراي ساب ووفر، آن هم با جعبه اي ازنوع MDF
ورودي منبع تغذيه usb که با يک آداپتور کوچک هم مي توان آنرا تغذيه کرد.
سازگار با هر وسيله اي که خروجي صداي 3/5 mm داشته باشد .","نداشتن کنترلهاي کافي تنظيمات صدا
جنس ووفر (نه بدنه ي آن) معمولي است وبيس عميقي از آن خارج نمي شود!
قدرت نسبتاً کم ،هرچند براي يک اتاق زياد است !
عدم وجود محافظي روي ووفر هرچند که در کف جعبه اش قرار دارد!","با سلام ،این دستگاه کوچک ارزانترین نمونه ی دارای ساب ووفری است که در زمان نوشتن این متن در دیجیکالا می توانید بیابید ! خروجی آن به دو اسپیکر جانبی از نوع 3/5 mm است پس می توانید هدفون را نیز به آن وصل کنید ! فقط صدای ساب ووفر قابل قطع شدن نیست که مسلماً باعث مشکل می شود ! من برای حل آن یک کلیدقطع و وصل ، بین مدار آمپلیفایر و بلندگوی ساب قرار دادم و آنرا در پنل دستگاه که ولوم صدا نیز در آنجا می باشد نصب کردم ! در واقع مشکل عدم وجود خروجی هدفون هم حل شد! آن هم به بهترین نحوه ، چرا که قدرت خروجی برای هدفون زیاد است و باید هدفونهای پر قدرت را به آن وصل کرد نه انواع « تو گوشی و ظریف را »
نکته دیگر ، آنکه شما کنترل مستقیم روی بیس و تریبل صدا ندارید ! که البته با توجه به قیمت دستگاه کاملاً قابل قبول است ، هرچند که از طرف منبع « مبایل ‌ـ کامپیوتر ـ پلیر و ...» می توانید آنرا اکولایز کنید.
مطلب بعدی آنکه در اغلب دستگاه های دارای ساب ، فیلتر پایین گذر ، فقط به فرکانسهای خیلی پایین و بم ، اجازه عبور می دهند ولی در اینجا کمی فرکانسهای بالاتر نیز عبور می کنند که ایده آل نمی باشد.
نکته بعد، سیم ورود صدا و ورودی تغذیه ی USB تا 5 سانت آخر مشترک و به هم پیوسته است ولی میتوان با کشش دو رشته سیم را از هم جدا کرد ولی بهتر آن بود که این دو از ابتدا جدا و با فاصله از هم می بودند زیرا به طور معمول سیم و مدار تغذیه می توانند روی سیم و سیگنال صدا ایجاد نویز کنند و این دستگاه هم از این قاعده مستثناء نیست. در ضمن طول این سیم حدود یک متر است و شاید کمی کوتاه باشد.
با تمام این تفاسیر این دستگاه کوچک و ارزان می تواند صدایی را تولید کند که دستگاه های گرانتر ولی فاقد ساب از انجام آن عاجزند، آن هم با گارانتی شرکت تسکو که انصافاً محصولات مقرون به صرفه و با کیفیت خوب را به دست مشتریان می رساند!
با تشکر از وقتی که صرف کردید و امید به مفید بودن برای تصمیمتان.",4,1,4,5,5,3
,,"نسبت به قیمتش عالیه",6,0,5,5,5,5
,,"کیفیت صداش پایینه ومنبع تغذیش برق شهرنیست",6,2,1,5,2,2
