positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","کارآيي و عملکرد","امکانات و قابليت‌ها","کيفيت ساخت","طراحي و ظاهر"
"اندازه کوچک
سرعت خوب",,"از بقیه مودم ها بهتره چون مودم همراه باید کوچیک باشه باتریشم ی روز میبره تا خالی بشه البته ی روز سخت عالی",0,0,5,5,5,5,5
,,"خدمتون بگم که اونطوری که فک میکنین نیست سرعتش خیلی زیاد نیست؛من گوشیمو وصل میکنم به کامپیوتر سرعت دانلودم 1.9Mbs هست همون سیمکارت و گذاشتم تو این سرعتش 1Mbs بود ؛کیفیت صفحشم خیلی خوب نیست ؛در کل بد نیس ولی شما وقتی گوشی هوشمند دارین میتونین از اون به عنوان مودم هم استفاده کنین",0,1,3,4,3,3,3
,"داشتن باتري","یکی از ضعفهای این دستگاه اینه که باتری داخلی داره، باتری داخلی هم یه عمر مشخص داره و بعداز اون دچار مشکل میشین. من خودم DLink dwr910 خریدم که هم 4G هست و هم بدون باتریه که به یه شارژر usb متصلش کردم.دیگه نگران خراب شدن باتری نیستم و قیمتشم مناسبه.تو ماشین هم میشه با یه شارژر usb ازش استفاده کرد و راحته.مدلی که معرفی کردم درکل با قیمت کمتر و کیفیت بهتر به همراه اجرای کدهای ussd و نرم‌افزار موبایل شمارو بی نیاز میکنه اگه باتری براتون مهم نیست. ممنون از دیجیکالا که dwr910 رو شگفت‌انگیز کرد.",1,3,2,3,4,4,4
عاليه,عاليه,"عالیه عالی",1,0,3,3,3,3,3
,,"همین پولو بده یه مودم usb و یه پاور بانک بگیر حالشو ببر نه موقع دانلود با کامپیوتر که باید یه گیرنده وای فای هم بگیری نگران تموم شدن باطریش هستی و نه باطریش و که اگه شارژ کامل بشه و یادت بره از شارژ بکشیش منفجر بشه سال خوبی داشته باشید تجربه ام عیدی به شما",1,2,0,1,3,5,5
"کيفيت عالي بدنه
آنتن دهي قوي
باطري عالي
رابط کاربري بسيار ساده",نداره,"این مودم امروز به دستم رسید به محض اینکه سیمکارت انداختم روش خودش وصل شد 4G رو خودش وصل شد انتن دهی و سرعتش واقعا عالیه حرف نداره",1,0,4,5,4,5,5
نداره,,"به نظر من این مودم بهترین مودم قابل حمل هستش و اینکه تو خریدش شک نکنید و اینم بگم بنازم به شانس خودم درست سه ساعت بعد زمانی که اینو خریدم که میشه روز بعدش بهش پیشنهاد ویژه خورد که ثابت بشه من بدشانس ترین شخص هستم.",11,0,4,5,5,5,5
,,"مودم خوبیه اما از cat4 استفاده میکنه و اگر سرعت بیشتری میخوایید باید از مودم های cat6 استفاده کنید که در حال جاضر اپراتور های کشور هم پشتیبانی میکنن از این سرعت که همون 4.5G هستش",7,0,4,3,4,3,4
"سايز و وزن کم =جيبي واقعي
سرعت بالا
شارژدهي خوب و داراي سيستم power saving در حالت غير فعال بودن wifi
دو باندفرکانسي 2.4 و 5 گيگاهرتزي
کيفيت خوب درساخت بدنه و صفحه نمايش","نداشتن شارژر همراه دستگاه
برد کم wi-fi","این مودم و از پیشنهاد شگفت انگیز خریدم و در این 1ماه استفاده واقعا هیچ مشکلی باهاش نداشتم حتی در حال حرکت بودن ماشین هم مشکل سیگنالی نداشتم، من باسیم کارت ایرانسل و حالت انتن دهی 4جی پرفکت با قدرت سیگنال کامل استفاده میکنم که سرعت خیلی خوبی میده،امکانات دیگه این مودم برنامه tpmifiوصفحه نمایش که کار با مودم و واقعا راحت کرده، تنها مشکل این مودم با توجه به قیمت نسبتابالاش نداشتن شارژر داخل جعبه که باید جداگانه خریداری بشه و برد wi-fiکه بایدنزدیک به دستگاه باشید،در کل این محصول رو به دوستان پیشنهادمیکنم از خریدش پشیمون نمیشن.
{ممنون از دیجی کالا }",1,2,4,5,5,5,5
,,"حدود ی هفته است خریدم ولی اولین بار امروز 8 ساعت یکسره روشن بود و من و همسرم هم زمان استفاده میکردیم اصلا داغ نکرد و بعد 8 ساعت بازم 56% شارژ داشت",2,2,5,5,5,5,5
