positivePoints,negativePoints,commentText,like,dislike,"کيفيت ساخت","کارآيي و عملکرد","ارزش خريد در برابر قيمت","طراحي و ظاهر","سرعت انتقال اطلاعات"
"حجم بالا،سرعت خوب،استحکام","واقعا گران،کمي بزرگ و سنگين (البته فلزيه)درپوش عاديه و نواوري نداره","من یک خوره فلش هستم!! فلشهای زیادی رو بهمراه همین فلش همه رو از دیجی تهیه کردم!!! در کل بخوام مقایسه کنم لکسار 128 که نام بردم که از همه کوچکتره با توجه به قیمت مناسبش عالیه و لسی اکسترمه از همه 128 گیگها سریعتره ولی از این و 265 گیگی یوسی 340 کند تره و سندیسک بواسطه دو سر بودن بیشتر از بقیه مفید بوده خوشبختانه سری یو سی 340 تولیدش متوقف شد و الا حتب با توجه به سرعت خوب انتقل بین اینهایی که نام بردم اصلا توصیه اش نمیکردم چون بدنه اش ضعیفه و قفل چقتش هم هرز میشه و پر از خشش هم شده و البته یو وی 128 رو همخ بعلت بدنه ضعیف پیشنهاد نمیکنم و لسی اکسترمه همه چیش عالیه بجز بزرگی و سنگینی بیش از حد گرون بودنش بصرفه ترین لکسار و اگه دیوایس یو اس بی سی دارین سندیسکه این فلش هم کمی بزرگه و سنگین و درپوش معمولی داره که اگه حواستون نیاشه جا میزارین از یک همچین کالایی با این قیمت کمی نواوری بیشتر انتظار داشتم",2,1,4,4,1,2,5
,,"چندان ارزش خرید نداره ! هرچقدرم سرعت بالایی داشته باشه اولا اگه بخواید سطح بالا و بروز معرفی کنیدش باید بگم که قدیمی شده ! و usb 3.1 نسل اول هست درصورتیکه الان usb3.1 نسل دوم هست و قرار نسل سوم اش هم بزودی بیاد ! اگه بخواید از جنبه دیگه نگاه کنید اکثر سیستم ها usb 3.1 ندارن ! (مال من 3.1 نسل2 داره ولی دلیل نمیشه مال همه داشته باشه ) وقتی اکثر سیستم ها همچین پورت ای ندارن پس عملا بالاترین سرعتی که میشه ازش گرفت usb3 هست
که بنظر من اگه سرعت خیلی بالا براتون مهمه بهترین گزینه ssd external هست که فوق العاده بهتره ! و در کنارش میتونید یک فلش usb3 که سرعت بالا داشته باشه تهیه کنید مثل adata Ue700 یا مدل های بالاتر که از همه نظر امکانات شما تکمیل میشه",10,30,3,3,2,3,4
"يو‌اس‌بي 3.1 که بالاترين سرعت رو در انتقال اطلاعات داره
طراحي زيبا
وزن کم نسبت به هارد و کوچکي که مزايايي بيشتر نسبت به هارد است","ضدآب و ضد ضربه و ... نبودن
قيمت بالا","من خودم 3 تا از این فلش ها از بازار خریدم‌. دو تاشون برای شرکت و یکیشم برای خودم
بی نظیره و عالی در انتقال سرعت
طراحی بی نقصی داره
نسبت به هارو که اون همه حجم داره و وزن زیادی داره خیلی می‌ارزه",7,19,4,5,4,4,5
,,"در پاسخ به دوستمون باید بگم که فلش به طور کلی از هارد دیسک خیلی بهتر هست برای حفظ اطلاعات بدلیل اینکه هارد دیسک یک دیسک گردان داره و هر لحظه ممکن هست که عیب و یا خرابی توش ایجاد شه حتی ضد ضربه ترینش ، اما فلش مموری به دلیل ساختار ساده ترش در مقابل ضربه و شوک فوق العده مقتوم تر هست و با توجه به جنس بدنه این نمونه و اسمی که واسش انتخاب شده میشه حدس زد که برای فایل های با ظرفیت کم و بسیار مهم بهترین محل ذخیره سازی هستش",7,22,5,5,2,5,3
"ظرفيت بالا در حجم کم","قيمت بالا","فناوری های نظامی چند دهه از فناوری های تجاری جلوتره ولی گاهی فناوری صنعتی هم جلوتر از تجاری هست.
4 سال پیش محل کارم یه فلش 2 ترابایتی دیدم ولی از اون موقع هنوز همچین فلشی وارد بازار نشده است.",1,25,3,3,3,3,3
,,"نسبت به ظرفیت و حجم اش قیمت معقولی داره...به نظر من پورتابل بودنش در کنار ظرفیت بالا خیلی با ارزشه",3,12,5,5,5,5,5
"حافظه زياد
امکان سوختن فلش يا پريدن اطلاعات کمه",قيمت,"از روی قیمت و گارانتی میشه فهمید چیز شاخیه
مخصوصا با این مارک معروف
ولی خیلی گرونه پول یک تبلت متوسط به پایینه",4,7,5,5,4,5,5
"طراحي و ظاهر","قيمت خيلي بالا
احتمال گم شدن زياد نسبت به هارد
امکانات کم نسبت به هارد","فلش ظاهرش حرف نداره ولی با این قیمت اصلا عقلانی نیست کسی بجا هارد بیاد فلشی بگیره که ضد اب هم نیست. ضد ضربه هم نیست. فلش معمولا واسه جابجایی ظرفیت کم خوبه ولی این یکی معقول نیست. همین لحظه ای که دارم این رو مینویسم هارد اس اس دی سیلیکون پاور با همین ظرفیت به همین قیمت هست. اگر سرعت مهم نباشه که با نصف قیمت همون اس اس دی میشه بهترین یه ترابایتی رو خرید",10,3,4,1,0,5,4
,,"واقعا ریسک بزرگی هست داشتن همچین فلشی یه هارد اکسترنال بهترین کیفیت و ضد ضربه و اب پایینتر از این قیمت و کاربردی تر",9,2,5,5,5,5,5
"ظرفيت بالا","قيمت بالا.مستعد خرابي بالا","خرید با این ظرفیت یه ریسکه مخصوصا ضد ضربه و ضد شوک نیست معمولا فلش برای ظرفیت کمه. با این قیمت میشه یه هارد اکسترنال خوب و با کیفیت خرید . اگر این فلشو اگه بخوای همیشه همراهت باشه احتمال خرابی زیاده اگه هم گاهی اوقات باشه بهتره هارد استفاده بشه",61,6,3,3,3,3,3
