positivePoints,negativePoints,commentText,like,dislike,"طراحي و زيبايي","کيفيت تصوير","امکانات و قابليت‌ها","ارزش خريد در برابر قيمت","کيفيت ساخت"
"ظاهر زيبا","کيفيت پايين","این مانیتور دیروز رسید دستم. برای بازی و دیدن فیلم شاید بد نباشه. اما اگر برای مطالعه میخواید اصلا توصیه نمیکنم. نور صفحه شدیدا آزاردهنده است حتی اگر درخشش و کنتراست رو روی حداقل بگذارید. متن ناخوانا است و نمیشه کاریش کرد. IPS بودنش هم زیر سواله. وقتی به این فکر میکنم که باید مدتها با این سر کنم دچار وحشت میشم. چشمم تو همین یه روز دچار تاری شده. پسشم نمیتونم بفرستم چون پلاستیکاشو جدا کردم. باید بگم بخاطر نظرات مشتریای دیجی کالا خریدم که البته اگر این نظر منتشر نشه مشکوک میشم.",1,1,3,0,0,0,0
"واقعا IPS هستش و از هر جا يکجور ديده ميشه
شيک بودن و قابل قبول بودن","نميتونيم به صورت عمودي بالا پايينش بياريم","سلام دوستان گرامی. این مانیتور واقعا کارش درسته و واقعا IPS هستش. باور اول که خریدم چون لبتابمو وصل کردم برای تست کردن تنیظیماتش با لبتابم نمیخورد. رزولوشن لبتابم خیلی پایین بود. اما واقعا رنگ‌های این مانیتور واقعی‌تر و تنیظماتش هم قابل قبوله. با یه مقدار تنظیم کردن به صفحه‌ی مورد نظرم رسیدم. وزنشم سبکه و در کل ارزشمنده.

ارزش خرید داره. اگه بودجتون برای خرید مانیتور تا این حدودها میرسه حتما این مدلو بخرید. اما اگه قصد خرید مانیتورهای خیلی پیشرفته‌تر دارید یه سری به مدل‌های جدید با قابلیت‌های جدیدتر هم بزنید.",2,0,4,5,4,4,4
"HDMI و خروجي هدفون و قيمت مناسب","هنوز نمي دونم","من کلی توی بازار گشتم فکر کنم هیچ مارک دیگه زیر هفتصد تومن نداریم که امکانات اینو داشته باشه ، من از جعبه که باز کردم خورد تو ذوقم ، گفتم کاش بیشتر پول می دادم چیز بهتر و بزرگتر می گرفتم بعد ار دو سه روز استفاده کاملا از خریدم راضی ام ، نمیگم عالیه ولی همه چیزش در حد قابل قبوله، از قبیل طراحی ، زیبایی ، کیفیت ساخت و امکامات، اگر همین حدود می خواید هزینه کنید این بهترینه، HDMI و خروجی هدفون هم داره، ظاهرش هم بد نیست، اگر لازم شد خدمات پس از فروش ال جی هم همه جا هست",2,0,4,4,4,4,4
"HDMI , کيفيت قابل قبول",-,"راستش اولش که از جعبه باز کردم کمی تو ذوقم زد ولی بعد از کمی کار کردن می بینم که هم کیفیت خوبی داره و هم با این پولی که پرداخت کردم از یک مانیتور خوب استفاده میکنم که پورت HDMI هم داره
کیفیت ساختش هم خوب به نظر میاد ، قیافش هم بد نیست .",2,0,3,3,3,3,3
"کيفيت خوب و ipsبودن",,"مانیتور خیلی خوبی هستش
همینو از دیجی خریدم امروز هم رسید دستم
اگر یک مانیتور با قیمت خوب و کیفیت خوب میخواین این مدل رو بهتون پیشنهاد میکنم.",1,0,4,4,4,4,4
,,"منم این مانیتور رو دارم واقعا از کیفیتش راضیم",3,0,3,5,5,5,3
"کيفيت عالي
قيمت عالي
کابل HDMI ميخوره که با اين قيمت بي نظيره","واقعا ميگم... هيچي","خیلی با کیفیته و واقعا دوست ندارین چشمتونو از روش بردارین...
قیمتشم که میدونید معرکس...
اچ دی ام ای میخوره...
پولتونو الکی صرف خرید مانیتور های گرانتر نکنید این مانیتور هرچیزی که از یک مانیتور خوب انتظار دارین بر اورده میکنه...",4,0,5,5,5,5,5
,,"کیفیت و قیمت خوب . داشتن پورت اچ دی ام ای . و خلاصه همه چیز تموم. برای دوربین مدار بسته و بقیه چیزا عالیه",4,0,5,5,5,5,5
"کيفيت تصوير قابل قبول
پنل IPS
وجود درگاه HDMI","نداشتن کابل HDMI درون کارتن","به نظرم قیمتش مناسبه . من اینو چند روز هست که برای دوربین مداربسته گرفتم . کیفیت تصویرش خوبه و هیچ مشکلی نداره . با دو تا مانیتور دیگه هم تست کردم این مانیتور کیفیتش بهتر بود . من از خریدم راضی هستم فقط کابل HDMI درون جعبه نداره که باید از بیرون تهیه کنید . مرسی از دیجی کالا",7,1,4,5,4,4,4
"رنگ ها از تمامي زاويه هاي ديد مناسب و کاملا درست هست
طراحي نسبتا زيبا","هنوز چيزي مشاهده نکردم","بر خلاف برخی از نظر ها
به نظرم حتما با این قیمت این مانیتور رو انتخاب کنید
ips واقعی هست و هیچ تداخل رنگی از هیچ زاویه ای نداشته و اصلا نتونستم سایه رنگ ببینم
به نظرم عالی هست
ولی تازه خریدم راجع به کیفیت و جنسش زیاد نمیدونم",9,1,4,4,3,5,3
"داراي ورودي HDMI
طراحي بدنه بدک نيس","کيفيت بد صفحه انگار نه انگار IPS هست
به نظر من اصلا خوب نيس کيفيت روشنايي و ترکيب رنگ دستگاه","دوستان پولتون رو هدر ندید و گول IPS رو نخوردید به نظرم پول بیشتر بدید و مانیتور با کیفیت تر بگیرید",3,14,3,1,3,2,1
