positivePoints,negativePoints,commentText,like,dislike,"کيفيت عمومي عکس و فيلم","کيفيت ساخت",ارگونومي,"امکانات و قابليت ها","ارزش در برابر قيمت"
"سنسور خوب
LCD متحرک و با کيفيت رنگ خوب
سبک در مقايسه با غير ميرورلس ها!
گريپ خوب
نيکون!","طراحي غير بهينه دکمه ها
ويزور معمولي با پلاستيک نه چندان استثنايي براي چشم
نداشتن روشي سريع براي جابجايي فوکوس نقطه اي
نداشتن لرزشگير سنسور
نويز زياد در برابر سوني و پنتاکس معادل و نداشتن شاتر الکترونيک","طی یک سالی که این دوربین رو داشتم نکته هایی رو دیدم که خواستم باهاتون به اشتراک بذارم.
1. این نقد ممکنه خیلی مناسب یه آماتور نباشه علی القاعده مشتری این دوربین هم حداقل چندین سال تجربه عکاسی داره . حقیقتش اگه نمی دونید نیکون بخرید یا کنون معلومه خیلی لنز ندارید و قبلا در نهایت یه دوربین از یکی از برندها داشتید پس لطفا از خرید منصرف شید چند ماه تورهای عکاسی و کلاسهای عکاسی شرکت کنید دوربین دیگران رو بگیرید دستتون و وقتی فهمیدید عاشق کباب هستید یا پیتزا همون رو برای یه عمر انتخاب کنید. لنز ها مهم تر از بدنه هستن و وقتی چندتا لنز بخرید دیگه نمیشه برند رو عوض کرد. برای کسایی که میخوان بهو استودیو بزنن و به چشم وسیله پولساز نه کالای هنری بهش نگاه میکنن نمی تونم نظری بدم. این نقد به کارشون شاید نیاد.
2. خیلی نمی تونم با کنون یا پنتاکس یا کلا هر چیز هم سطحی قیاس کنم چون نداشتم و چیزهایی رو تو نت خوندم که شما هم میتونید برید بخونید. صرفا گاهی چیزی اگه نوشتم از روی شنیده ها خونده ها و بعضا مقایسه در کنار دوست و همکاری سر صحنه عکاسی بوده.
3. علت اصلی نخریدن 810 برای من این بود که سنگین تر و بزرگتر بود و برای خارج از استودیو خیلی مناسب هر روز اینور اون ور بردن نبود و اینکه چرخیدن ال سی دی به تجربه بهم اثبات شده تو خیلی از جاها و مخصوصا فیلم برداری مفیده.
4.پنتاکس کی 1 روی کاغذ از این خیلی بهتره با اون تکبنولوژی های عجیبش اما تو بازار کم پیدا میشه (پارسال که نبود) و لنز هم سختر گیر میاد. کیفیت ایزو و اثر حرکت دادن سنسورش هم که گویا عالیه اما حس عکسش و بوکه اش نیکون نمیشه. پنتاکسه! (عادته)
5. فایو دی مارک3 کنون نداشتم ولی وقتی باهاش سریال و فیلم تو هالیوود میسازن و با این نمی سازن.... صدای تر تر فوکوس تو فیلم حتما میفته اگه از میکروفون جدا استفاد نکنید. دیاف با لنز های معمولی پله پله باز و بسته میشه که خیلی جذاب نیست.(مگه لنزهای جدید سریE که یکی دوتا فعلا بیشتر نیستن) کلا فیلم برداریش بیشتر برای رفع جاحت انگار گرچه از 610 و 810 خیلی خیلی بهتره.
6. تو ایزوی بالای 1600 افت کیفیت و کمی نویز تو بخش فلو دیده میشه. در کل بر خلاف عدد و رقم سایت dxomark گفته شده که تا ایزو 2950 بی نویز میشه حسابش کرد. اونقدر هم استثنایی نیست. برای کسی که تا حالا دوربین رده بالا و فول فریم نداشته این حرف صدق نمیکنه و شما تا ایزو 6400 احتمالا حال میکنی.
7.اگه صرفا دنبال عملکرد خوب تو ایزو و سنسور با کیفیت میگردید و نیاز به فوکوس سریع و این کارها ندارید (بیشتر عکاسی غیر خبری غیر اجتماعی یعنی عکاسی هنری، استودیویی و هر عکاسی که با انتخاب از قبل سوژه و ارامش عکاسی میشه) پولتون رو دور نریزید و 610 رو بگیرید. سنسورش خیلی خوبه برید تو dxomark ببینید نمودارهاش رو.
8. بزرگترین عیب دوربین: کوچک بوون ناحیه فوکوس هست که صرفا منطقه مرکزی رو پوشش میده و یه جوری ناامید کننده هست. برای نصف بیشتر سوژه ها مجبورم از دکمه قفل فوکوس استفاد کنم و تو عکاسی اجتماعی که سوژه حرکت میکنه و نیاز به فوکوس 3d (یا همون حرکت موتور فوکوس دنبال سوژه) هست چون خیلی اوقات سوژه بیرون کادر فوکوس هست نمیشه فوکوس کرد و کلا رو اعصابه گاهی. مخصوصا اگه مثل من علاقه به قرار دادن سوژه تو کنارهای کادر داشته باشید منظورم خیلی هم گوشه نیست ها برید ببینید خودتون متوجه میشید. واقعا حیف هست. دی 5 بهتر از اینه تو عکس هایی که دیدم. دی 500 واقعا بهتره (چون کراپ هست). خلاصه کلام اگه فوکوس گوشه کادر به صورت سریع روی جسم متحرک مهمه دوباره فکر کنید.
9. لنز روی دوربین برای یه آماتور خوبه مثل همه لنزهای کیت دیگه (18-55 یا 15-140) اما هر حرفه ای میدونه بر اساس نیازیش یکی از این سه گانه طلایی رو باید بخره: 14-24، 24-70، 70-200 اف 2.8 . فرق این لنزها با مشابه ارزونشون مثلا 24-120 تو افت کیفیت غیر مرکز، شارپنس و دیستورشنشون هست. لطفا نگید چون کوت نانو دارن و روشون N نوشته پس خوبه. سایت dxo برید قشنگ بررسی کنید.
10. طراحی اولیه دکمه ها همون طور که dpreview گفته غلط هست مثلا دکمه تغییر ایزو پشت دوربین سمت چپ هست پس باید دست از زیر لنز بیاد پشت که کلا نمیشه مخصوصا اگه لنز بزرگ باشه این کار بی معنیه. خدا رو شکر اکثر دکمه ها قابل تنظیم هستن من دکمه ضبت فیلم برداری رو در حالت عکاسی برای تنظیم ایزو گذاشتم.( این دکمه بالا بعل ال سی دوم هست)
11. سیستم 3d در منظره های شلوغ و سوژه کوچیک خیلی باگ میده و یکم زیادی ازش تعریف شده مثلا عکاسی از یه پرنده روی دریاچه داشتم انجام میدادم که پرنده حدود 5 درصد کادر رو میگرفت فوکوس بارها رفت روی دریاچه و موج ها (لنز 70-200) گویا دی 500 و دی 5 اوضاعشون بهتره انشاءالله! حقیقتش اینه که دی 5 مارک 3 رو دیدم بهتر عمل میکنه در زمینه قفل فوکوس روی سوژه.
12. اتو اوضاع وایت بالانس فرقی با دوربین های میان رده مثل دی 7200 نمی کنه و کارت خاکستری باید همراه باشه همیشه و باز عکاسی سریع رو مختل میکنه.
13. من جای دکمه های پیریویو و فانکشن رو دوس ندارم راحت نیستن کاش سمت چپ لنز بودن یا داخل گریپ. چون اینجایی گه هستن باید انگشت هام رو از دور گریپ یکم باز کنم و بذارم روی دکمه ها که باعث میشه با لنز یکم سنگین دوربین تعاولش کم بشه و کلا انگشت های من حداقل خیلی راحت نباشه. نمیگم بده اما میتونست بهتر هم باشه. در زمینه تعداد دکمه اوضاع نیکون خیلی بهتر از کنون هست و دکمه ها خیلی خیلی نرم تر هستن.
14. جابجا کردن فوکوس با دکمه خیلی سخت و یه جورایی انگار مال دنیای 10 سال قبله مال زمان گوشی 1100 نه ایفون! برای مثال نیکون دی 5600 ال سی دیش در حالت عکاسی تبدیل به سنسور فوکوس میشه و شما هرجا از فحه رو لمس کنی درجا همون نقطه رو روی کادر فوکوس میکنه. یا دی 500 و دی 5 یه دکمه تاچ کوچیک کنار دکمهAf-ON دارن که با لمسش جای فوکوس رو میشه عوض کرد. کلا انگاری به حرف های کلیشه باید رو اورد و گفت کنون سریع تره تو فوکوس (توضیح بدم مجدد کنون فقط 350دی داشتم سال 87 صرفا از روی چیزهایی که خوندم و دست دوستان و همکاران دیدم )
15. وای فایش بد نیست ولی اگه عکس ها از اول انتخاب نکنید کل کارت حافظه رو اول لود میکنه بعد میشه انتخاب کرد برای دانلود، که خوب لود کردن 1000 تا عکس خودش یکی دو دقیقه طول میکشه و هر دفعه انجامش رو اعصاب میره. من ترجیح دادم یه کارت ریدر OTG بخرم و کارت حافظه رو بزنم زیر گوشی خیلی سریع تره. پس داشتن وای فای همچین مزیتی هم نیست با 35 هزارتومن میشه بهترش رو داشت پس نگران مدل های بدون وای فای نباشید.
16.گریپ دوربین خیلی قویه و اصلا حس افتادن یا سر خوردن نمیده گرچه هنوز دی 300اس و دی 700 نمیشه!! اما رضایت بخشه. با یه لنز یه کیلویی هم خوب و راحته.
17.ویوفایندر کلاسیک و کم امکانات هست بر خلاف میرورلس های جدید اطلاعات زیادی نمایش نمیده. خوب اگه فول فریم نداشتید بدونید تصویرتون بزرگتر میشه که این خودش باعث میشه عکس هاتون خیلی خیلی خیلی بهتر کادربندی بشه. اما دی 810 و دی 500 به دلیل داشتن ویوفایندر با بزرگنمایی بیشتر خیلی بهترن :( اگه عکاس باشید میدونید کادربندی چقدر مهمه هرچی بزرگتر ببینید بهتر میتونید کادر بندی کنید و لایو ویو هم نمی تونه کار ویزور رو براتون بکنه مگه اینکه چشمتون خیلی تمرین کرده باشه. خلاصه که این نکته برای من خیلی مهم تر از وای فای و ژانگورهای دیگه است.
18. فوکوس تو نور کم: تا منفی 3 یا 4 EV بود فک کنم شما که میخوایید بخرید بهتر از من میدونید ولی فقط نقطه مرکز. یعنی باز میشه گفت باید فوکوس رو مرکزی گذاشت تو نور کم و دکمه لاک فوکوس رو نگه داشت یا شاتر رو نیمه نگه داشت (البته فوکوس باید AF-S باشه) و بعد کادربندی کرد که این از شارپ بودن سوژه مخصوصا اگه انسان باشه کم میکنه فقط برای طبیعت اوکی هست شاید. یا اینکه باید سریع کادربندی کرد که دقت رو کم میکنه. نقاط دیگه درسته که فقط یه EV ضعیف تر هستن ولی چون ممکنه کراس تایپ نباشن تو تاریکی درس عمل نمی کنن. نقطه مرکزی اما واقعا خوبه و تو هر نوری انگاری فوکوس میکنه برای من که رضایت بخشه
19. در نهایت نبود شاتر الکترونیک یه ضعف هست این روزها سبب سینک نشدن راحت با فلاش ها میشه و تریگر گرونقیمت تر میخواد برای سرعت های بالای 200 و علاوه بر اون اچ در ار ضعیف تر میده ضمن اینکه عمر شاتر مکانیکی هم بالاخره تموم میشه و اینکه همیشه صدا داره.
در نهایت!
پس چرا این دوربین؟
خوب دی 610 سنسورش مثل همینه اما فیلم برداری از این هم بدتر و حالت فلت (کم کنتراست و رنج دینامیک بالا) رو نداره و از این دوربین هم به مراتب کند تر هست. دی 810 هم گرونه و سنگیه و باز از این تو فیمم برداری بدتره ولی کنترل های روی بدنه اش به مراتب بهتره و ویزورش تصویر بزرگتری ارایه میده.در مورد مگاپیکسل هم یادتون باشه اگه لنزتون کیفیت نداشته باشه مگاپیکسل بالا هیچ فایده ای نداره پس اگه دی 810 میخوایید بخرید باید حداقل یه رقم به همون مقدار هم پول پای لنز بدید. و نکته دیگه اینکه خیلی اوقات میشه به جای مگا پیکسل بالاتر از یه لنز با فاصله کانونی مناسب تر و کیفیت بهتر بهره جست.
اگه پول تون به کیت نمیرسه چه بهتر!! یه بادی بخرید با یه لنز 50 اف 1.8 فیکس که روی این بدنه نزدیک به 22 مگا پیکسل کیفیت میتونه بده(برگرفته از نقیاس سایت dxo). بعدا هر وقت پول داشتید وابسته به نوع عکاسیتون یکی از اون سه گانه بالا رو که عرض کردم بگیرید.
ببخشید یهویی و بی مقدمه نوشتم. خیلی چیزها یادم رفته حتما. ایشالا کمکی به کسی بکنه. اومده بودم ببینم در حالت JPG حداکثر سرعت عکاسی چقدر فرق داره با NEF و اینکه بافرش چقدره که از اینجا سر دراوردم.",0,0,4,4,4,4,4
,,"سلام. من یک روز هست که خریدمش. و اینقدر پیچیده ست که ترجیح میدم بقول یکی از دوستان فعلا با دفترچه پیش برم که بتونم خیلی زود همه چیزش رو یاد بگیرم و بتونم لذت ببرم واقعا از امکاناتش",5,5,3,3,3,3,3
,,"من خیلی تحقیق کردم توی این رنج قیمت این دوربین بهترینه",1,4,5,5,5,5,5
,,"لطفا باز هم موجودش کنین",5,0,5,5,5,5,5
"بهترين کيفيت رنگ
فوکوس عالي در شب
قدرت فيلمبرداري فوق العاده
ايزو فوق العاده و بدون نويز حتي تا 8000!","بعد از استفاده از اين دوربين تمامي دوربين هاي ديگه معمولي بنظر مي رسند","این دوربین صبح 27 خرداد بدستم رسید، باهاش نزدیک به 500 شات عکس گرفتم، با لنز های مختلف و تحت شرایط مختلف. بدون شک بهترین گزینه در بین تمامی DSLR های موجود در بازاره، حتی از 5D Mark III SR و D810 هم به گواه سایت های معتبر نقد و بررسی دوربین، بهتره. بدون شک خریدشو به همه کسانی که تو خریدش بین چند گزینه هم رده شک دارن پیشنهاد می کنم. از دیجی کالا بابت قرار دادن این محصول به صورت اوریجینال تشکر می کنم. به محض رسیدن محصول، شاتر کانتش رو چک کردم، و همونطور که از دیجی کالا انتظار داشتم، همه چی درست بود.",12,5,5,5,4,5,5
"سيستم فوکوس بسيار سريع و دقيق
کيفيت عکاسي فوق العاده
دايناميک رنج بالا
عمر باطري خيلي خوب",نداره,"این دوربین رو سه ماهه که خریدم ، البته نه از دیجی کالا . یکی از بهترین دوربین های فول فریم نیکون هست که باهاش کار کردم
کیفیت عکاسی و داینامیک رنج بسیار عالی داره و عکاسی در شب با این دوربین و در نور کم بسیار لذت بخش هست و همینطور سرعت فوکوس بسیار سریع و دقیقی در عکاسی ، مخصوصا در عکاسی از سوژه های بسیار سریع داره و براحتی بر روی سوژه فوکوس میکنه و خیلی خوب سوژه رو track میکنه
با این رنج قیمت از نظر امکانات و کیفیت عکاسی چیزی از canon 5D MIII کم نداره بلکه از نظر من بهترم هست",9,0,5,5,5,5,5
,,"با سلام
از کارشناسان دیجی کالا درخواست دارم تا نقد و بررسی اینکالا را هم در سایت قرار دهند تا بنده و امثال من در مورد خرید این دوربین راحت تر بتونیم تصمیم گیری نماییم.با تشکر",6,0,4,4,4,4,3
"کيفيت بسيار بالا در ISO هاي بالا","شوخي نکن ضعف کدومه","هفته ی پیش این دوربینو گرفتم از لحاظ خوش دستی و ارگونومی بهترین دوربینی بود که دست گرفتم
تو ISO های بالا خیلیییی نویز کمتری نسبت به D810 و 5D III داره برای عکاسی تو نور کم خیلی ازش راضیم
سرعت فکوسشو با D810 رفیقم مقایسه کردم تقریبا یکین چون موتور فکوسشون یکیه ولی بخاطر بروز تر بودن این دوربین و برطرف شدن ایرادات موتور فکوس در D810 دقت فکوس تو D750 بالا تره، سرعت فکوسش از 5D III خیلی بیشتره در حد 2 برابر اما بخاطر نقاط فکوس کراس پوینت بیشتری که 5D III داره دقتش بیشتره که البته تفاوتش تو فیلمبرداری بیشتر احساس میشه تا عکاسی!! منم اهل فیلم برداری با DSLR نیستم چون دوربینای بهتری برای فیلمبرداری هست که مختون صوت میکشه!!!!!
ای کاش سرعت شاترش 1/8000 بود ولی من راضیم
برای اوناییم که فیلمبرداری میکنن باید بگم که یک منوی مجزا برای فیلمبرداری داره که میتونین وایتبالانس متفاوت و ست پیکچر کنترل متفاوت رزولوشن متفاوت و کلا همچیزه متفاوت نسبت به حالت عکاسی براش انتخواب کنید
هیستوگرام و های لایت لایو داره موقه ی فیلمبرداری که همزمان میتئنید ببینید وضعیت نوردهیتون چطوره، 4K نداره ولی بهتر که نداره خواهشن سنسور دوربینای عکاسیتونو با فیلمبرداری نابود نکنید :(
اون مانیتور متحرکشم که نگو نگو وختی تو زاویه های ناجور میخواید عکاسی کنید مثله خورشید پشت ابر و امداد غیبی به دادتون میرسه :)))) فول فریمه دیگه ای نیس که این مانیتورو داشته باشه جز D5 که تازه اومده فک کنم از این ببد نایکون رو دوربیناش ذاره این مانیتورو ^_^
عمر باتری 1230 عکس هست با یکبار شارژ، من چنوخت دیگه ی گریپ میگیرم براش چون عکاسی نجومی هم میکنم
دیگههههه اوومم نمیدونم چی بگم :D آها وایفای داخلی داره خیلی کار را بندازه برای خالی کردن مموری
درزای بین فلشش و لنزو اینا همش ضد غبار و آبه من بردمش کویر جاتون خالی آخ نگفت البته با لنز فیکس برید کویر زوم که میکنید چون لنز میاد بیرون غبار میره لابلاش
کلا بخرید خوبه حال میده ولی نمیدونم دیجی چرا 50 هزار تومن گرونتر میده",5,1,5,5,5,5,5
,,"سلام دوستان، من یه راهنمایی ازتون میخوام ممنون میشم کمکم کنید
من یه ساله d5300 دارم، واقعا از خوش دستی و کاربری نیکون راضیم و یه جورایی دارم اهلیش میشم ;)
حالا به خاطر یه سری مشکلات از جمله نوبز تو ایزوهای بالا و چیزای دیگه میخوام یرم سمت فول فریم. از چند نفر عکاس پرس و جو کردم و با توجه به بودجه ای که دارم 5d مارک 3 رو معرفی کردن بهم تا وقتی که این دوربین رو توی بررسی هام دیدم و کلی نظرات اساتید رو خوندم. حالا از اونجایی ارگونومی و خاص بودن نیکون رو دوست دارم و چندتا لنز نیکون هم دارم، بین این دوربین ، d810 و 5d موندم. بیشتر روی طبیعت، نورهای کم و اجسام کوچیک کار میکنم و حرفه اصلیم هم عکاسی نیست. حالا با توجه به این موارد نیازمند یاری و راهنمایی سبز شما هستم.
سپاس",4,1,3,3,3,3,3
,,"دوست عزیزی که نوشتید این بدترین دوربینی بود که خریدم میشه بفرمائید قبل این چه دوربین هایی داشتید که بهتر از این بوده ، بهتره عکس های این دوربین رو تو دی پریویو با دوبین مورد علاقتون چک کنید .
من یکماه هست خریدم میخواستم دی 810 بخرم ولی به دلیل امکان وایرلس و حذف شدن فیلتر LOW PAAS این دوربین رو خریدم ، یک دوربین فوق العاده و عالی هست تو این رنج قیمت واقعا ایده آل هست
افرادی که قبلا از مشابه این دوربین استفاده نکردن توصیه میکنم مدتی رو وقت بزارن و دفترچه رو مطالعه کنن من خودم سه روز دوربین کنارم بود و دفترچه رو میخوندم و تست میکردم قابلیت های عالی داره و وقتی یادبگیری چطوری باید ازش استفاده کنی لذت میبیری موقع عکاسی",22,0,5,5,5,5,5
