positivePoints,negativePoints,commentText,like,dislike,"کيفيت عمومي فيلم برداري","کيفيت ساخت",ارگونومي,"امکانات و قابليت ها","ارزش در برابر قيمت"
"طراحي بسيار زيبا خوش دست","زمان شارژ نسبتا طولاني","با سلام و احترام....
چند روزی هست که این دوربین به دستم رسیده اولین نکته اینکه کارت گارانتی همراه دوربین نبود و بعد از تماس با شرکت مشخص شد شماره سریال دوربین ثبت شده ولی با این حال باز هم فقدان کارت گارانتی حس جالبی رو به ادم.نمیده
خود دوربین بدون قاب طراحی زیاد جالبی نداره ولی وقتی توی قاب قرارش بدید بسیار شیک و ضاهر قدرتمندی میگیره. کیفیت عکسبرداری خوبه و فیلمبرداری عالی ولی فقط و فقط برای تصویر برداریهای خاص خوبه. در کل این دوربین به تنهایی برای ثبت لحظات کافی نیست و بهتره که در کنار یک دوربین حرفه ای اینم داشته باشید...",6,1,3,3,3,3,3
,,"سرعت فیلمبرداریش عالیه و فریم فریم نمیشه",3,1,5,5,5,5,5
,,"با سلام و احترام،
از نظر من دوربین AEE و گوپرو بهترین های دوربین ورزشی در ایران هستند، که هر کدام نقاط قوت و نقاط ضعف دارند که من به مراتب از AEE رضایت بیشتری نسبت به گوپروو دارم.
من این 2 مدل دوربین رو در رشته های آبی استفاده کردم.
کیفیت فیلم برداری در هر دو دوربین بسیار مناسبه در سایز فول اچ.دی، کیفیت عکس برداری نیز در صورت داشتن کادری با نور مناسب، کاملا قابل قبوله.
قاب ضد آب دوربین AEE در برابر گوپرو به مراتب ساختاری بزرگتر و حجیم تر داره .
لنز گوپرو درصورت استفاده تمام واید محدبه و کمی از AEE وایدتره
کیفیت باطری تک در AEE به مراتب بهتر از گوپرو عمل میکنه.
کیفیت ضبط صدا با کاور ضدآب در گوپرو کمی بهتر از AEE هست.
و با در نظر گرفتن قیمت و همچنین کاملتر بودن پکیج AEE بنظرم این دوربین ارزش خرید داره. همچنین دوستانی که ابراز کردند که تجهیزات جانبیش گیر نمیاد، ریموت و شارژر مستقیمش در بازار موجوده و اکثر تجهیزات جانبی دوربین های ورزشی مثل نگه دارنده ها به هم میخوره.",8,0,4,4,3,4,5
"انتخابهاي متعدد کيفيت فيلمبرداري","لرزشهاي زياد در فيلمبرداري سوژه غير ورزشي
عدم امکان مکث کردن در زمان فيلمبرداري","کیفیت فیلمبرداری عالیست البته فقط زمانی که سوژه غیر اکشن باشه باید از سه پایه استفاده کرد وگرنه لرزش ها آزار دهنده هست.
بنظر من فقط برای فیلمبرداری ورزشی مناسبه و برای مسافرت و فیلم های خانوادگی مناسب نیست. (ترجیح میدم بفروشم و یک دوربین خانگی بگیرم)",1,3,3,3,3,3,3
"داشتن صفحه نمايش TFT لمسي
امکان زوم 12x
امکان فيلم برداري 120 فريم بروي رزولوشن HD 720p
و...","کم بودن تنوع لوازم جانبي اش نسبت به برند هاي رقيب","من شش ماهه دارمش . فیلم هایی که میگیره کیفیت تصویر فوق العاده ای داره . کافیه توی تنظیمات بزاریدش روی 60 فریم بر ثانیه با رزولوشن full HD فیلم بگیرید لذت می برید از تصویری که میگیره . لنز این دوربین حالت طبیعیه واید هستش و بصورت محدب فیلم میگیره . ولی این قابلیت رو داره که توی تنظیمات حالت واید اش رو به حالت تخت و مسطح تغییر بدید . عکس های خوبی هم میگیره با این که کارش عکس برداری نیست . ولی چون لرزش گیر نداره ممکنه بعضی از عکساتون تار بشه . به عنوان یک مربی ورزشی میگم ، بنظر من این دوربین همه ویژگی های یک دوربین ورزشی مناسب رو داره",5,1,5,4,4,4,4
"قيمت نسبتا مناسب در برابر ساير رقبا البته اگه فول پک ارايه ميشد عالي بود
اندازه مناسب البته بدون قاب ضد آب که با اون يکم بزرگ به نظر مياد
فرمت 4k البته فريمش کمه خب قيمتشم مناسبه
کيفيت بدنه خوبه موقع ضبط صدا هم کيفيت صوت و تصوير خوبه
همراه بودن ال سي دي که واقعا لازمه","وايرلسش گاها ديسکانکت ميشه
با يه ساعت کارکرد کمي داغ ميشه
لنزش وايد هست ولي از گو پرو کمتره
گ!!ارانتي تعويض داره ولي من هولوگرام يا برچسپ شرکت تامين کننده رو نديدم
تو سايت هاي خارجي سه قلم بيشتر همراه دوربين هست که اينارو تو پک نداريم مثل ريموت وايرلس فابريک که واقعا لازمه و بست کليپسي و آدابتور برق","در کل من از خریدش راضیم البته یکم انتظار بیشتری از دیجی داشتم که حداقل یکم قیمت بالاتر میزد ولی فول پک ارائه میکرد به هرحال نمیدونم لوازم جانبیشو رو هم دیجی میاره یا نه چون ریموت وایرلسش لازمه در خصوص آبدیت نرم افزاری فعلا بررسی نکردم ونمیدونم اصلا میشه یا نه جالبه که تکنولوژی هم آلمان هست و طبق معمول تحت لیسانس چین ساخته شده",5,1,3,3,3,3,2
"فيلمبرداري خوب
قيمت مناسب به نسبت امکانات","قاب ضد آب بزرگ و حجيم
درست کار نکردن دکمه ها پس از داغ شدن دوربين","دوربین خوبی هست. کیفیت فیلمبرداریش خوب هست البته به گوپرو 4 سیلور نمیرسه. کیفیت عکسبرداریش نسبت به دوربین ورزشی بودن خیلی خوبه.البته در محیط کم نور خوب عکس نمیگیره و تار میشه عکس ها. قاب ضد آبش خیلی بزرگه. جالبه خود دوربین سایزش خوبه و تقریبا هم اندازه گوپرو 4 سیلور هست ولی قابش خیلی بزرگه تقریبا 2 برابره گوپرو 4 سیلور هست . بنظرم چون دوربین ورزشی هست این بزرگی و اضافه وزن خودشو نشون میده و اذیت میکنه. ولی بنظرم بزرگترین ضعفه دوربین دکمه های روشن کردن از روی قابش هست در اکثر مواقع درست کار نمیکنه مخصوصا وقتی دوربین یکم کار کرده و داغ شده. 10 بار باید نگه داری تا دوربین روشن بشه و وقتی روشن شده صحنه عکسبرداری رو از دست دادی. من این دوربین رو برای سفر به پوکت خریدم و این مشکل با اینکه شاید کوچیک بنظر بیاد منو خیلی اذیت کرد. مخصوصا وقتی تو آبی یا روی زیپ لاینی و عجله داری که دوربین روشن شه. دوستم هم گوپرو 4 سیلور داشت و در قیاس با اون دارم این مشکلات رو میگم. در کل بخوام نتیجه گیری کنم نسبت به قیمت, دوربین خوبیه و فیلمبرداری و عکسبرداریش و امکاناتش خوبه. ولی 2 تا مشکلی که بهشون اشاره کردم با توجه به کاربری دوربین خیلی مهمه مخصوصا سخت روشن شدن دوربین. من اگه بخوام دوباره بخرم قطعا گوپرو می خرم",4,2,4,3,2,4,4
,,"دی جی حتما نقد و بررسی این کالا را قرار بده",5,1,4,5,5,5,5
,,"این دوربین برای استفاده نیمه حرفه ای مناسب است و Gopro برای استفاده حرفه ای به دلیل بهره مندی از کدک بهتر و امکانات گسترده تر برای اصلاح رنگ",1,2,3,4,4,3,4
,,"دیجی کالا موجودش کن اگر می تونی !!!",1,0,5,4,4,4,4
