positivePoints,negativePoints,commentText,like,dislike,"کيفيت عمومي فيلم برداري","کيفيت ساخت",ارگونومي,"امکانات و قابليت ها","ارزش در برابر قيمت"
"يه محصول خونگي فوق العاده","عدم وجود ابزار کافي براي استفاده و انتقال 4k","من ax30 رو دارم اونم4 کی داره راضی هستم دوربین خوبیه",1,0,3,3,3,3,3
سوني,قيمت,"دوستان در این مورد دیجی کالا بی تقصیره! وقتی نوشته گارانتی بازرگانی ایران یعنی طرف شما دیجی کالا نیست! من فقط میتونم بگم مقایسه قیمت های امارات با محصولاتی که داخل ایران با گارانتی بازرگانی ایران فروخته میشن بسیار فاحش هست! در بعضی موارد حتی چیزی نزدیک به 2 برابر! مشکل در گمرک *** ایران و اون شرکت وارد کننده هست...",6,0,4,5,4,4,2
,,"دوستان شاید بعضی ها خبر نداشته باشن ولی جنسای زاپنی بخصوص سونی از اوناییه که همیشه پیشتازه ولی بی خبر و بدون آب و تاب بعد از چند سال همین جنسارو غربیا میزنن بعد انقدر بوق میزنن و به به و چه چه راه میندازن که بیا درستش کن جوری جنسشونو قالب میکنن که خودشونم باورشون میشه بهترین اجناسو دارن اینو گفتم که دوستان اشتباه نکنن و این دوربین رو با 4K گوشیشون اشتباه بگیرن",8,1,5,5,5,5,4
,,"دوست عزیز با پول یک بنز مدل بالا هم میشه 10 تا 20 تا پراید یا حدود 200 تا موتور خرید
هر دو ماشین راه میرن و فرمون دارن و 4 تا چرخ!!! ولی این کجا و ان کجا. واسه دوربینم همینطور. شما فیلمبرداری دوربین گوشی رو با دوربین حرفه ای یکی میدونی؟؟ شاید سایز تصویر یکی باشه ولی کیفیت و ... نه!!!",21,0,0,0,0,0,0
,,"سلام
دوستان عزیز، نمی توان داینامیک رنج، فوکال لنث و کیفیت تصویر سنسور 1 اینچی این دوربین را با سنسور 1/2.3 اینچی دوربین های Gopro یا گوشی های موبایل با قابلیت 4k مقایسه کرد( آیفون بعد از دو سال از معرفی نوت3 تازه گوشی خودشو با این قابلیت معرفی کرد! ) به خصوص با قابلیت زوم اپتیکال و تنظیمات دستی حرفه ای....
ولی کلا توی دیجی کالا قیمت های دوربین های سونی خیلی بالاتر از قیمت واقعیشون هست، متاسفانه....",7,2,0,0,0,0,0
,,"با هزینه این محصول میشه 5 تا گوپرو هیرو 4 بلک به همراه یک ریموت خریداری کرد و یا 3 عدد ایفون 6 128 گیگ
مشخصات کیفیت مثل گو پرو هیرو 4 بلک هست فقط یه چند تا آپشن بیشتر داره
بنظرم اصلا ارزش خرید نداره با این قیمتش",6,23,5,4,3,5,0
,,"من نمیدونم چرا دیجی کالا اینجوری میگه قیمتش خیلی پایین تر از این حرفاس",13,1,5,4,4,5,4
,,"خیلی عالیه ولی قیمتش خیلی زیاده",6,0,5,5,5,5,2
,,"با سلام خدمت دوستان دیجی کالا لطفا تنوع دوربین های عکاسی و فیلمبرداری رو بیشتر کنید و خواهش می کنم تجهیزات نورپردازی فیلمبرداری و لوازم جانبی دوربین های فیلمبرداری رو هم بیارید یا علی",6,0,5,5,5,5,5
,,"خیلی عالیه",1,0,0,0,0,0,0
