positivePoints,negativePoints,commentText,like,dislike,"کيفيت ساخت","ارزش خريد به نسبت قيمت",نوآوري,"امکانات و قابليت ها","سهولت استفاده","طراحي و ظاهر"
"گرافيک بالا،وجود داستان هاي مختلف در بخش آفلاين،کنترل راحت و... .","کوتاه بودن بخش آفلاين و ... .","دوستان این بازی فوقالعاده است ولی در واقع بخش آفلاین(تکنفره) این بازی زیاد قوی نیست و اگه میخواین بخرین فقط واسه چند نفره (مولتی) بازی کردن بخریدش... .",1,1,5,2,5,4,4,5
"EAکاملا عالي روش کار کرده",,"عالیه خدا شکر دیجی کالا کم کم داره به گیم اهمیت می ده خود بازی که عالیه اما بازیwatch dogs2وoutlast2,رو بزاریم",2,0,5,5,5,5,5,5
"گرافيک فني شگفت آور(افکت هاي دود و نور پردازي سايه زني ها عالي کار شده).
موسيقي و صدا گذاري بي عيب و نقص.
محيط هاي به شدت وسيع و بزرگ.
گيم پلي جذاب و سرگرم کننده به واسته عواملي همچون انواع زياد اسلحه ها،وسايل نقليه مانند : تانک، موتور، اسب، هواپيماو...
بخش متنوع و عالي و سرگم کننده multiplayer( چند نفره)","کوتاه بودن بخش تک نفره و عيب هاي ريزي در اين قسمت
کمي تا خدودي گران بودن بازي","من این بازی را خریداری کردم و می توانم بگویم بهترین بازی شوتر امسال هست.
بازی ارزش خرید برای کسانی را داره که به دنبال یک بخش چند نفره هیجان انگیز و نفس گیر هستند.
با توجه به نقاط قوت و ضعف بازی من به آن نمرهٔ 9/3 را می دهم.",6,0,5,4,5,5,5,5
,,"از نظر کیفیت حرف نداره ولی از نظر گیم پلی و داستان بازی واقعا ضعیفه اگر آنلاین میخواید بازی کنید خوبه ولی آفلاین نه",1,2,3,3,3,3,3,3
,,"برترین مولتی پلیر
گرافیک فوق العاده
ارزش خریدن کنسول به خاصر این بازی",2,3,5,4,5,5,5,5
"گرافيک عالي.گيم پلي عالي و جديد. بخش آنلاين جذاب","بخش داستاني کوتاه.افت فريم بعضي مواقع و لگ و باگ شديد","باسلام. من این بازی رو دارم. بتل 1واقعا شاهکاره گرافیک عالی و خیره کننده گیم پلی جذاب و عالی بخش آنلاین فوق العاده اما بخش داستانیش واقعا کوتاهه اگه میخواید آفلاین بازی کنید اصلا پیشنهاد نمیکنم بازی بعضی موقع ها لگ و باگ شدید داره که بخاطر گرافیک قوی بازیه و کنسول نمیتونه خوب اداره کنه بازی رو چون کارت گرافیک پی اس فور واقعا ضعیفه. اگه میخواید آنلاین بازی کنید حتما حتما پیشنهاد میشه. با تشکر از دیجی کالا.",1,6,5,5,5,5,5,3
"گرافيگ بالا
اسلحه هاي متنوع
صدا گذاري حرفه اي
تنوع در نقشه ها و محيط ها","گيم پلي خسته کننده
در دسترس نبودن بدون فيلترشکن براي انلاين","از لحاظ کیفیت بی نظیره چ تصویر و چ صدا ولی گیم پلی افتضاحی داره بخصوص آنلاینشکاملا بعد چند روز زده میکنه ادمو. و برای پی سی ک بخواین آنلاین بازی کنید کلی دردسر فیلتر بودن سرورهای برنامه اوریجین رو باید بکشید.",3,5,5,1,2,1,1,3
,,"این بازی برای آنلاین معرکه معرکه است والدین و استوریش هم بی نقص است و از لحاظ گرافیکی و اسلحه و مهمات هیچ کم و کسری نداره و لطفاً لطفا لطفا مشه این بازی رو موجود کنید چون من عاشق این بازی هستم لطفا به اندازه کسی که این بازی داره و بازی میکنه میدونم",2,1,3,3,3,3,3,3
"از همه لحاظ
گرافيک
روند بازي
داستان بازي
آنلاين بازي",هيچي,"یعنی من میگم هرکی گرفته پشیمون نمیشه بی نظیره (20)",13,1,5,5,5,5,5,5
"ايده جنگ جهاني اول مولتي پلير عالي صدا گذاري فوق العاده گرافيک","بخش داستاني کوتاه","دوستان توجه کنید اگه میخاید انلاین بازی کنید بتلفیلد بهترین گزینه هست ولی بازی رو به امید بخش داستانیش نخرید چون کوتاهه ولی اگه میخواین تجربش کنین صبر کنین قیمتش یکم بیاد پایین",20,2,5,4,5,4,5,5
"از هر لحاظ عاليه و مشکلي نداره","بدون مشکل","از بهترین شوتر سال 2016 ک نمیشه نقد کرد و این بازی از هر لحاظی ک فکر کنین عالیه و مشکلی نداره اگر حمایت dice وEA رو داشته باشه میتونه تا سال ها بهترین بازی شوتر باشه چون این بازی واقعا با عظمته .",16,2,5,4,5,4,5,5
"کيفيت شخصيت",,"سلام دوستان این بازی عالی هست من فکر میکنم از کال اف دیوتی اینفینیتی وارفا هم بهتره تازه کیفیتش هم عالی",10,4,5,3,5,4,3,5
"طبيعي بودن صحنه ها و روايت يک جنگ واقعي","نداره ضعفي","بهترین بازی جنگی....چون ادوات و وسایل نقلیه جنگی به طور طبیعی ساخته شده اند...",9,4,3,3,3,3,3,3
,,"سلام بازی خیلی خوبیه ممنون که موجودش کردی.لطفا uncharted 4 هم مو جود کن لطفاا خیلی خوبه بازیش",6,3,3,3,3,3,3,3
,,"دوستان واقعا فوق العادس به قیمتش میارزه
داستان عالی و محشری داره حتما پیشنهاد میکنم",10,1,5,5,5,5,5,3
,,"بتل فیلد همیشه قوی بود
من همیشه ازین جور بازیا که وسایل و ماشین های قدیمی هست خوشم میومد
واقعا هیچ جایی نداره بدی کنم
امتیازارو 5 دادم همرو واقعا نمره 5 میخواست
کیفیت و گرافیک‌عالی عاااااااالی
حتما بخرید
واقعا عالیه
بخش مولتی پلیر فوق العادست
کاملا شبیه یک جنگ واقعیه
اصلا وقتی یه بمب منفجر میشه عشق میکنید اینقدر واقعی و زیبایه
حتما بخرید
عااااالی",10,1,5,5,5,5,5,5
,,"وقتی اینو بازی کنی
با خودت می پرسی اون چیزایی که قبلا بازی می کردم واقعا بازی بوده؟! واقعا حرف نداره",12,2,5,5,5,5,5,5
"همه چي","من چيز بدي نديدم","بسیار عالی عالی است.بهترین تیر اندازی اول شخص رو داره.
لطفا watch dogs 2رو هم موجود کنید",11,1,5,5,5,5,5,5
,,"واقعا بازیه عالیه",8,1,5,5,5,5,5,3
,,"فقط میشه گفت شاهکار
وقتی همه ی عنوان ها رفتن به سمت فضایی و تخیلی شدن بتلفیلد با بازگشت به جنک جهانی اول خیلی هایی که به سبک فضایی علاقه نداشتن رو امیدوار کرد من خودم کالاو رو از 10به بعد دیگه بازی نکردم",16,3,5,4,5,5,5,5
"گرافيک
انفجار هاي طبيعي
بخش انلاين عالي","فقط قيمتش بالاست","یکی از بهترین بازی های ps4محسوب میشه
گرافیک فوق العاده
بخش انلاین عالی
سرگرم کننده و بسیار مهیج اما قیمتش الان زیاده تخفیف بخوره یا دو ماه بگذره قیمتش خیلی بهتر میشه",12,1,5,3,5,5,5,5
"داستان قوي بازي
مولتي پلير قوي
سلاح هاي جالب",ندار,"از نظر من این بازی بی نظیره تا حالا چندین بار بازیش کردم و در رقابت با بازی هایی در همین سبک برترینه",14,4,5,5,5,5,5,5
,,"ممنون از دیجی کالا که بالاخره بازی جدید گذاشت اما لطفا این بازی رو برای ایکس باکس وان هم موجود کنید و فقط برای ps4 نیارید و کمی هم به ایکس باکس توجه کنید من خودم به شخصه خیلی این بازی رو میخوام ولی شما برای ایکس باکس وان نمیزارید و من الان درخواست میکنم که این بازی رو برای ایکس باکس وان هم موجود کنید با سپاس فراوان از دیجی کالا و زحمات شما",11,10,5,5,4,5,4,5
,,"من یه کال اف باز واقعی بودم و وقتی این بازی اومد هیچ توجه ای بهش نکردم. یکی از دوستام بدجور میگفت بتل فیلد1 خوبه. خلاصه گفتم جهنم ضرر میرم میخرم. خلاصه بگم بهترین بازیه جهانه. اصلا با کال اف قابل مقایسه نیست.",17,2,5,5,5,5,5,3
همچيش,هيچيش,"بازی خیلی توپیه و آنلاینش خیلی عالی به نظرم هرکی بازی نکنه کل عمرش بر فناس ولی یه مشکل اینکه دیجی از سایته دیگه این بازیو گرون تر میده چرا شو نمیدونم",13,1,5,2,5,5,5,5
"مولتي پلير قوي",ندارد,"این بازی واقعا عالیه خصوصا بخش مولتی پلیرش تو خریدش شک نکنید البته دیجی کالا نسبتبه بازار گرون تر میده",25,4,5,5,5,5,5,5
"نو آوري
بخش آنلاين اعتياد آور
گرافيک چشم نواز
داستان سرايي خوب
طراحي بي نظير اسلحه ها","بخش داستاني ممکنه در بعضي مواقع يخورده خسته کننده بشه","من حدود یه دو یا سه هفته ای هست که این بازیو خریدم البته نه از دیجی چون کلا دیجی نسبت به گیمرا یخورده کم لطفی میکنه و بازیا رو خیلی دیر و اونم با تعداد محدود موجود میکنه .این بازی فوق العاده بود شخصا بخاطر بخش آنلاین و مولتی پلیر قوی بازی اونو خریدم ولی در کنار بخش آنلاین اعتیاد آورش بخش داستانی هم حرف های زیادی برای گفتن داره .گرافیک بازی هم پیشرفت چشمگیری داشته هم در طراحی کاراکتر ها و حالت چهرشون و هم در طراحی محیط ها و اسلحه ها .واقعا تصور جنگیدن تو یه صحرا وسط طوفان شن با این گرافیک معرکست. اگه تصمیم به خریدش دارین لحظه ای هم شک نکنین .",30,2,5,4,5,5,5,5
"گرافيک خيره کننده
موسيقي صحنه",نداره,"عالیه بازی کردنش رو به همه حتی 14 15 ساله ها پیشنهاد میدم",11,15,5,5,5,5,5,5
"گرافيک محشر
غني بودن داستان بازي برخلاف نسخه هاي قبل
مولتي پلير همه چي تمام","فعلا نديدم","یک بازی همه چی تمام و ایده آل",10,3,5,5,5,5,5,5
"گرافيک بالا .فضاي واقعي جنگ جهاني",ندارد,"مدت زیادی از بازی کالاف دیوتی نا امید شدم دیگه با ربات و فضایی شدنش نیمی از طرفداراشو از دست داد.ولی این بازی دنباله رو کالافه .عالیه این",16,3,3,3,3,3,3,3
"گرافيک عالي
حالت آنلاين با کمترين و ضعيف ترين سرعت لينترنت هم قابل اجراست بدون مشکل در بازي
داستان هاي واقعي افراد در جنگ جهاني ک در بازي به تصوير کشيده شدند","فکر نکنم داشته باشه","من این بازیو خیلی وقته تهیه کردمش
به نظرم بالاتر ازاین هم به خاطرش هزینه کنید بازم ارزششو داره چون حالت انلاینش واقعا اعتیاد آوره",12,1,5,5,5,5,5,5
,,"کسایی که انلاین بازی میکنن حتما این بازی رو بگیرن . بخش آفلاین هم خوبه ولی کلا بازی های بتلفیلد بیشتر روی قسمت آنلاین تمرکز میکنن و بخش آفلاین زیاد طولانی نیست.",6,3,5,5,5,5,5,5
,,"اگر از دوستداران قدیمى IGI هستید این بازى بهترین انتخابه",3,14,5,3,5,5,5,5
,,"خیلی بازی خوبیه حتما بخرید",6,2,0,0,0,0,0,0
,,"ممنون از دیجی کالا برای موجود کردن این بازی .
دیجی کالا اگه میشه حتما باری 4uncharted رو موجود کن",7,2,3,3,3,3,3,3
,,"اگه نمیتونین زیاد بازی بخرین خوب تحقیق کنین ببینین کدوم بازی میشه آنلاین با بقیه بازی کرد بعد پولاتونو جمع کنین بخرینش با همون یه بازی میشه چند ماه سرگرم شد",10,0,3,3,3,3,3,3
,,"بهترین بازی شوتینگ هست این بازی",3,3,3,3,3,3,3,3
,,"به دلیل اینکه داستان قدیمی است شاید به مذاق بعضی خوش نیامد ولی خیلی خوبه مخصوصا گرافیکش",4,7,5,4,3,5,4,3
"گيم پلي عالي",هيچي,"عالیه در کل من که راضیم",4,1,5,5,5,5,5,5
,,"خیلی بازی عالی هست حتما تجربه کنید",4,1,5,5,4,5,5,5
"گرافيک خارق العاده.داستان بي‌نظير مربوط به جنگ جهاني اول","من که نديدم","واقعا این بازی نظیر نداره.برخلاف بازیهای call of dutyکه مربوط به جنگهایی آینده هستش ولی این بازی مربوط به جنگ جهانی اول هستش.البته مسخره پی سی اون حدود 75گیگابایت هستش",5,2,5,5,5,5,5,5
"نو آوري در بخش داستاني
بخش انلاين جذاب
گرافيک خيره کننده(تا به چشم نبينيد عظمت انرا درک نخواهيد کرد
سهولت در استفاده از سلاح ها","اسب ها(بهتر است بگوييم ""تانک""!!!!!)
بدليل شرايط زماني نبايد انتظار سلاح هاي قوي و عجيب و غريب قسمت هاي قبل را داشته باشيم","بازی واقعا خیره کننده است و بر خلاف زمان وقوع ان صحنه های اکشن و انفجار هایی زیبا در بازی به وقوع میپیوندند
بخش داستانی دارای نو آوری های زیادی است و بسیار قابل ستایش میباشد
بر خلاف بازی زمانی این بازی و وجود سلاح هایی آماتور, سهولت استفاده از انها باعث خواهد شد تا سختی شلیک با انها را حس نکنید
اگر طرفدار پر پروپاقرص شوتر اول شخص یا سری بتلفیلد هستید, این عنوان را به شدت به شما پیشنهاد میکنم
نمره بهنده به این بازی:9 از 10",8,1,5,4,5,5,4,5
,,"همین الان خریدم
عالیه",2,0,5,5,5,5,5,5
,,"اخ اخ کاش 2 ساعت زود تر میاوردینش
مجبور شدم از یه سایت ناشناس با قیمت بالاتر بخرمش",6,2,5,5,5,5,5,3
,,"من گفته بودم بیاری دمت گرم اوردی
فقط heavy rain
uncharted4
call of duty modern war fare
برای ps4بیار",6,3,3,3,3,3,3,3
"گرافيک خيره کننده و گيم پلي روان
بخش داستاني","ضعفي نميبينم","توی تریلر ها و گیم پلی ها که بازی واقعا شگفت انگیز ظاهر شده من خودم بازی رو تجربه نکردم ولی شنیدم که بازی بسیار خوبیه و در جدول بازی های سال هم اوله",8,2,5,4,5,5,3,5
,,"اگر از دوستداران قدیمى IGI هستید این بازى بهترین انتخابه",3,14,5,3,5,5,5,5
,,"خیلی بازی خوبیه حتما بخرید",6,2,0,0,0,0,0,0
,,"ممنون از دیجی کالا برای موجود کردن این بازی .
دیجی کالا اگه میشه حتما باری 4uncharted رو موجود کن",7,2,3,3,3,3,3,3
,,"اگه نمیتونین زیاد بازی بخرین خوب تحقیق کنین ببینین کدوم بازی میشه آنلاین با بقیه بازی کرد بعد پولاتونو جمع کنین بخرینش با همون یه بازی میشه چند ماه سرگرم شد",10,0,3,3,3,3,3,3
,,"بهترین بازی شوتینگ هست این بازی",3,3,3,3,3,3,3,3
,,"به دلیل اینکه داستان قدیمی است شاید به مذاق بعضی خوش نیامد ولی خیلی خوبه مخصوصا گرافیکش",4,7,5,4,3,5,4,3
"گيم پلي عالي",هيچي,"عالیه در کل من که راضیم",4,1,5,5,5,5,5,5
,,"خیلی بازی عالی هست حتما تجربه کنید",4,1,5,5,4,5,5,5
"گرافيک خارق العاده.داستان بي‌نظير مربوط به جنگ جهاني اول","من که نديدم","واقعا این بازی نظیر نداره.برخلاف بازیهای call of dutyکه مربوط به جنگهایی آینده هستش ولی این بازی مربوط به جنگ جهانی اول هستش.البته مسخره پی سی اون حدود 75گیگابایت هستش",5,2,5,5,5,5,5,5
"نو آوري در بخش داستاني
بخش انلاين جذاب
گرافيک خيره کننده(تا به چشم نبينيد عظمت انرا درک نخواهيد کرد
سهولت در استفاده از سلاح ها","اسب ها(بهتر است بگوييم ""تانک""!!!!!)
بدليل شرايط زماني نبايد انتظار سلاح هاي قوي و عجيب و غريب قسمت هاي قبل را داشته باشيم","بازی واقعا خیره کننده است و بر خلاف زمان وقوع ان صحنه های اکشن و انفجار هایی زیبا در بازی به وقوع میپیوندند
بخش داستانی دارای نو آوری های زیادی است و بسیار قابل ستایش میباشد
بر خلاف بازی زمانی این بازی و وجود سلاح هایی آماتور, سهولت استفاده از انها باعث خواهد شد تا سختی شلیک با انها را حس نکنید
اگر طرفدار پر پروپاقرص شوتر اول شخص یا سری بتلفیلد هستید, این عنوان را به شدت به شما پیشنهاد میکنم
نمره بهنده به این بازی:9 از 10",8,1,5,4,5,5,4,5
