positivePoints,negativePoints,commentText,like,dislike,"کيفيت عملکرد",ارگونومي,"کيفيت ساخت","امکانات و قابليت ها","ارزش در برابر قيمت"
"کوچک بودن نسبت به نسخه معمولي ...",___,"خرید این کنسول رو پیسنهاد میکنم مخصوصا اینکه 1tra هستش و قیمتش هم الان خوبه نسبت به چند ماه پیش که نگاه میکردم و اینکه بازی های دست دوم مشکلی ندارن خیلی راحت میتونید خرید و فروش کنید . بازی هاش کیفیت بالایی دارن و قیمتش هم می ارزه درسته که یکم زیاده ولی میارزه و اگه یه اینترنت خوب هم داشته باشید که آنلاین بتونید بازی کنید ده برابر میتونید از این کنسول لذت ببرید ...",11,0,5,5,5,5,5
"گرافيک قدرت پردازش کيفيت تصوير عالييي
دسته بسيار ارگونومي
کم صدا ش",,"سلام من هم ps3داشتم هم xbox360 میخام بگم که این کنسول یک معجزه در صنعت گیمینگ به حساب بیاد که با کمی تحقیق در مورد فروش این کنسول متوجه میشید
ساعت ها به بازی بنشینید و خسته نشید
تفاوتش با ایکس باکس 360 مثل پژو و بنز هستش البته من با مدل وان کار نکردم ولی چیزی از این کنسول بهتر نیست",11,1,5,5,5,5,5
,,"به نظرم خیلی خوبه. آدم بعضی وقتا پول دلشو میده. الان وقت خریده تابستون گرون میشه",11,3,4,3,4,4,4
,,"این کنسول عالی هستش و از نظر کیفیت حرف نداره بازی های انحصاری قوی هم داره
ولی لطفا مردم رو گمراه نکنید وقتی حتی با ایکس باکس وان بازی نکردید یا از نزدیک ندید دربارش نظر ندید پی اس4 خریدید تمام شد رفت تعصبتون رو بزارید کنار و فقط درباره همون چیزی که خریدید و دارید نظر بدید
هرچیزی طرفدارای خودشو داره و کاربرای خودش
از نظر کیفیت ساخت هم اینطور که میگن بد نیست(واقعا کیفیت ساخت اسلیم بد نیست) ولی معمولی زیبا تره یه نوار نوری زیبا روی کنسول هستش که واقعا خاصش کرده",18,5,5,4,3,4,5
"سرعت لود بالا
بازي هاي انحصاري زياد
پشتيباني از واقعيت مجازي
نوار نوري بالاي دسته
کوچک تر شدن و کم سر و صدا شدن","کمي داغ مي کند که چيز مهمي نيست","در کل من یک هفته ای میشه که خریدم ازش راضی هستم.
اگر کنسولو خریدید حتما بازی های uncharted 4 ,gta v,mortal kombat
را خریداری کنید و لذت ببرید و برای دسته هم روکش بخرید تا دستتون کمتر عرق کنه و خسته نشید.
در کل کنسول خیلی خوبیه.",11,3,5,5,4,5,5
"دسته ي خوب با تاچ پد و نوار نوري دسته راحت بودن وعرق نکردن دست کيفيت وگرافيک بالا ي کنسول امکانات بسيار زياد بازي هاي انحصاري زياد","طراحي بدنه کمي بد","بسیار ps4slimبهتر ازxbox one sاست",10,5,5,5,4,5,5
,,"محشره عالی اگه میخواید تابستان بهتون خوش بگذره حتما بخریدش ممنون از دیجی کالا",1,0,5,5,5,5,5
"کيفيت فوق العاده",نداره,"حرف نداره, ممنون از دیجی کالا",4,1,5,5,4,5,5
"شاهکار(کلمه ي بهتري پيدا نکردم!)","مگه ميشه مگه داريم","مقایسه:1-قدرت سخت افزاری و گرافیکی بیشتر نسبت به ایکس باکس وان اس.
2-کوچک تر نسبت به ایکس باکس وان اس.
3-بازی های بهتر و بیشتر
4-پشتیبانی در ایران(احتمال اضافه شدن زبان فارسی بزودی!)
5-دسته بهتر و خیلی سبک تر
5-پشتیبانی از hdr(نکته:پلی استیشن 4 اسلیم hdr اصل دارد ولی ایکس باکس وان اس فقط ان را شبیه سازی می کند)
6-بازی های کمی ارزان تر
7-به علت قدرت بیشتر سرعت لود بازی ها بیشتر است.
8-با یک اپدیت,از هارد اکسترنال پشتیبانی خواهد کرد.
پس قطعاٌ شما باید پلی استیشن 4 اسلیم را به جای ایکس باکس وان اس انتخاب کنید.",7,4,5,5,5,5,5
"همه چيزش عالي","اصلا نداره حتي فکرش هم نکن","سلام.من خودم تقریبا دو ماه میشه این کنسول رو خریدم واقعا عالیه از هر جهت بهش نگاه کنی عالیه مخصوصا دسته های جدیدش. راستی ی کار باحالی که میشه راحت و بدون قطعی بازی کردن اینکه ی سیم کارت 4G ایرانسل داشته باشید و شبا از ساعت 12 تا 8 صبح ی بسته نامحدود سه ساعته بگیرید بازی کنین واقعا با سرعت خوب عالی میشه بازی کرد من که خودم با همین کار gta v بازی می کنم واقعا لذت می برم",3,0,5,5,4,4,5
"کيفيت خوب دسته اي عالي کيفيت ساخت بالا صداي کمش اينترنت کم مصرف مي کنه","هيچ بدي نداره","عالی هست خیلی خوبه بهتراز ایکس باکس هست",6,1,4,4,3,4,3
"کوچک بودن کم صدا بودن","نگرد که نداره","من اینو سفارش دادم و هنوز بدستم نرسیده اما میدونم که بهترین گزینه است",2,1,5,5,5,5,5
,,"سلام دوستان خسته نباشید
فرق slim با pro چى هست
و اینکه مى ارزه 600/000تومن اضافه بپردازیم براى pro",2,4,3,3,3,3,3
