positivePoints,negativePoints,commentText,like,dislike,"کيفيت ساخت","سهولت در استفاده","امکانات و قابليت ها","ارزش خريد به نسبت قيمت"
,,"من تو پاساژ بوستان توی یه گیم نتی اینو تجربه کردم
ببینید اگر بخوام منصفانه و بدور از هر گونه تعصبی بگم این یک اختراع یا ابداع یا وسیله ای هست که در تمام عمر گیمریم ندیده بودم و انقدر منو برد توی محیط که نمیتونم توصیف کنم.
شما میرین توی خود محیط مجازی و تصاویری میبینید که باورش سخته اما عین حقیقته .
البته انصافو باید رعایت کنیم و بگیم این عینک با بازی شاهکار رزیدنت اویل 7 به اوج میرسه .
اگر تجربشو ندارین نصف عمرتون بر فناست به معنای واقعی کلمه . من نمیخوام بذله گویی کنم واقعا برین و نیم ساعت یا یک ربع امتحان کنید و بفهمید چه عصری از گیم و دنیای مجازی شروع شده . خوش بحال ایندگان",44,5,3,3,3,3
"کيفيت ساخت
کيفيت تصوير
راحتي استفاده",,"فقط میتونم بگم فوق العاده هست بازی رزیدنت اویل رو با این بازی کنید ضربان قلبتون که بالا رفت و از هیجان فریاد کشیدین اون وقت میفهمید واقعیت مجازی فقط ایییین بازیهاش فراوان موجود هست البته قیمتشون بالاست ولی ارزششو داره با پلی استیشن پرو عملکرد بهتری داره",15,7,5,5,5,4
"کيفيت عالي
تجربه اي بي نظير","نشستن و ايستادن را بعضي مواقع نميفهمد","سلام
من این هدست رو به همراه یک جفت move و دوربینش هدیه گرفتم.اما باورتون نمیشه با توجه به اینکه همیشه توی تکنولوژی به روز هستم، این VR واقعا تجربه ای بی نظیر بود.من بعد از بازی هدست رو که بر میدارم باورم نمیشه که توی خونه ام هنوز.
به نظرم نسبت به قیمتی که بقیه VR ها دارند ارزش خرید داره.خیلی جذابه و میتونه هر سن و سالی رو جذب کنه.",28,12,5,4,4,4
"با گيم هاي ترسناک حال ميده",گرونه,"این عینک با گیم های ترسناک مثل ریزدنت اویل خیلی حال می ده",34,7,5,5,5,3
"خيلي عاليه و ممنون از سوني هستم","بازياش کمه","خیلی عالیه ولی چرا بازیاش کمه من 2 هته است که دارم و از اون زاضیم",10,8,5,5,4,4
"قيمت عالي داره","نشستن و بلند شدن شمارو تشخيص نميده","بخرین پشیمون نمیشین",13,31,4,4,5,1
"همه چي",,"این عینک عالیه منو که توی دنیای مجازی برد",6,4,5,5,5,5
,,"اگر این هدستو میگیرید حتما تو یه فضای 3*3 متری باشید و دورو برتون خلوت باشه رزیدنت اویل 7 رو بصورت ایستاده و اگر گیرتون بیاد با شمع مخصوصش بازی کنید مطمئن باشید ترس رو جوری احساس میکنید که باور کردنی نیست حتی تا یه مدت نگاه پلی استیشن وی آر که میکنید یه حس عجیبی دارید من تجربشو داشتم واقعا شمارو میبره به یه دنیای دیگه بازی here they lie هم بشدت قشنگو سبک ترس بقاست که میتونید باهاش تجربه کنید اگرم کثیف شد حتما با پارچه ی خودش تمیزش کنید و به چشماتون نچسبونیدش",10,1,5,4,5,4
,,"اگه ps4 میخرید خیلی عالیه و سرگرم میشید ولی اگه این عینک رو بهش اضاف کنید هیجانش دویست برابر میشه حرف نداره بازی resident evil باهاش بازی کنید تا بفهمید چقد این دستگاه عالیه حرف نداره شک نکنید در خریدش اگه پولشو دارید",10,1,5,5,5,5
همچيش,هيچي,"واقعا بگیرید مخصوصا وقتی ردیسنت اویل رو با move و عینک بازی میکنی_",7,1,3,3,3,3
