positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","عملکرد سخت افزار داخلي و باتري","کيبورد و تاچ پد","کيفيت صفحه نمايش و بلندگوها","امکانات و قابليت ها","طراحي و کيفيت ساخت"
"CPU قدرتمند
کارت گرافيک قوي
کيفيت ساخت بالا","RAM کم نسبت به قيمت لپتاپ
نداشتن هارد SSD","به نظر من علیرغم مزیتهایی که دوستان نوشته اند و من هم آنها را قبول دارم(از جمله سی پی یو و گرافیک قدرتمند) اما دو نقطه ضعف عمده با توجه به محدوده ی قیمت این دستگاه در آن وجود دارد:
1- فقدان هارد SSD: من شخصا حدود دو سال و نیم پیش یک لپتاپ لنوو فلکس 2 از دیجیکالا خریدم و اگرچه نسبت به این دستگاه از نظر قدرت سخت افزاری (خصوصا cpu و کارت گرافیک) خیلی پایین تر است اما در زمان خود نسبتا قدرتمند محسوب می شد.
به هر حال بعد از نصب ویندوز 8 و بعد از مدتی ویندوز 8.1 نهایتا ویندوز 10 تنها مشکلی که من در کار با این دستگاه با آن مواجه می شدم نه از cpu(Core i5)، نه از کارت گرافیک(nvidia 840) و نه حتی از میزان رم(8 گیگ) بود بلکه مشکل اصلی که واقعا اغلب اوقات آزارم می داد: نوع هارددیسک(HDD 5400, 1TB) بود. خصوصا کیفیت کار در ویندوز 10 به شکل عجیبی به سرعت هارد وابسته است(چه در زمان لود شدن ویندوز و چه در هنگام کار). جالب اینکه در همان سالها مدلهایی از لپتاپ من که در خارج از ایران فروخته می شد با کانفیگی پایین تر از نظر گرافیکی اما با هارد SSD بودند!!!
کوتاه سخن اینکه من بعد از پایان گارانتی 2 ساله دستگاه، یک SSD 500 گیگی از دیجیکالا خریدم و جایگزین هارد اصلی نمودم و فعلا از هارد اصلی به عنوان هارد اکسترنال استفاده می کنم. سرعت و کیفیت لپتاپم اصلا قابل مقایسه با قبل نیست.
همه اینها را گفتم تا تعجب خود را از ایسوس بیان کنم که چرا باید چنین دستگاه قدرتمندی را با این قیمت نسبتا بالا تولید کند و آن وقت از SSD به عنوان هارد استفاده ننماید.
2- RAM کم: دستگاهی با این قیمت حداقل باید 16 گیگ رم داشته باشد.",0,0,2,3,4,3,4,4
"نظر من",,"اگه میخوا هین مدل همین مارک را بگیرید بهتون پیشنهات صفحه مات میکنم چون عالیه",2,0,3,3,3,2,3,3
,,"سلام خدمت دوستان گلم حدود یه ماه پیش من این مدل رو گرفتم البته غیر لمسی ولی با همین کانفیگ چون یکی از دوستانم مدل لمسیشو داره و واقعا مصرف شارژش خیلی خیلی بالاست در مورد سخت افزار باید بگم غوله هر برنامه بازی که بگید درسته قورت میده کیبورد وتاچ پدش به حدی استاندارد و با کیفیت هست فقط دلت میخواد تایپ کنی نمایشگر از جنسips ووجود بک لایت کیبورد ارزش خریدشو بالا برده وقتی روشنه اصلا متوجه نمیشی و خیلی کم صداست فن دستگاه بقدری قوی هست که تا شش ساعت کار سنگین با دستگاه که برنامه مهندسی بود که اصلا داغ نکرد و نمیخواد واسش کول پد بگیری و بنظرم تنها عیبش لکه پذیری بالاست
ختم کلام بگم در خریدش اصلا اصلا شک نکنید",5,0,4,5,5,5,5,5
,,"دو ماه میشه که این لپتاپ رو خریدم و اوایل که خیلی هنگ میکرد و دور بالا میامد و بعدش گفتم شاید واس ویندوز باشه و چند بار ویندوز های مختلف 10 رو امتحان کردم ولی نتیجه نداد و فرستادمش گارانتی و هاردش رو عوض کردن و الان هم که مشکل هنگ کردنش درست شده داخل برنامه های مثل سالید ورکز گیر میکنه و هنگ میکنه والا موندم دیگه چیکارش کنم ادم این همه هزینه میکنه که یه چیز خوب بخره بعدش این طوری از اب در میاد",4,4,1,1,1,1,1,1
"پردازنده قدرتمند 6700HQ به همراه رم DDR4
کارت گرافيک رده گيمينگ GTX 960M با حافظه گرافيکي 4GB از نوع GDDR5
کيبورد عالي با کليد هاي مکانيکي و نور پس زمينه به همراه تاچ پد بينظير
صفحه نمايش عالي به همراه لوگوي درخشان ASUS درپشت صفحه نمايش
فن قدرتمند و بيصدا , بلند گوهاي عالي و ...","باتري ضعيف
خش پذير ي نسبتا زياد در قسمت پشت صفحه نمايش.","این لپ تاپ از هر جهت عالیه و دارای کانفیگ سخت افزاری در حد لپ تاپ های کیمینگ مثل LENOVO Y700 , ASUS G551VW که وقتی باهاش کار میکنین قدرتشو حس میکنین.
تنها مشکلاتش اول باتریش هست که موقع بازی زود تموم میشه (البته بیچاره حقم داره با این سخت افزار) دوم اینکه خیلی زود خش روش میفته مخصوصا قاب پشتی صفحه نمایش.
فن این دستگاه عالیه و با وجود تنها بودنش بازهم تو بازی های سنگینی مثل NFS RIVALS و GTA V تو حداکثر تنظیمات گرافیکی در انداره 1080P کم نمیاره و دما رو زیر 80 درجه سلسیوس نگه میداره.
تازه رم گرافیک این دستگاه 4 گیگ هست و چون گرافیک مجتمع داره سیستم هم به طور اتوماتیک 4 گیگ دیگه در اختیارش میزاره و کل حافظه گرافیکیش میشه 8 گیگ که عالیه.
این از نقد و بررسی
حالا مشکل من اینه:
چون هارد SSD نداره میخوام یکی بگیرم ولی نمیدونم رابط M.2 پشتیبانی میکنه !",3,2,5,4,5,5,5,4
,,"سلام
این مدل واسش میتونی قلم نوری استفاده کنی مثل سرفیس یا نوت",1,6,5,5,3,3,3,3
,,"من مدل n552vx رو دارم که خیلی راضیم ازش و کانفیگش همینه...فقط بعضی نرم افزار ها نوشته هاشون کوچیکه که میشه رزولوشن رو موقع استفاده از اونا پایین اورد...به نسبت 4k و 15.6 این بودن صفحه نمایش باطری عالیه...از ماوسش زیاد خوشم نمیاد اما هیج مشکلی نداره ولی حرفه ای نیس...در کل ایسوس عالیه...فقط یه مشکل هست که من مدل n552vx رو خریدم با همین مشخصاتبا دو تفاوت...اول اینکه مال من گرافیک چهار گیگ 950 داره اما این مدل گرافیک چهار گیگ 960 داره که فرق چندانی باهم ندارن و جفتشون نیازتونو براورده میکنن.تفاوت دوم اینه که این مدل دو ترابایت هارد داره اما مدل من یک ترا بایت.البته مال من 128 گیگ هارد ssd داره که این مدل نداره...با این اوصاف فک میکنم مال من بهتره چون من خریدم(البته از بیرون نه دیجی کالا) و این مدل بیخودی گرونتره تازه اونم تو پیشنهاد ویژه",6,2,5,5,5,5,5,5
"سخت افزار قوي و بروز ( DDR4 - GDDR5 - SSD - Skylake )
کيفيت ساخت خوب ( فلزي - صفحه نمايش 4K )
زيبا ( رنگ خاکستري گرم - نور پس زمينه کيبرد - روشن شدن لوگوي ايسوس پشت دستگاه )
دستگاه بي صدا و حرارت بسيار کم","سنگين ( 2.5kg )
خش پذيري بالا, ماندگاري اثر انگشت
باطري","نقاط قوت
سخت افزارها بسیار مناسب برای انواع کارها مانند ( Aoutodesk - Adobe - Visual Studio ) هستند و به طور کامل از تمامی کارای طرحی و گرافیکی بر می آیند.
کیفیت دستگاه خوب است, فلزی و زیبا. کار با لپ تاپ بسیار لذت بخش است و کیبرد بسیار زیبا و نرمی دارد. تاچ پد از 3 انگشت پشتیبانی میکند که برای ویندوز 10 بسیار کارآمد است.

نقات ضعف
سخت افزار قوی و کیفیت بالای صفحه نمایش باعث شده تا کمی عمر باطری به حد اقل برسد.
دستگاه با کوچکترین برخورد خش پذیر است (مخصوصا پشت دستگاه )
کمی وزن زیاد ممکن است برای حمل ازارتان بدهد اما برای یک لپ تاپ فلزی و مستحکم از نظر من وزن مناسبی است.",10,1,3,4,5,5,4,4
"کيفيت ساخت عالي
صفحه نمايش لمسي
بلندگو فوق العاده
داشتن درايو نوري که به نظر من خيلي مهمه","باتريش ميتونست خيلي بهتر باشه
وزن نسبتا زياد
نبود پورت vga
مات نبودن صفحه نمايش و جذب اثر انگشت در روي لبتاب و صفحه نمايش","سلام خدمت دوستان عزیز
من این لبتابو حدودا سه هفته پیش خریدم (از دیجیکالا نخریدم)وخیلی ازش راضی هستم .رواین لبتاب بازی fallout4 رو نصب کردم و روان اجرا کرد ولی روی تنظیمات بالا خیلی روون نیستش .همون طور که در بالا گفتم وزنش زیاده و ممکنه حمل و نقلش سخت بشه.روی لبتاب از جنس فلز هستش که باکیفیت هست ولی اثر انگشت رو به راحتی جذب میکنه.بلندگو هاش خیلی خیلی باکیفیت و دارای صدای بلند هستش.صفحه نمایش لمسی هستش ولی اگر استفاده کنید اثر انگشت روش میمونه که خوشایند نیست.نصب درایور هاش اذیت میکنه (حدودا لبتاب باید 23 بار ریستارت بشه).
درکل لبتاب خوبیه ولی شاید خیلی مناسب گیمر های حرفه ای نباشه و خواسته هاشونو براورده نکنه.ولی اگر برای کاربرد روزانه حتی خیلی هم بیشتر بخاهید حتما حتما راضیتون میکنه .
امیدوارم مطالب گفته شده به دردتون بخوره و بهترین انتخابو داشته باشید.
یاعلی",6,3,5,4,5,5,4,5
[],[],"خوب شد مدل A رو خریدم. چون شنیده بودم مدل جدید قراره بیاد گفتم شاید بهتر باشه منتظر بمونم. متاسفانه این هم صفحش براق هستش و هم مقدار روش کمه و SSD هم نداره.",4,9,3,3,3,3,3,3
