positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","عملکرد سخت افزار داخلي و باتري","کيبورد و تاچ پد","کيفيت صفحه نمايش و بلندگوها","امکانات و قابليت ها","طراحي و کيفيت ساخت"
,,"من این لپ تاب خریدم و خیلی ازش راضیم فقط یه مشکل داره صفحه نمایش خیلی خیلی ماته نمی دونم تنظیم داره یا نه ولی داره ناراحتم می کنه ولی در کل لپ تاب عالیه و تمام کارهای گرافیکی رو با کیفیت خوب انجام می ده",0,0,5,4,5,2,5,3
,"کيفيت صفه نمايش پايين","کیفیت صفش با لپ تاپ های 10سال پیش یکه",0,1,3,3,3,3,3,3
"رم خوب
حافظه خوب
گرافيک خوب
صفحه نمايش خوب با توجه به قيمت","نور پس زمينه کيبورد
طراحي قديمي
جذب اثر انگشت روي بدنه
بلندگو هاي زير لپ تاپ","با توجه به قیمت از این بهتر نمیشه پیدا کرد",4,0,5,5,4,4,4,5
,"بلندگو در زير لبتاپ است زاويه ديد کم","لبتاپ عالیه من خودم از دیجی کالا گرفتم .
و سخت ترین کارهای گرافیکی رو به راحتی انجام میده .
و برای طراحان و گیمر ها و کسانی ک کار گرافیکی میکنن عالیه.
صفحه نمایش مات عالی ای هم داره اصلا انعکاس نور ندارین فقط حیف که زاویه دید کمه. کیفیت صدای خوبی هم داره به شرط اینکه از زمین فاصله داشته باشه .
فقط در حال اجرای بازی های خیلی سنگین از استند خنک کننده استفاده کنین .",5,0,5,5,5,3,5,5
,,"حتما پیشنهاد می کنم بخرید",2,0,5,5,5,5,5,5
"همه چي",هيچي,"واقعا لپ تاپ خوبیه
یه لپ تاپ مدل hp inspirin هستش که همین امکانات رو داره ولی قیمتش یک میلیون از این بیشتره
تو aspire e5 ها تنها این لپتاپه که نور پس زمینه کیبورد رو داره.

در کل عالیه",2,0,5,5,5,5,5,5
"همه چيز","جذب اثر انگشت","من اول باید از دیجی کالا تشکر کنم اولا به خاطر قیمت خوبش و اینکه که تو مدت خیلی کوتاه این لپتاپ رو برام ارسال کرد

در مورد این لپتاپ هم باید بگم که اگه قرار که کار های گرافیکی یا کدنویسی انجام بدید و یا حتی بیشتر از اینا واقغا چیزی کم نداره و از همه نظر میتونه راضیتون کنه.
من فقط تنها ایرادی که میتونم به این لپتاپ بگیرم به قسمت پشت بدنشه که خیلی مستعد جذب اثر انگشته و ی خورده میتونه آزار دهنده باشه",3,0,5,4,5,5,5,4
"رم 16 ddr4
باطري خوب","جاي اسپيکر افتضاست
جذب اثر انگشت
زاويه ديد مانيتور","نسبت به هم رده هاش کاملتره ولی معایبی هم داره ولی در کل من راضی هستم",5,2,4,4,4,4,5,4
"تنوعي از سخت افزارهاي قدرتمند
داشتن پورتهاي متعدد کاربردي
ارزش خريد بالا نسبت به امکانات","وب کم
نداشتن کارت گارانتي همراه لپ تاپ","سلام. چند روزی است این لپ تاپ به دستم رسیده و سعی میکنم جزئیات بیشتری خدمت دوستان ارائه بدم.
لپ تاپ که به دستم رسید؛ نبود کارت گارانتی شرکت سازگار تو ذوقم زد. با دیجی تماس گرفتم و گفتن همون فاکتور ملاک شروع گارانتیه و اگه کارت گارانتی داشت براتون میفرستادیم و شما نگران نباشید و سازگار موظف به ارائه گارانتی 2 ساله اش هست و این حرفا و امیدوارم همه چیز در صحت و راستی باشه.
پشت صفحه نمایش و استراحتگاه و دور کیبورد فلزه اما دور خود صفحه نمایش و زیر لپ تاپ پلاستیکیه. قسمتهای فلزی به شدت مستعد جذب اثر انگشت هستند (مخصوصا به خاطر رنگ مشکی) و دستهاتون چرب باشه مدام باید تمیز کنید. کابل برق سه شاخه هست و حتما باید یه تبدیل بخرید برای دوشاخه کردن آن. کار با کیبورد روان و مطلوبه و برا تایپ عالیه ولی رو کلیدها حروف فارسی چاپ نشده و برای مبتدیان نیاز به برچسب و یا تمرین داره. تاچش هم خوبه و فرمانهای چندلمسی رو میگیره ولی میتونست روانتر از این باشه. سرعت بالا اومدن ویندوز10 کمتر از 10 ثانیه است و نصب کامل ویندوز هم اول کاری حدود 20-25 دقیقه طول کشید. تو اجرای برنامه های گرافیکی سنگین و محیطهای برنامه نویسی عملکرد بسیار خوبی داشت. باتری لپ تاپ قابل جدا شدن نیست ولی ماندگاری شارژ خوبی داره که با کارهای معمولی حدود 6 ساعت رو جواب میده. زیر لپ تاپ محفظه ایه که پیچ هاش با بقیه مجزاست و کار رو برای آپگرید لپ تاپ در آینده راحتتر میکنه. صدای خود لپ تاپ حین کار بسیار کمه ولی DVD Writer کمی ظریف به نظر میاد و موقع کار یکم صدا داره. صفحه نمایش مات و کیفیتش راضی کننده است هر چند که یکم محدودیت زاویه دید داره. از کیفیت وبکم راضی نبودم یعنی اونHD که تو مشخصات زده براش زیادیه! با اینکه بلندگوها زیر لپ تاپه ولی اگه یکم فاصله داشته باشه کیفیت صدای خوبی داره و حین تماشای فیلم و پخش آهنگ راضی تون میکنه.
داشتن بک لایت و صفحه مات و پورت USB 3.1 و به همراه رم 16 گیگ و CPU 7500 و کارت گرافیک 4 گیگ از برترینهای اون نسبت به رقبای هم قیمتش است. توصیه میکنم در خریدش شک نکنید.",12,0,5,5,5,4,5,5
"کارت گرافيک و رام و سيپيو قوي",,"خیلی خوب و به صرفه و قدرتمند",10,1,3,3,3,3,3,3
