positivePoints,negativePoints,commentText,like,dislike,"ارزش خرید به نسبت قیمت",نوآوری,"کیفیت ساخت","امکانات و قابلیت ها","سهولت استفاده","طراحی و ظاهر"
"طراحي ظاهر زيبا","پردازنده ي نسبتا ضعيف و لگ زدن هنگام کار باهاش","گوشیه ی جالبیه خیلی خوشدسته و خوشگل.اما شاید بزرگترین مشکلش پردازندش باشه که یکم ضعیفه
تو این رنج قیمت گوشی های بهتری هم میشه پیدا کرد مث c7 pro که از اینم ارزون تر در میاد ولی در مقابل این یه غوله
پیشنهاد میکنم اگه تو این رنج قیمت میخایید گوشی بخرید گوشیه ی c7 pro رو در نظر داشته باشید",0,0,2,5,4,4,5,4
,,"کیفیت باطری عالی
ظاهر شیک
قیمت متناسب با امکانات",0,0,3,4,5,4,4,3
,,"به نظر من گوشیه بدی نیست ولی تو این رنج قیمت از این گوشی بهتر هم هست. طراحی زیبا و ظرافتش خوبه. بینش مخصوصا دوربین جلوش بی کیفیت
یکی دیگه از مشکلاتش که هست باتری سر خود بودنشه و بعدا اگه هر مشکلی پیدا کنه و بخواد وا بشه باید از روی تاچ وا بشه و ممکنه تاچش بشکنه
واگه هنگ کنه هیچ کاری از دست شما بر نمیاد تا خودش خوب بشه یا خاموش بشه",0,0,2,2,3,4,5,2
,,"سلام عزیزان من قبل از عید این گوشی خریدم اما اصلا ازش راضی نیستم گوشی قبلی که داشتم سونی بود کیفیت دوربین جکو خیلی عالی بود (c4 )این گوشی افتظا دوربینش پیشنهاد میکنم نخرید بنظر من سونی بهترین گوشی تو انتخابم اشتباه کردم",2,2,3,3,3,3,3,3
"ظاهر زيبا
حسگر اثر انگشت
شارژدهي خوب","نداشتن چراغ نوتيفيکيشن
عملکرد ضعيف سنسور نور
سنگين بودن گوشي
عدم وجود لرزشگير دوربين","سلام. من 6 ماه این گوشی رو داشتم. از نقاط ضعف و قوتش هرچی به ذهنم رسید نوشتم.",1,2,2,4,1,3,4,0
"همش خوبه","صادقانه بگم نداره","کارایی+قیمت مناسب و باکیفیت...",0,0,5,5,4,5,5,4
"طراحي زيبا
خوش دست بودن
و...","من که تا الان چيزي نديدم","سلام.من الان مدت6ماهه ک این گوشی خریدم،بدون اغراق و طرفداری باید بگم م خیلی ازش راضیم واقعا گوشی جالب و خوبیه،تا الان اصلا لگ نداشته،دوربینش حرف نداره،هرموقع نگاش میکنم کیف میکنم.اولش دنبال ایفون بودم ولی با تحقیق دیدم اندروید و سامسونگ بهتره واین خریدم.یکی از مزایایی ک واسه من خیلی مهم بود باتری گوشی بود ک تا حالاa7کاملا منو ازین بابت راضی مرده و اصلا مشکل شارژ باتری نداشتم.ب کسایی ک میخوان تو این رنج قیمتی گوشی بخرن و اونایی ک دوست دارن ی گوشی با اندازه صفخه5.5ک بنظر من بهترین اندازه واسه گوشیه بدون شکa7پیشنهاد میکنم",1,1,4,4,4,5,5,4
"باتري مناسب و قوي
اندرويد 6
کيفيت خوب صفحه نمايش",,"این گوشی رو نزدیک به یک هفته هست که برای برادرم خریدم. قبلا گوشی sony c4 داشت که به علت افتادن touch اون شکست و ارزش درست کردن نداشت.
گوشی سابق باتری خوبی نداشت، اما مهم ترین ویژگی این گوشی باتری خوب و عالی اون هست. ضمن اینکه از شارژ سریع Quick Charge هم استفاده می کنه که بسیار به درد آدم می خوره. از لحاظ کیفیت عکس به نظرم خودم به پای c4 نمی رسه ولی نسبت به LG v10 کیفیت خوبی داره.
سرعت اجرای بالایی هم داره که به علت Ram اون هست که دارای 3 گیگ Ram می باشد.
در مجموع من خودم سامسونگ ندارم ولی فعلا داداش ما راضی هست اون هم فقط و فقط و فقط به علت باتری خوب",4,1,3,3,4,4,4,3
,,"من 1 ساله این گوشی رو دارم واقعا عالیه",3,0,5,5,5,5,5,5
,,"من چند روزه که این گوشی رو خریدم
گوشی خیلی شیک و با کلاسه خصوصا رنگ گلدش
خیلی لیزه و سر میخوره
حتما کیف بخرین براش
باطریش معمولی رو به خوبه
خیلی فوق العاده نیست باطریش
لمسش خصوصا روی گوشه هاش که گلس میخوره خیلی بده
صدا و آنتن دهیش مناسبه
دوربین پشتش خوب رو به بالای
دوربین جلوش هم خوبه
اگه کسی میخواد اس سون اژ s7 edge بخره من توصیه میکنم اینو بخره
چون هم تفاوت قیمتشون نسبتا زیاده و هم فرقی با هم ندارن.",1,5,4,4,4,3,5,4
,,"واقا گوشی خوبی هست من سه چهار ماه هست دارمش واقا راضیم.از همه چیش.مخصوصا دوربین.البته نه فقط دوربین سرعتش هم عالیه .مخصوصا ظاهر زیبایی داره.به نظر من تو گوشی های میان رده سامسونگ بهترین هست واقا دارم میگم عالیه",2,0,5,5,5,5,5,5
,,"من یک ماهه خریدمش ولی هنوز آپدیت اندروید 6براش نیومده",1,0,2,4,0,3,3,2
"دوربين عالي در حد 16
هسته قوي بدون هنگ و اجراي سنگين ترين بازيا
زيبايي عالي حتي بهتر از سري 2017
کيفيت صفحه با تراکم 427
فيلم برداري عالي هر چي بگم کم گفتم","نميشه پيدا کرد بجز نبود گلس مناسب","من هم a5 2017 و هم lg g5 دارم ولی این بینشون تک هستش دوربینش واقعا از دوربین a5 دوهزارو 17 بهتره و ثابت میکنه دوربین به عدد نیست دوستان خواهشن تو همین دیجی کالا دوربینش رو با a5
lg g5
galaxy s7
a5 2017 مقایسه کنند در کل عالیه و بعد عوض کردن حدود 15 تا گوشی هوشمند تو یک سال و 4 ماه بهترین گزینه بود زیباییش کلا حرف نداره البته گوشی ساخت ویتنامه و در مورد هم مدل های ساخت چین نمیدونم این حرفا صدق میکنه یا نه خلاصه من راضیم و به نظرم قیمتش حقشه و 100 در 100 از a5 دوهزارو 17 بهتره اگه معیار زد اب بودن رو در نظر نگیریم ک البته رو اون نمیشه زیاد حساب کرد",3,3,5,5,5,5,5,5
,,"فقط میتونم بگم که برای سامسونگ متاسفم چون p9 lite هواوی پردازنده قوی معادل اسنپ دراگون 810 زده ولی سامسونگ یک پردازنده ضعیف رو گوشیش گزاشته",6,14,3,3,3,3,3,3
هيچي,"دوربين خيلي ضعيف
فيلمبرداي ضعيف
نور بي فايده فلش(فلش ضعيف)
تراکم پيکسلي پايين
نداشتن نواوريوحسگر ضعيف","کلا بدرد نمیخوره توی برند های دیگه میشه گوشی با مشخصات بالاتری پیدا کرد",9,12,0,0,0,3,1,0
,,"سلام دوستان گوشی قبلی من سونی zبود بعد چند وقت گفتم یک گوشی دیگه انتخاب کنم این مدل و خریدم و برای اولین بار بود سامسونک و استفاده میکنم اصلا راضی کننده نبود برام
دوربین جلوش سلفی که شرایط نور یکم بد باشه افتضاح ترین عکس و میگیره ولی نور خوب باشه خوبه و اون دوربینشم کافیه دستت یکم بلرزه
چند بارم تو تلگرام و اینستا هنگ کرده شاخ در اوردم از گوشی که این قدر تعریف میکنن این مسئله رو 4g هم که هست انتن ضعیف بشه نت افتضاحه و کم پیش میاد بیوفته رو 3g من خودم دستی میذارم تا بشه استفاده کرد خیلی بشدتم سر و لیز هست خلاصه اینقدر میگن شاخ نیست
این حرفای من به عنوان استفاده کننده هست و گوشی رو هم از نمایندگی خریدم و اصله
خیلی راضی کننده نبود برام شاید برای کسایی گوشی مدل بالا تر نداشتن راضی کننده باشه نسخه انروید 7 هم برای a5 اومده هنو برا من نیومد",10,21,0,0,0,0,0,0
