,,"این گوشی توسط مهندسین BMW آمریکا طراحی شده و جز اولین گوشی هایی است که رسما از Google daydream پشتیبانی میکند. فقط امیدوارم تو ایران هم قیمت جهانی عرضه بشه چون خیلی میارزه",2,0,5,3,3,3,3,3
"به نظر همه چيزش خوبه","به نظر ايراد جدي و بزرگي نداره جز اينکه قطعات و لوازم جانبي گير آوردنش و نداشتن اينکه گارانتي معتبر","میشه ریسک کرد و خرید.ولی خداکنه با کیفیت باشه همراه با قیمتی مناسب که بشه ریسکشو پذیرفت...",2,0,3,3,5,5,3,5
"طراحي بسيار عالي
صفحه نمايش 5.5 اينچي
وجود 64 گيگابايت حافظه داخلي (نسخه رم 4)
اندرويد 6 و ابديت سريع به اندرويد N (طبق گفته فون آرنا)
اسپيکرهاي قدرتمند و هدفون خيلي عالي","باتري نسبتا ضعيف نسبت به ONEPLUS 3 و S7 و HTC 10
روشنايي کمتر صفحه نمايش نسبت به امولد هاي سامسونگ
دوربين ضعيف تراز oneplus 3 و دوربين هاي LG و SAMSUNG
نبودن لوازم جانبي
در صورت خراب شدن گوشي احتمالا بايد بندازيم سطل آشغال","سلام،عرض ادب و احترام خدمت تمامی عزیزان خصوصا مسیولین عزیز در دیجی کالا.

این گوشی رو به محض اینکه دیگه کالا موجود کنه من قصد خریدش رو خواهم داشت.با وجود اینکه قطعا ریسک خواهد بود و با وجود اون 5 موردی که از معایبش گفتم.
چون مهمترین دلیل خرید این گوشی برای من وجود چیپست 32 بیتی صوتی قدرتمند و وجود بلندگوهای این گوشی هست.
بعد از اون هم سخت افزار بسیار قدرتمند در حد oneplus 3 و htc 10 و lg 5 و motorola moto z force و s7 edge.


خیلی وقته که منتظر این گوشی هستم و همچنان دیجی کالا زده به زودی.امیدوارم خرچه زودتر موجود بشه تا این ابر گوشی رو از لحاظ گوشی بخرم و درموردش براتون مطلب بنویسم.

شاد سلامت و همواره سربلند باشید.",5,3,2,4,5,3,5,5
"صفحه نمايش
حافظه کافي
پردازنده قدرتمند
باتري عالي با شارژ سريع",نداره,"لطفا اونایی که کار نکردن نظر منصفانه بدن اگه کار کنین باهاش عاشقش میشین",6,0,5,5,5,5,5,5
"همه چيزش","بهتر بود همزمان با آندرويد N بياد و اين رو دريافت بکنه","یکی از دوستان یکی از مدل های پایین همین برند رو داره و من هم واقعا وقتی باهاش کار کردم خوشم اومد،کاری نیست که نکنه،الان هم یک ساله دارتش و هیچیش نشده.(منظور از هر کاری بازی اچ دی هست)",2,0,5,5,5,5,5,4
,,"گیر نیومدن قطعات گوشی مانند گلس-کاور یا قاب ژله ای-تاج وLCD - باطری و........
هر چقدر این گوشی زیبا و با کیفیت باشه تا دیجی کالا فکری به خاطر قطعات جانبی گوشی که برای فروش میار نکنه ارزش خرید نداره.
اگه تاچ وLCD این نوع گوشی ها مشکلی پیدا کنه تو بازار نیست و اگه یک درصد هم وجود داشته باشه باید 80 درصد پول گوشی رو پرداخت کنه.",5,3,1,3,3,3,3,3
"با اين سخت افزار ديگه چي مي خواهيم ما",هيچي,"ما کماکان منتظریم تا این گوشی بیاد من که عاشقشم .
از اپل و سامسونگ خسته شدیم بسته دیگه .
ممنون دیجی ما منتظریم .",4,0,3,5,5,3,5,5
[],[],"بنظرم رو ورق که بی نظیره حالا بیاد ببینیم که چی از آب در میاد",4,0,3,3,3,3,3,3
"[""همه چيز جز باطري""]","[""هيچ چيز جز باطري""]","گوشی عالیه اما پیشنهاد میکنم ریسک نکنید و به برند معتبر تری اعتماد کنید پیشنهاد من انواع گوشی های زن فون ایسوس هستش یه نگاه به جدید ترین مدلش کنید میفهمید چی میگم اون رم 6 داره با 256 حافظه داخلی و...در ضمن برندش تو لب تاپ جواب خودشو داده و تو گوشی هم با سری زن فون دو نشون داده که عالیه و خرید محصولاتش ریسک نیس",7,11,5,5,5,5,5,5
"[""همه چي ""]","[""هيچي ""]","خیلی گوشیه خوبی است منتظرم که بیاد.",6,0,5,5,5,4,5,5
,,"گوشی بدرد بخوریه البته اگر قیمتش مناسب باشه",7,1,5,5,5,3,3,5
"[""دوربين بالا،رم بالا،حافظه 64گيگي""]","[""مصرف بالاي باتري به دليل صفحه نمايش بسيار قدرتمند و رم بالا""]","گوشیه عالی و خوبیه همه چیزش عالیه اگه قیمتش مشخص بشه دیگه اولین هدف منه آدم دیگه از وشی های سامسونگ و اپل خسته شده که فقط اسم در کردند زدتی ای که ساخته شده در همون کارخانه ایسوس و ایسر و اسمارت داره تموم گوشی های بازار رو پایمال میکنه.....",6,1,5,2,5,2,4,5
,,"سلام دی جی کالا ممنون از سایت خوبتون .
ممنون میشم اگه مدل 128 این گوشی با 4 گیگابایت و 6 گیگابایت حافظه ی رم موجود شه تو سایتتون مایلم بخرمش.
ممنون میشم.",5,0,3,3,3,3,3,3
[],[],"سلام،مارک گوشی های موجود در بازار خیلی تکراری شده الان اپل هم دست همه دیده میشه،وقت اونه که آدم کوشی های جدیدرو تجربه کنه،امیدوارم که این گوشی در بازار موجود بشه،من که ازش خوشم اومد",11,0,3,3,3,3,3,3
"[""همه چي""]","[""نديدم""]","بابا این گوشی خیلی عالیه اقا + بدین زود موجودش کنه عالیه عالی",13,0,5,5,5,5,5,5
[],[],"زد تی ای هم داره خودش رو به پرچم دار ها میرسونه و یکی از ویژگی هاش این هست که قیمت پایینی داره انشاالله این گوشی قیمت مناسبی داشته باشه",14,0,5,5,5,5,5,5
