positive_points,negative_points,text,like,dislike,ارزش خرید به نسبت قیمت,نوآوری,کیفیت ساخت,امکانات و قابلیت ها,سهولت استفاده,طراحی و ظاهر
دو تا فلش که براي شب عاليجواب داد,,با سلام امروز سومین روز کار با گوشی c5 : گوشی خوب و خوش دستی هست ظاهر خوبی داره و هنگ نکرده سرعت خوبی داره و 25گیگ از حافظه در اختیار کاربر هست اهل بازی نیستم که بتونم راهنمایی کنم انشاءالله مفید باشه یا علی,1,1,5,5,5,5,5,4
طراحي زيبا خوش فرم و خوش دست بدنه قوي و چشم گير دوربين عالي سرعت فوق العاده,نداشتن برخي امکانات سخت افزاري مثل اينفرارد براي استفاده ريموت,"سلام
من اس
ین گوشی رو 1ماه میشه خریدم،واقعا محشره و تو مقاومت،سرعت و نرم افزار هیچ ضعفی نداره",0,0,5,5,4,5,5,5
,,این درسته که می گن چون سفارشه چین هستش و بیس باندش از 2100 شروع می شه در حالیکه برا ایران سیستم 2g از 1900 شروع می شه و به خاطر همین خیلی جاها آنتن نداره مخصوصا تو همراه اول,0,1,3,3,3,3,3,3
"طراحي بسيار زيبا
شارژ خوب نگه ميدارد وسرعت شارژ شدنش بالا مي باشد
مدلC5 بسيار خوش دست مي باشد
کيفيت تصوير بسيار بالا
سرعت بسيار بالا",نمي توان به طور همزمان هم از دو سيم کارت هم از کارت حافظه استفاده کرد,"من در حال حاظر یم هفته است که این گوشی را خریداری کردم. گوشی قبلی من Samsung Galaxy S5 بود. برای کسانی که از دوربین این گوشی ایراد می گیرند باید این را عرض کنم که اگر کسی توقع دوربین عالی دارد باید سراغ سری S سامسونگ برود. اما اگر طراحی شیک، سرعت بالا، کیفیت بالا و شارژ خوب میخواید بعلاوه یک دوربین سلفی عالی من C5 را پیشنهاد می دهم.
اما در حالت کلی افرادی هستند که طراحی شیک اپل واستقامت اپل را به همراه کارایی و امکانات سامسونگ میخواهند. Galaxy C5 دقیقا همین مشخصات را دارد.
موفق باشید",2,1,5,5,5,5,5,5
,,من خریدم زیاد از دوربینش راضی نبودم چون خیلی دلچسب نبود و بردم پسش دادم .,2,3,3,3,3,3,3,3
,,خیلی خوشگله بخرین حتما,2,0,3,3,3,3,3,3
"زيبا
سلفي8
رم خور بودنش
رام4",باتري يکم پايين,"این مدل گوشی جدید سامسونگه یک ماهه خریدمش فارسی هم بردم کردن ظاهرش عالی
نقاط قوتش بهs6 حافظه داخلیش مثلهمون32ولی رم هم میخوره
صفحش5.2
لنز دوربین بیرون نزده
دوربین جلوش8
4g
اثرانگشت
همه چیش عالیه فقط طبق عادت سامسونگ میان رده باتریش یکم برا این مدل ضعیفه گرچه دوروز هم نگه میداره
گلس و گیفشو ...تو بازارم هست",3,0,5,5,3,5,5,5
ram 4gb,پايين بودن ظرفيت باتري,من این گوشی رو حدود 10روزه گرفتم وگوشی خوبیه امکانات و سرعت اجرا به دلیل رم بالا در حد بیسته و تنها مشکلش اینه که با save power و استفاده صفحه با نور پایین به زور 24 ساعت شارژ نگه میداره و اگر ازش شدید کار بکشین فکر کنم 10 ساعته تموم بشه,0,0,3,4,2,3,4,4
"اندرويد بالا
دوربين
طراحي زيبا",,ازش خیلی خوشم اومده، نمیدونم کیفیت سری گلکسی رو داره یا نه، توی خریدش دو دلم، نمیدونم این بهتره یا c7,2,2,3,4,5,3,5,4
خيلي,ندارد,"دوستانی که میگن هندزفری نداره دقت کنید هندزفری قسمت پایینی موبایل میخوره
دیجیکالا جان شما هم زود تر موجودش کن لطفا...",4,3,5,5,5,5,5,5
