positivePoints,negativePoints,commentText,like,dislike,ارزش خرید به نسبت قیمت,نوآوری,کیفیت ساخت,امکانات و قابلیت ها,سهولت استفاده,طراحی و ظاهر
,,"من این گوشی رو 3 هفته ای میشه که از دیجیکالا خریدم . خیلی از مطالب رو دوستان تو نظراتشون گفتن اما دیدم کسی راجع به Siri چیزی نگفته . دستیار صوتی آیفون یا همون Siri فوق العاده اس ، تقریبا هر سوالی رو جواب میده ، اسم های ایرانی که تو contacts سیو شده رو هم خوب تشخیص میده موقع رانندگی خیلی به درد می خوره واسه تماس گرفتن ، واسه خیلی چیزا لازم نیس وب رو باز کنین مثلا من برای تایم بازیهای فوتبال ازش سوال میکنم و درست جواب میگیرم و خیلی چیزهای دیگه ... من که بی نهایت ازش لذت میبرم .
فقط این رو هم اضافه کنم که واسه منی که 5 سالی میشه از اندروید استفاده کردم کار کردن با ios اصلا سخت نبوده .",2,1,3,5,5,4,4,4
"کيفيت ساخت
سيستم عامل منحصر بفرد و روان
بهترين دوربين در گوشي هاي همراه",نياز به اطلاعات بالا براي کار با گوشي آيفون,"تکرار مطالب و تعریف از کارایی و مواردی که تو نقد و بررسی خود دیجی کالا هست از سوی اینجانب خسته کردن دوستانه پس اگر برای خرید نظرات رو می خونی به همون نقد و بررسی دیجی کالا اکتفا کن یا چند ویدیو تو یوتیوب بببینید قبل خرید . بنده مدتی هست که آیفون 7 گرفتم و با توجه به اینکه قبلا آیفون 6 داشتم و حافظه 16 اون جواب نمیداد اقدام به خرید این گوشی کردم. دوربین جدید واقعا فوق العاده ست و با توجه به سبکی که میخواین می تونین عکاسی کنید و از امکاناتی و اپلیکیشنهای رایگان و در صورت لزوم پولی که در اپستور هست نیازهای یک عکاس حرفه ای رو برآورده کنه . نیازی به گفتن نیست با توجه به ظرفیت کم باتری ولی سیستم عامل بهینه iOS باتری برای وبگردی و بازی دوستان به بهترین وجه جواب گو هست. دوستانی که این نظر می خونن ولی با کارکردن با این گوشی به معنای واقعی آشنا نیستین هیچ ترسی نداره و به آسونی و سرچ تو سایتهای ایرانی و حتی یوتیوب پس از مدتی می تونن از همه امکانات اون بهره ببرن. ایراداتی که بعضی از دوستان در مورد دانلود و اجازه نصب نکردن بعضی اپلیکیشنهارو میگیرن هم بنظر اینجانب کم لطفی چون اگر رعایت کپی رایت و حقوق سازندگان نبود نه این گوشی و نه سایر برندهای معتبر به این حد از پیشرفت نمیرسید. در آخر این مطلبم عنوان کنم منتظر نسل بعدی آیفون هستم که شهریور ماه معرفی میشه تا ببینم ارزش تعویض با سری جدید را خواهد داشت یا مثل مدل قبلی اینی که گرفتم 3 سال برام کار خواهد کرد یا نه.
با تشکر از دیجی جون و دوستانی که مطلب بنده رو خوندن لطفا با توجه به علایق و انظار میزان کاربری که از یک گوشی دارین انتخاب کنید.",12,7,4,4,4,4,4,4
"دکمه هوم
نمايش
تاچ
قدرت لمس
مات",,یه گوشی عالی که همه نوع نرم افزاری رو پشتیبانی میکنه و قدرت و امنیتش حرف نداره پیشنهاد میکنم بخرید,4,2,5,5,5,5,5,5
"سرعت عالي
دوربين عالي
کيفيت ساخت عالي
اسپيکر هاي خوب","سيستم عامل بسيار ضعيف و بسته و محدوديت هاي بيخودي و آزار دهنده براي استفاده دراز مدت مخصوصا براي آهنگ و برنامه و مديريت فايل ها که اشاره منبسطي سعي ميکنم بهش بکنم.
عمر باتري و دير شارژ شدن آن
نداشتن جک هدفون
وابستگي به آيتونز که بسيار آزار دهندس و آيتونز باگهاي بدي هم داره توي ويندوز و توي ايران.
نداشتن تنظيمات دستي دوربين و کيبورد فارسي بسيار بد که با ايموجي ها همش در حال کشمکش هست و بايد استفاده کنيد تا بفهميد چب ميگم دقيقا.","سلام خدمت دوستان.
قصدم تخریب نیست راستش چند روز پیش یه نظر نوشتم که خیلی تعریف کردم و تایید هم شد اما حذفش کردم چون فکر میکنم گمراه کنندس و در اون لحظه از دنیای بیرون دیوار هایی که دور خودم کشیده بودم بیخبر بودم و این انتخاب درستی نبود و توصیه این گوشی حداقل به امثال خودم اشتباه محضه.
اولا گوشی الانم htc10 هست و تمام پرچمدار های سال قبل اندروید رو تست کردم و گوشی محبوبم همچنان الجی وی20 هست که بخاطر عیب های کوچولویی که داشت 10 رو بهش ترجیح دادم.
داستان اینطور شد که چند روز پیش htc10 دستم افتاد و وقتی شزوع کردم باهاش کار کردن بشدت از اینکه تا الان خودمو توی چه زندانی حبس کرده بودم شوکه شدم. همون روونی همون سرعت کیفیت صدای بهتر جک هدفون با دک و آمپ محشر و کیفیت ساخت بهتر و قیمت بهتر و.... علاوه بر تراکم پیکسلی بسیار بالاتر صفحه و باتری بهتر که توی یک ساعت 0 تا 100 شارژ میشه. واقعا بهتون میگم الان دیگه آیفون خریدن خیلی اشتباهه یه زمانی بود که تفاوت سرعت و روونی و کیفیت ساخت آیفون و خاص بودن و فشن بودن دارندگان این گوشی اختلاف قیمت و اصلا خریدش رو توجیه میکرد. اون زمان دیگه گذشته و توصیه میکنم حتما اگر خیلی علاقه دارید حتما حتما یاد بگیرید کار باهاشو که بسیار آزار دهندس الان که فکر میکنم بهش. قبلا به خودم میتونستم بگم حرفه ای اندروید اما انقد توی ios افتادم و یاد گرفتم که لذت اندروید رو فراموش کرده بودم. دوستانی که از اندروید خسته شدن و پولشون رو به سختی به دست آوردن و نمیخوان ضرر بدی با خریدشون بکنن توصیه میکنم یه گوشی مثل 5s بخرن از این برند و کار کردن باهاش رو ببینن و در صورت رضایت بفروشن که ضرری هم نداره یا اگر داشته باشه در حد ضرر فروش آیفون7 نیست. خیلی سعی کردم شبیه این آدمای جوگیر و برند پرست نباشم توی نظر دادن اما واجب دونستم بهتون هشدار بدم که با این مبلغ میتونید اس8 پلاس بخرید و اشتباه من رو تکرار نکنید. خودتون حتما تست کنید چون حرف من و بقیه همش حرفه و اون علاقه و استفاده شماس که مشخص میکنه انتخاب درست رو برای شما.
ممنون از دیجیکالای عزیز که هر محصولی که خریدم ازش فوق العاده عالی به دستم رسوند و اعتمادمو جلب کرده طی 8 سال خرید از سایت عالیش
موفق و موید باشید
ناصری",23,20,2,4,2,4,3,0
"عملکرد فوق العاده و سرعت بالا
نگه داري شارژ باتري در بهترين شکل",,دوستان پیشنهاد میکنم حتما به ios 10.3.1 آپدیت کنید. سرعت نسبت به قبل بهبود خوبی داشته. مشکل خالی شدن شارژ باتری هم نداره. در کل میتونم بگم بهترین و پایدارترین نسخه از آی او اس هست.,5,2,4,5,5,5,5,5
,,تجربه اولم هست با IOS واقعا راضی کنندست، این مدل یه هفتست از دیجی کالا خریدم مشکی براقش رو... زیباست,4,2,3,5,5,5,5,5
"حذف جک هدفون
دکمه هوم جديد
رابط کاربري عالي
اسپيکر هاي دوتايي قدرتمند
فناوري 3d تاچ(البته دو ساله اين فناوري هست و خيلي کاربردي و لذت بخشه)","بي ارزشي ايران براي شرکت اپل
وضع افتضاح شارژ نسبت به پرچمداران اندرويدي
رزولوشن تصوير پايين در نتيجه ضعف در پخش فيلم هاي vr
حاشيه زياد نمايشگر
قيمت بيشتر نسبت به کشور هايي که اپ استور دارن","خب من شخصا سیستم عامل ios رو ترجیح میدم
اما قبول کنید سامسونگ s8 با ظاهر بدون حاشیش ترکوند
و توی دوربین و شارژ دهی و کیفیت صفحه نمایش هم از اپل بهتره
من که چون از اندروید خوشم نمیاد و آیفون سون هم پیشرفت های خوبی نداشته منتظر آیفون بعدی هستم تا بخرم اما امیدوارم اپل یه فکر اساسی برای صفحه نمایش و فست شارژ بکنه
کسایی که تجربه ندارن بگم اپل با دو ساعت شارژ یک روز دووم میاره
اما گوشی های فست شارژ با نیم ساعت شارژ دو روز دووم میارن
البته پیشرفت اپل رو توی دکمه هوم و اسپیکر واقعا دوست داشتم
سخت افزارشم که خب همیشه بهترینه
اما عملا پیشرفت دیگه ای نداشت که بعضی ها میگن اختراعاتشو نگه داشته برای امسال که سالگرد دهمین سالشه یه گوشی محشر بده بیرون
خب من که امیدوارم واقعا همین طور باشه",3,2,3,4,5,5,4,2
طراحي زيبا و قابليت بسيار زياد,نو آوري با توجه به آيفن شش هيچ تغييري نکرده,در کل گوشی خوبیه میخوای بیشتر نگاش کنی تا باهاش کار کنی مخصوصا رنگ مشکی ماتش به نظر من از همش بهتره,1,2,1,5,4,4,5,1
سيستم عامل روان,"باتري ضعيف
سخت افزار ضعيف",ایفون 7 بیشتر به خاطر سیستم عاملش خریدار داره از نظر سخت افزار ارزششو نداره یعنی 2 گیگ رم با یه پردازنده 2 هسته ای و باتری ضعیف با مدت شارژ بالا برای چنین قیمتی خیلی کمه البته برای کسایی که کاری با سخت افزار بالا ندارن و راحتی رو ترجیح میدن این گوشی خوبه اما از نظر ظاهر و قدرت در مقابل رقیبش S8 خیلی کم میاره شما هیچوقت نمیتونید کار هایی چون اجرای سیستم عامل های دیگه یا شخصی سازی در حد بالا رو با ios انجام بدین,3,6,2,4,4,4,3,3
"سيستم عامل بسيار سريع ، روان و قوي
کيفيت ساخت بسيار بالا در بيشتر قسمتها
رنگ مشکي مات بسيار زيباست
دوربين عالي","ارتعاش صدا در کل بدنه احساس مي شود
بيرون زدگي شيشه محافظ لنز دوربين از بدنه
ليز بودن در رنگ مشکي مات",تقریبا یک هفته ای هست که از خود دیجی کالا رنگ مشکی مات را خریداری کرده ام ، قبل از این آیفون 5s داشتم ،مانند تمامی محصولات اپل گوشی بسیار زیبا و با کیفیتی می باشد ، بخصوص رنگ مشکی مات بسیار زیباست گرچه بسیار لیز بوده و کسانی که بدون قاب استفاده می کنند باید دقت بسیار زیادی داشته باشند ، یک مورد بسیار آزار دهنده در این گوشی احساس کردن ارتعاشات ناشی از پخش موزیک ، ویدئو و .... در کل بدنه می باشد ، حتی شما زمانی که در حال مکالمه می باشید ارتعاش صدای طرف مقابل رو با انگشت اشاره خود در قسمت آرم پشت گوشی احساس می کنید ، اول فکر کردم شاید گوشی من فقط این ایراد را داشته باشد ولی وقتی گوشی بقیه دوستانم را هم تست کردم متوجه شدم همه همینطور هستند و این به نظرم به جز ضعیف بودن بدنه نسبت به اسپیکرها دلیل دیگری نمی تواند داشته باشد ، مورد دیگه اینکه با وجود برآمدگی بدنه گوشی در قسمت دوربین هنوز هم شیشه محافظ لنز به اندازه چند دهم میلی متر بیرون تر می باشد ، و اینکه اگر آنطوری که خوانده ام ضد خش نبودن این شیشه در این نسخه صحت داشته باشد ایراد بسیار بزرگی محسوب می شود ، البته این دو موضوع بیشتر برای کسانی مثل خودم که گوشی را بدون قاب استفاده میکنند محسوس می باشد . اگر با این موارد مشکلی نداشته باشید خرید آن به شدت توصیه می شود.,5,0,4,5,4,3,5,4
