positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","کيفيت ساخت","طراحي و ظاهر","امکانات و قابليت‌ها","کارآيي و عملکرد"
"همه چيز",,"دوستان حدود 3 سال دارمش بهترین مودم هستش و مطمن باشین دیجی کالا نسبت به بازار ارزون میده بخرین پشیمون نمیشین",1,0,5,5,3,3,5
"قدرت انتن دهي
داشتن دکمه Wps/rest و wifi
زيبايي و کيفيت بالاي ساخت",ندارد,"مودم خیلی خوبی هستش توی این قیمت
انتن دهی شم قوی هستش .
در ضمن همراهش
دو عدد سیم تلفن
یک عدد کابل شبکه
اسپلیتر و اداپتور
خریدشم برای استفاده شخصی و خانگی مناسبه .",0,0,5,5,5,4,5
"بدون قطعي
برد مناسب",,"مناسب جهت منازل و سازمانهای کوچک",0,0,5,4,5,3,4
"برد بسيار قوي
سرعت بسيار خوب
ظاهر و سخت افزار مقاوم و قوي","تقريبا ندارد","من الان یکسال دارمش خیلی خیلی ازش راضیم نسبت به قیمتی که دادم همه نیاز های منو براورده میکنه واقعا بهتون پیشنهاد میکنم",0,0,5,4,4,4,4
"قيمت مناسب_اصلا داغ نميکنه ._کارايي و عملکرد خيلي خوب",,"خیلی عالیه حدود یه هفتس دارمش .فوق العادس .پیشنهاد میکنم بخرید",3,0,3,5,3,5,5
"شکل خوب
طراحي خوب
وزن سبک
مناسب از نظر قيمت",ندارد,"من ک تازه خرید کردم امیدوارم خوب کار کنه نسبت ب داغ کردنشم میتونم بگم ک چیز مهمی نیس وسایل برقی همشون گرم میکنن",1,0,5,5,3,5,5
,,"برای حداقل رساندن دمای دستگاه، بجای قرار دادن بی واسطه دستگاه بر روی میز یا هر چیز مشابه دیگری، مودم را روی وسیله ای قرار دهید که جریان هوا بتواند از زیر دستگاه تان نیز عبور کند.
از وسیله ای مشبک استفاده کنید و یا جسمی را زیر مودم قرار دهید که سطح مقطع آن کمتر از دستگاه شما باشد، البته ناگفته پیداست که ارتفاع مودم نیز کمی از محل استقرار (میزکار،کتابخانه...) بالاتر بایستی باشد.",2,0,3,3,3,3,3
,,"درود به همگی عزیزان،
نسل پیشین این مودم در بدو ارتباط بی سیم برای رجیستری دستگاه و راه اندازی آن، بطور مستقیم بدون درخواست پسورد کانکت میشد که در ادامه خود کاربران، نام کاربری و کلمه عبور دلخواه رو تنظیم می نمودند، اما در این مدل در قسمت زیرین مودم که مشخصات مدرج شده است، یک رمز عبور 8 رقمی متشکل از اعداد قرار داده شده تا در ابتدای راه اندازی مودم کاربر بتواند با وارد کردن آن پسورد درج شده وارد مرحله تنظیمات مودم شود و مراحل بعدی را ادامه دهد.",4,0,3,3,3,3,3
عاليع,,"خیلی عالیه پیشنهاد میکنم بخرین",5,0,5,5,5,5,5
"َسرعت خوبي داره","نقطه ضعف تاحالا ازش نديدم","من حدود یک سال هست این مودم رو خریدم و تا حالا مشکلی ازش ندیدم فقط داغ میکنه که این چیز عجیبی نیست",5,0,3,3,4,3,5
"راه اندازي سريع و آسان و قيمت مناسب
طراحي زيبا و آنتن دهي خيلي خوب
داراي کليد روشن و خاموش کننده مودم
داراي کليد روشن و خاموش کننده wifi
داراي قابليت مديريت دسترسي يا غيلترينگ اينترنت و شبکه بر اساس IP/mac و اپليکيشن و url",ندارد,"مودم خیلی خوبیه و ایرادتی هم که برخی از کاربران مطرح کرده اند صحت ندارد و بیشتر مربوط به عدم آشنایی آنهادر استفاده صحیح از دستگاه می باشد. دستگاه به هیچ عنوان داغ نمی کند و مثل هر دستگاه الکترونیکی دیگری کمی گرم می شود که طبیعی است.قاعدتا مثل هر دستگاه الکترونیکی دیگری باید آنرا در جایی قرار دهید که نزدیک منابع گرمایی نباشد دوم آنکه منافذ دستگاه بسته نشود تا تهویه هوابه خوبی صورت گیرد و نکته مهم دیگر آنکه قبل از استفاده از وسایل الکترونیکی بمنظور پیشگیری از داغ شدن دستگاه باید کلیه برچسبها ،پلاستیکها و متعلقات بسته بندی را از دستگاه جدا کرد.متاسفانه ما ایرانیها این برچسبها و پلاستیکها را جدا نمی کنیم که طبیعتا باعث گرم شدن بیش از حد دستگاه می شود پس لطفا پلاستیک روی دستگاه را بکنید تا مودم داغ نکند! نکته مهم دیگر در مورد آنتن دهی تمامی مودم ها آنست که هر چه مودم را در ارتفاع بالاتری از کف اتاق نصب کنید آنتن دهی بهتر و قویتری دارد،چون امواج WiFi همچون یک چتر منتشر می شوند پس بدترین حالت آنست که مودم را روی زمین قرار دهید. قطع و وصلی اینترنت هم ارتباطی با مودم ندارد و بیشتر مربوط به شرکت عرضه کننده اینترنت می شود. دلیل دیگر قطع و وصلی اینترنت یا کندی سرعت آن بخاطر عدم استفاده از اسپیلیتر یا نویزگیر می باشد پس باید سر راه هر دستگاهی که به خط تلفن وصل شده (به غیر از خود مودم) از اسپیلیتر استفاده کرد.",7,2,5,4,5,5,5
"انتن دهي بالا - زيبا","داغ ميکنه خيلي","شش ماهه دارمش عالیه ولی فقط خیلی داغ میکنه",3,3,5,5,5,5,5
"آنتن دهي خوب","داغ شدن سريع","من این مودم و دیروز گرفتم از نظر آنتن دهی خوبه اما نیم ساعت کار میکنه چنان داغ میکنه پایینش انگار دستت میسوزه سریع داغ میشه خوشم نیومد فقط شکلش و آنتن دهیش خوبه",1,2,3,3,3,3,3
"قيمت مناسب
طراحي زيبا
ارتباط اينترنت بدون قطعي
راه اندازي آسان
همراه داشتن اسپيليتر و1کابلrj45و2کابلrj11","کمي داغ ميشود","حدود یک ماهه که این مودم رو خریداری کردم،دیجیکالا بهترین قیمت روداره.خیلی خوب وبدون قطعی ازصبح تاشب روشنه.در ضمن امکان مخفی کردن وای فای هم تو صفحه تنظیماتش وجود داره،من خودم مخفی کردم.",5,3,5,4,5,3,5
,,"مودم با کارایی و امنیت بالا از لحاظ فیزیکی و ظاهر خیلی خوب و زیبا فقط امکان هیدن شدن مخفی شدن وای فای رو نداره در کل عالیه",2,5,3,3,3,3,3
ندارد,"قطعي‌هاي مکرر اينترنت و ارتباط ADSL از مودم","یکی از مذخرفترین مودم‌های ممکن هستش. یه دفعه چراغ ADSL قطع میشه و باید روشن و خاموشش کنی دوباره وصل بشه. اصلا توصیه نمیکنم این محصول رو.",1,10,1,3,3,3,1
,,"کار راه انداز بدون قطعی مثل مدل قدیمی بدون هیچ کم و کاست
دکمه قطع وای فای هم دارد.",4,1,4,5,4,3,4
"داغ نميکنه",,"بسیارعالی حتی 48 ساعت هم بدون وقفه روشن مانده اصلا داغ نمیکنه و متراژ بالایی داره",1,1,3,3,3,3,3
"برد قوي","نسخه قديمي قسمت تنظيمات","واقعا برند تی پی لینک در زمینه شبکه بدون رقیبه خیلی محصولات با کیفیت و ارزون تولید میکنه.
این مودمم خیلی خوبه و ازش راضیم.",2,0,3,3,4,2,4
"قطعي نداره","به نظر مي‌رسه کمي داغ مي‌کنه اما مهم نيست","از روزی که گرفتم تا حالا یه بار هم قطعی نداشته به نظر می‌رسه کیفیت‌ش خیلی خوبه. فقط باید درست تنظیم بشه.",3,1,5,4,4,3,5
"برد بالاي واي فاي
وصل شدن خيلي سريع
قيمت مناسب",,"امروز به دستم رسید برد خوبی داره و خیلی سریع وصل میشه",2,1,5,5,5,4,5
"[""قيمت مناسب""]","[""به ذهنم نميريه""]","ازش راضیم امروز دستم رسید",3,1,3,3,3,3,3
,,"لطفا شگفت انگیزش کن.",4,0,5,5,5,5,5
"کارکرد مداوم بدون مشکل قطعي اينترنت",ندارد,"من این مودمو تقریبا 5 ماهى هست خریدم بسیار بسیار ازش راضیم واقعا بهتون پیشنهاد میکنم در خرید این مودم به هیچ وجه شکى نکنید",2,1,5,4,4,4,4
"انتن دهي-کيفيت-کوچک و کم حجم-قيمت بسيار مناسب","فقط يکم داغ ميکنه که اونم مشکلي نداره","سلام در رابطه با این مودم فقط میتونم بگم عاااالیه تا حالا چهارتا مودم خریدم ولی این یکی هم از نظر انتن دهی و هم از نظر کیفیت بهترین بوده به نظرم یک لحضه در خریدش درنگ نکنین اونم با این قیمت.",2,1,5,5,5,5,5
"[""کيفيت ساخت بالا\nانتن دهي خوب\n""]",,"دو ساله دارم بدون وقفه ازش استفاده میکنم و عالیه.",1,1,5,5,4,4,5
"[""ظاهر زيبا، کيفيت ساخت بالا، داشتن پرت هاي زياد براي اتصال به رايانه""]",[],"این مودم واقعا کیفیت ساخت بالایی دارد. من این مودمو حدود 3 ساله که دارم و تا الان خیلی خوب جواب داده",2,0,5,5,5,3,4
"کارکرد بصورت پيوسته","ظاهر معمولي","سلام
من از سال 91 که این مودم رو خریدم باور کنید فقط زمانی که برق خونه میره خاموش میشه من ساکن اهوازم و تو دمای نه چندان مطبوع بدون افت کیفیت و کارایی داره کار میکنه
از خریدش خیلی راضیم من خریدمش الان همه که یه هفت هشت ماهی میشه که ازش دارم به عنوان روتر استفاده می کنم کیفیت آنتن دهی و سرعت و کارایی خیلی خوب و راضی کننده ای داره
یک خرید خوب و باصرفه با هزینه مناسب",1,1,5,3,3,3,5
[],[],"با سلام خسته ابن مودم 22/4/95 از بوشهر خریدم با دوبرابر قیمت متاسفانه ولی کیفیت خوبی داره مثل بقیه مودم های تی پی لینک این قیمت واقعان ارزش خرید دارها",4,0,3,5,5,5,5
ندارد,"قطعي‌هاي مکرر اينترنت و ارتباط ADSL از مودم","یکی از مذخرفترین مودم‌های ممکن هستش. یه دفعه چراغ ADSL قطع میشه و باید روشن و خاموشش کنی دوباره وصل بشه. اصلا توصیه نمیکنم این محصول رو.",1,10,1,3,3,3,1
,,"کار راه انداز بدون قطعی مثل مدل قدیمی بدون هیچ کم و کاست
دکمه قطع وای فای هم دارد.",4,1,4,5,4,3,4
"داغ نميکنه",,"بسیارعالی حتی 48 ساعت هم بدون وقفه روشن مانده اصلا داغ نمیکنه و متراژ بالایی داره",1,1,3,3,3,3,3
"برد قوي","نسخه قديمي قسمت تنظيمات","واقعا برند تی پی لینک در زمینه شبکه بدون رقیبه خیلی محصولات با کیفیت و ارزون تولید میکنه.
این مودمم خیلی خوبه و ازش راضیم.",2,0,3,3,4,2,4
"قطعي نداره","به نظر مي‌رسه کمي داغ مي‌کنه اما مهم نيست","از روزی که گرفتم تا حالا یه بار هم قطعی نداشته به نظر می‌رسه کیفیت‌ش خیلی خوبه. فقط باید درست تنظیم بشه.",3,1,5,4,4,3,5
"برد بالاي واي فاي
وصل شدن خيلي سريع
قيمت مناسب",,"امروز به دستم رسید برد خوبی داره و خیلی سریع وصل میشه",2,1,5,5,5,4,5
"[""قيمت مناسب""]","[""به ذهنم نميريه""]","ازش راضیم امروز دستم رسید",3,1,3,3,3,3,3
,,"لطفا شگفت انگیزش کن.",4,0,5,5,5,5,5
"کارکرد مداوم بدون مشکل قطعي اينترنت",ندارد,"من این مودمو تقریبا 5 ماهى هست خریدم بسیار بسیار ازش راضیم واقعا بهتون پیشنهاد میکنم در خرید این مودم به هیچ وجه شکى نکنید",2,1,5,4,4,4,4
"انتن دهي-کيفيت-کوچک و کم حجم-قيمت بسيار مناسب","فقط يکم داغ ميکنه که اونم مشکلي نداره","سلام در رابطه با این مودم فقط میتونم بگم عاااالیه تا حالا چهارتا مودم خریدم ولی این یکی هم از نظر انتن دهی و هم از نظر کیفیت بهترین بوده به نظرم یک لحضه در خریدش درنگ نکنین اونم با این قیمت.",2,1,5,5,5,5,5
"[""کيفيت ساخت بالا\nانتن دهي خوب\n""]",,"دو ساله دارم بدون وقفه ازش استفاده میکنم و عالیه.",1,1,5,5,4,4,5
"[""ظاهر زيبا، کيفيت ساخت بالا، داشتن پرت هاي زياد براي اتصال به رايانه""]",[],"این مودم واقعا کیفیت ساخت بالایی دارد. من این مودمو حدود 3 ساله که دارم و تا الان خیلی خوب جواب داده",2,0,5,5,5,3,4
"کارکرد بصورت پيوسته","ظاهر معمولي","سلام
من از سال 91 که این مودم رو خریدم باور کنید فقط زمانی که برق خونه میره خاموش میشه من ساکن اهوازم و تو دمای نه چندان مطبوع بدون افت کیفیت و کارایی داره کار میکنه
از خریدش خیلی راضیم من خریدمش الان همه که یه هفت هشت ماهی میشه که ازش دارم به عنوان روتر استفاده می کنم کیفیت آنتن دهی و سرعت و کارایی خیلی خوب و راضی کننده ای داره
یک خرید خوب و باصرفه با هزینه مناسب",1,1,5,3,3,3,5
