positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","کارآيي و عملکرد","امکانات و قابليت‌ها","کيفيت ساخت","نصب و کاربري آسان"
,,"محصولی بسیارکارآمدبخصوص برای محل کارمیباشد. مثلا میتوانید تابلو محل کار را با یک برنامه ریزی خاموش روشن کنید",2,2,5,5,5,5,2
,,"ذوست عزیز اگر داخل دستگاه رو باز و مشاهده کنید با مداری پیچیده و کاملا حرفه ای مواجه میشید .
برای برنامه نویسی اینترنت اشیا بهتر است از ماژولهایی مانند ESP8266 استفاده نمایید .",6,2,5,4,5,5,4
"کارايي زياد و راحتي نظارت از طريق اينترنت",,"دستگاه جمع و جور و قابل استفاده ای هست. کلی امکانات داره. به راحتی فشار دادن یک کلید از طریق اینترنت فعال و غیر فعال میشه. از دی جی کالا خواهش می کنم سایر ابزارهای هوشمند دیلینک رو هم بیاره از جمله سنسور و آژیر ...",1,1,3,5,5,5,5
"برنامه پذير يودن در شرايط افلاين
قابليت قطع خودکار بر اساس ترمال
قابليت قطع بر اساس بازه زماني دلخواه
مشاهده ميزان انرژي مصرفي","قيمت بالا","من از این دستگاه برای استارت پکیج از راه دور استفاده میکنم شاید بگید اگه جایی باشیم که به اینترنت دسترسی نداشته باشیم کارایی نداره باید بگم که با استفاده از قابلیت زمانبندی میتونیم به پریز برنامه بدیم و در صورتی که اینترنت خونه یا گوشیتون قطع بشه خودش کارشو انجام میده.",2,1,1,3,3,3,3
"کاربري آسان
نرم افزار زيبا و مجاني (من با گوشي اپل تست کردم)
اکانت اينترنتي مجاني براي کنترل دستگاه از راه دور (خارج از شبکه ي خانگي)","قيمت نسبتا بالا","برای کسانی که در مورد IoT و زمینه ی اینترنت اشیاء به صورت خاص Home Automation، تحقیق بخواهند بکنند انتخاب خوبی است البته متن باز نیست.
دوست دارم اطلاعاتی از پروتوکل ارتباطی شو پیدا کنم تا بتونم خودمم نرم افزار براش بنویسم.",1,1,3,4,4,4,5
"کيفيت . نرم افزار عالي .","قيمت بالا","این پریز قابلیت کنترل خاموش و روشن از روی شبکه محلی و اینترنت را داراست. قابلیت زمان بندی اتوماتیک برای خاموش و روشن کردن در روزهای هفته را دارد .قابلیت تنظیم چندین زمان در یک روز را دارد . دارای وات متر و ترمومتر داخلی هم هست .
راه اندازیش هم زیاد سخت نبود . ممکن است بعضی افراد برای راه اندازیش یه کم با مشکل مواجه بشوند.
بزودی در چند سال آینده اینگونه محصولات جایگزین پریزهای معمولی خواهند شد.
من کلا از خریدم راضیم. از بقیه تایمرهای هفتگی دیجیتال و آنالوگ چندین سرو گردن بالاتر است.",2,0,5,4,5,5,4
"خلاصي از تايمرهاي مکانيکي کنترل روشنايي منزل در مسافرت",گراني,"جایگزین خوبی برای تایمرهای مکانیکی",2,2,3,3,3,3,3
,,"برای دوستی که (بحق) نوشتن توضیحات کامل نیست و محصول به چه کاری میاد: کاربرد اینجور دستگاه‌ها هوشمندسازی و اتوماسیون یا خودکارسازی وسایل منزله.
این دستگاه رو بعد از اینکه به پریز برق زدید اول به شبکه Wi-Fi خانه یا محل کار وصلش می‌کنید (شبیه کاری که با یه کامپیوتر یا موبایل یا... می‌کنید) بعدش با استفاده از اپلیکیشن گوشی میتونید به این دستگاه متصل بشید و برق خروجی و در واقع خاموش و روشن شدن هر وسیله برقی دیگه ای که به پریز این دستگاه بخوره رو کنترل کنید. مثلا اگه دوشاخه رادیو یا آباژور یا... بهش وصل باشه و شما در رختخواب تشریف داشته باشید از طریق گوشی برق رادیو، آباژور و غیره قطع و وصل و در نتیجه اونها خاموش و روشن میشن. توان خروجی اینجا ذکر نشده و بعید میدونم برای استفاده از وسایل پرمصرف یا استفاده از سه راهی برای کنترل بیشتر از یه وسیله مناسب باشه. در عین حال مطمئن بشید که وای فایتون امنیت مناسبی داره تا یکی از بیرون خونه که وارد شبکه تون شده وسایلتون رو خاموش و روشن نکنه!
در حالت ایده‌آل با برنامه‌هایی مثل IFTTT میشه قطع و وصل برق و خاموش و روشن شدن وسایل رو خودکار سازی کرد.
ریویووهای آمازون این محصول گرون قیمت چندان مثبت نیستن و توصیه میکنم قبل از خرید به اونها و مشکلاتی که کاربران در استفاده یا راه اندازی محصول داشتن هم نگاهی بندازید.",3,0,3,3,3,3,3
,,"قابل توجه دوستانی که میگن طرز کار این دستگاه معلوم نیست، اگه دقت کنید میبینید دیجیکالا پایین باکس قیمت، توضیحاتی در موردش داده
این دستگاه بیشتر برای این به کار میاد که وقتایی که میخاید یه دستگاه رو خاموش کنید، درصورتی که با این محصول مچ شده باشه، میتونید با اپلیکیشنی که روی موبایلتون نصب میشه، اون دستگاه رو خاموش کنید",4,3,3,3,3,3,3
,,"چرا توضیحاتی راجب این پریز وجود نداره من اصلا نمیدونم این به کاری میاد",228,32,3,3,3,3,3
