positivePoints,negativePoints,commentText,like,dislike,"ارزش خرید به نسبت قیمت","طراحی و ظاهر","امکانات و قابلیت ها","سهولت استفاده","کیفیت ساخت",نوآوری
"عمر باطري واقعا بالا
اسپيکر پرقدرت",,"برای کارهای روزانه مکالمات اینترنتی وبگردی مناسب میباشد.",0,0,5,3,3,3,3,3
"کيفيت نمايش
کيفيت بدنه
کيفيت صداي عالي
باتري قوي","تاچ ضعيف
امکان اجراي بازي هاي سنگين نداره
بازي آنلاين با تاخير اجرا ميشه","سلام
این گوشی از هر لحاظ عالیه فقط توقع اجرای بازی سنگین رو نداشته باشید
مشکلی که داره تاچ گوشی هست و نباید از گلس استفاده کنید در غیر این صورت خیلی اذیت میکنه اگه از گلس استفاده نکنید قابل قبوله ولی نه عالی",1,0,4,5,3,5,4,5
"اندرويد بالا","پايين بودن کيفيت دوربين","عالی مناسب",3,1,5,5,5,5,5,5
"2 سيم کارت 4G","صفحه نمايش","سلام
من 5 ماه هست که این تبلت رو خریدم ، میخوام نقد واقعی و به دور از اغراق رو براتون بگم ، غیر ممکن هست یه محصول بی عیب باشه!!!
مشکل اول : برای نصب یه برنامه خیلی مدت زمان میبره مثلا بین 40 تا 70 ثانیه ، بستگی به حجم نرم افزار ، ولی برای پاک کردن برنامه ها زیر 6 ثانیه زمان میبره
مشکل 2 : صفحه نمایش خوب کیفیت بالایی نداره ، ولی بعد یه مدت عادت میکنید ، مشکل اصلی این هست که بعضی اوقات یه لایه کم رنگ زرد روی کل صفحه میافته ، که به اصطلاح درهم ریختگی رنگی گفته میشه ، انگار تصویر 2 تایی میشه ولی به صورت خیلی ریز این اتفاق میافته ، ولی در کل پول صفحه نمایش بزرگ رو دارید پرداخت میکنید ، با کمی جستجو و با پول بیشتر میتوانید Asus یا سامسونگ بخرید ، از قدیم گفتن هر چقدر پول بدی همون قدر آش میخوری ، پس توقع معجزه نداشته باشید",3,2,3,3,3,3,3,3
,"عدم اجراي بازيهاي سنگين","با سلام من این تبلت رو ی ماهی میشه خریدمش برا بازی کخه اصلا مناسب نیست مخصوصا انلاین ها برا بقیه چیز ها خوبه ضمنا الان دیگه نخریدش چون دیگه اون کیفیت ساخت سری اولو اصلا نداره",9,4,3,3,3,3,5,4
"تصوير شفاف
زيبا
قيمت مناسب
اندرويد بروز
تاچ عالي حتا با گلس و ...",هيچي,"اگه میخوای تبلت بگیرید فقط همین رو بگیرید عالیه از همه نظر",3,3,5,4,3,4,4,5
"خيلي چيزا","کمي تاچش","الان نزدیک یک ساله خریدم برا کارای دمه دستی خیلی خوبه فقط نمیدونم چرا قیمت این تبلت بالا نرفت همه تبلتا بالا رفت قیمتشون بجز این",1,5,3,3,3,3,3,3
"کيفيت عالي تو همه چيزش","نسبت به قيمتش نداره","هیچ مشکلی نداره با این قیمت از این بهتر نیست من همزمان از همین دیجی کالا اینو با ایسوز زد پد 8z380رو سفارش دادم.به نظرم این با این گه ارزون تره بهترم هست زیبایشم که عالیه",4,6,3,3,3,3,3,3
,,"پس منتظرچی هستی بی درنگ همنوبخر و از دیجی بخر هرکی گفته ایراد داره جنس قلابی خریده من از دیجی گرفتم باطریش وجدانن هر 8یا 9 روز یبار شارژ میکنم البت استفاده ی زیادی وقتی ندارم بازی با دوگیگ دیتا هم ریختم روش اجرامیکنه فقط فایل منیجر از اول روش نیس ک جای تعجب داشت",2,7,3,3,3,3,3,3
"صفحه نمايش نسبتا با کيفيت
اندورويد نسبتا بروز","cpu نه چندان قوي
قيمت محصول","تبلت خوبیه. بخصوص برای مطالعه. من هدفم فقط خوندن فایل های pdf باهاشه و انصافا هم ازش راضی ام. رنگ سفیدش خیلی قشنگ تره و در کل شما رو راضی نگه میداره...",4,4,4,4,4,4,4,4
"4G بودن
قابليت استفاده چند کاربر همزمان
با کيفيت بودن
قيمت بسيار مناسب
داشتن رم مناسب","مگه داره؟؟","این بهترین تبلتیه که من تا حالا دیدم.
حتما پیشنهاد میکنم که بخرید.
من تو همین هفته میخواهم اینو بخرم",2,3,5,5,5,5,5,5
"کيفيت تصوير
کيفيت صدا
اندرويد 6
رم 2
شارژدهي مناسب",تاچ,"با سلام من این تبلت رو حدود 2 هفته هست دارم باید بگم نسبت به قیمت دستگاه خوبی هست مخصوصا کیفیت صدا فوق العاده هست ضمنا اندروید 6 هست
و شارژدهی خوبی داره یکروز راحت جواب میده اگه نور صفحه متوسط باشه فقط یک مشکل بزرگ داره اونم تاچ دستگاه هست که ضعیف هست و اعصاب خورد کن هست
ولی در کل اگه نمیخوایین بیشتر از این مبلغ هزینه کنید بنظرم بهترین گرینه هست",3,8,4,4,4,2,4,3
,,"باطریش عالی وجدانا باتوجه ب قیمت نه نتها ایرادی نداره بلکه عالیه",2,3,3,3,3,3,3,3
"عالي همه چيزش خوبه","براين قيمتش هيچي","یک سال دارم همش رو شن بوده باطریش عالی همه چیزش خوبه من الان سه ساله ک همه چیز رو از دیجی میخرم تعجب داره هرچه از دیجی خریدم باکیفیت تر از بازاره
براهین ک اینقدر مشتری داره و همه هم دارند براش تبلیغ میکنند یکیش خودم کل خانوادم هم دارن از دیجی خرید می‌کنند
فقط همیشه همینطور باش",3,8,3,3,3,3,3,3
