id,title,price,userRate,recommendationCount,description,"کیفیت ساخت","ارزش خرید به نسبت قیمت",نوآوری,"امکانات و قابلیت ها","سهولت استفاده","طراحی و ظاهر"
81393,"گوشي موبايل سامسونگ مدل Galaxy S6 SM-G920FD - ظرفيت 32 گيگابايت دو سيم کارت
Samsung Galaxy S6 DUOS 32GB SM-G920FD Mobile Phone",,۴,0,"«پروژه‌ي صفر»؛ اين عبارتي است که سامسونگ در سال 2015 براي توصيف جديدترين پرچم‌دار سري «اس» (S) خود به‌کار برد. شرکت سامسونگ پس از تجربه‌ي تلخي که با پرچم‌دار سال گذشته‌ي خود يعني «گلکسي اس5» داشت، تصميم گرفت همه‌چيز را از نو شروع کند و روحي تازه به کهکشان سري اس بدمد. شايد قبل از ورود اس5 به بازار‌هاي جهاني، بسياري از طرفداران سامسونگ تصور مي‌کردند اين همان پرچم‌داري است که سامسونگ با آن مي‌تواند به اوج برسد. اما هيچ کدام از اين پيش‌بيني‌ها با واقعيت همراه نشد و سامسونگ در زمينه‌ي فروش پرچم‌دار سري اس‌اش‌ سال کم‌فروغي را تجربه کرد. اين اتفاقات باعث شد تا سامسونگ به فکر ايجاد تحولي بزرگ در پرچم‌دار بعدي‌اش بيافتد و حداقل اين‌بار صرفا به اضافه کردن ويژگي‌هاي جذاب و کاربرپسند در کنار قدرتمندتر کردن سخت‌افزار بسنده نکند.
«گلکسي اس6»، شش‌امين پرچم‌دار خانواده‌ي اس سامسونگ به‌شمارمي‌رود که در روز ده‌ام اسفند ماه سال 1393، در جريان ‌همايش MWC شهر بارسلوناي اسپانيا، رونمايي شد. اگر بخواهيم در همين ابتداي کار خيلي خلاصه در مورد گوشي جديد سامسونگ سخن بگوييم، در يک کلام اس6 وراي ساير پرچم‌داران سامسونگ در پنج سال گذشته ‌است. تحولات ايجاد شده در پرچم‌دار سال 2015 سامسونگ آن‌قدر چشم‌گير بوده که در مدتي کوتاه توانست نگاه کاربران زيادي ازجمله مخالفان اين برند را به‌سوي خودش جلب کند. سامسونگ اين بار نه از پلاستيک متخلخل براي ساخت بدنه‌ي گلکسي اس6 استفاده کرده و نه از پلاستيک شبه چرم. به‌جاي اين دو، سراغ ترکيبي از فلز و شيشه براي طراحي و ساخت بدنه‌ي پرچم‌دار جديدش رفته؛ بدنه‌اي که تا اين لحظه، کار کارشناسان حوزه‌ي تکنولوژي را در انتخاب خوش‌ساخت‌ترين و بهترين گوشي توليد شده توسط سامسونگ، راحت کرده است. از توليد اين گوشي هوشمند خوش‌ساخت و باکيفيت، مي‌توان به ذکاوت مديران شرکت سامسونگ پي برد. سامسونگ به‌خوبي ‌پي برده بود که عصر قرباني کردن جنس بدنه به‌خاطر ويژگي‌هاي نرم‌افزاري و سخت‌افزاري به‌سر آمده و اين سياست ديگر مخاطب چنداني ندارد و بايد به ساخت پرچم‌داري روي آورد که در آن تعادل و توازني منطقي‌ميان کيفيت ساخت و امکانات جذاب وجود داشته باشد. گلکسي اس6 دقيقا مصداق همان سياستي است که سامسونگ مدت‌ها در موردش سخن مي‌گفت؛ سامسونگي که اکنون مي‌تواند جديدترين دست‌پخت‌اش را در جمع خوش‌ساخت‌ترين گوشي‌ها و ‌مجهزترين پرچم‌داران ببيند. با ادامه‌ي نقد و بررسي گلکسي اس6 در ديجي‌کالا همراه باشيد.",4.1,3.7,3.9,4.1,4,4.1
81720,"گوشي موبايل اچ‌تي‌سي مدل One ME دو سيم کارت
HTC One ME Dual SIM Mobile Phone",,۳.۸,0,"اين روزها آن‌قدر تنوع محصولات شرکت اچ‌تي‌سي زياد شده که به‌سختي مي‌توان مسير گوشي‌هاي بالارده اين شرکت را دنبال کرد. اچ‌تي‌سي در 14 ام خرداد ماه سال 1394 شمسي از چهارمين گوشي بالارده ي خود در سال 2015 به نام وان ME رونمايي کرد. همان‌طور که مي‌دانيد، پرچم‌دار شرکت اچ‌تي‌سي در سال 2015، وان M9 است که در کشورهاي اروپايي و آسيايي عرضه شده است. اما اين شرکت تايواني تصميم گرفت تا کميت گوشي‌هاي بالارده‌ي خود را در کشورهاي آسيايي افزايش دهد. از اين رو اچ‌تي‌سي بعد از وان M9 از دو گوشي وان M9 Plus (با نمايشگر 5.2 اينچي و با کيفيت Quad HD و مجهز به حسگر تشخيص اثر انگشت) و وان E9 Plus (با نمايشگر 5.2 اينچي و با کيفيت Quad HD اما با بدنه‌اي پلاستيکي) براي بازار کشورهاي آسيايي معرفي به عمل آورد. به‌طور تعجب‌انگيزي اين شرکت هنوز گوشي‌اي به نام وان E9 معرفي نکرده است. اما شايعات زيادي در مورد اين گوشي وجود دارد.
قبل از معرفي رسمي اين محصول، چند سايت خبري به شايعه‌ي نام وان ME9 براي اين گوشي پرداخته بودند که دست‌آخر اچ‌تي‌سي از نام ساده‌تري براي اين محصول خود انتخاب کرد. وان ME تشابهات ظاهري و سخت‌افزاري زيادي با ديگر گوشي بالارده‌ي اين شرکت يعني وان M9 Plus دارد. به‌طور خلاصه مي‌توان گفت که اين دو گوشي جز در جنس بدنه و دوربين دوم (براي دوربين اصلي) تفاوت عمده‌ي ديگري باهم ندارند. اين گوشي همانند M9 Plus به يک نمايشگر بزرگ 5.2 اينچي مجهز شده که رزولوشن جذاب Qaud HD معادل با 2560 × 1440 پيکسل را به تصوير مي‌کشد. همچنين اين نمايشگر تراکم پيکسلي بالاي 565ppi را ارايه مي‌دهد که مطمينا اين ميزان تراکم پيکسل، تاثير زيادي بر مصرف باتري اين گوشي خواهد داشت. سخت‌افزار اين گوشي را تراشه‌ي مدياتک X10، يک پردازنده‌ي هشت هسته‌اي با سرعت 2.2 گيگاهرتز، يک رم سه گيگابايتي از نوع DDR3 و 32 گيگابايت حافظه‌ي داخلي تشکيل مي‌دهد که مي‌توان انتظار عملکرد روان و بي‌نظيري را از آن داشت. وان ME وزني معادل با 155 گرم دارد که اندکي از وان M9 Plus سبک‌تر است. اما ابعاد اين دو گوشي هوشمند کم‌وبيش باهم برابر است و مي‌توان اين‌گونه برداشت که وان ME نسخه‌ي پلاستيکي گوشي وان M9 Plus به‌حساب مي‌آيد. بر لبه‌ي پاييني نمايشگر اين گوشي، يک حسگر تشخيص اثر انگشت تعبيه شده که دقيقا بين بلندگوي پاييني ME قرار گرفته است. همچنين اندرويد لالي‌پاپ به همراه رابط کاربري Sense UI 7.0 براي اين گوشي در نظر گفته شده است.
دوربين اصلي وان ME را يک حسگر 20 مگاپيکسلي با درجه‌ي ديافراگم F/2.2 به همراه يک فلاش LED دوگانه تشکيل مي‌دهد و برخلاف دوربين وان M9 Plus، خبري از DUO Camera يا دوربين دوم براي دوربين اصلي نيست. بر لبه‌ي بالايي نمايشگر اين گوشي يک حسگر 4 مگاپيکسلي تعبيه شده که وظيفه‌ي ثبت عکس‌هاي سلفي و انجام مکالمات ويدئويي را بر عهده دارد. از ديگر مشخصات سخت‌افزاري برجسته‌ي اين گوشي مي‌توان به پشتيباني از دو سيم‌کارت به‌طور همزمان اشاره کرد. گفتني است که هر دو شيار سيم‌کارت اين گوشي از شبکه‌ي پرسرعت 4G LTE پشتيباني مي‌کنند. در زير قاب پشتي اين دستگاه، يک باتري غيرقابل تعويض ليتيوم پليمري قرار گرفته است که ظرفيتي برابر با 2840 ميلي‌آمپرساعت دارد. درنهايت بايد گفت که بحث‌ها و انتقادات پيرامون عملکردي که اچ‌تي‌سي در مورد تنوع زياد گوشي‌هاي هوشمند خود در پيش گرفته، به شدت بالا گرفته است. اما آن چيزي که مسلم است، آن است که اچ‌تي‌سي قصد دارد با افزايش چشمگير تعداد گوشي‌هاي هوشمند خود، با مشخصات سخت‌افزاري و جنس بدنه‌ي متفاوت، بازار را از محصولات خود اشباع کند تا مشتريان، انتخاب خريد بيشتري داشته باشند.",3.7,3.7,3.7,3.8,3.8,3.8
82252,"گوشي موبايل اچ تي سي مدل One M8 - ظرفيت 32 گيگابايت
HTC One M8 - 32GB Mobile Phone","875,000",۴,0,"در اولین روز اسفند سال 1391، کمپانی HTC در مراسمی رسمی که شهر نیویورک میزبان آن بود، گوشی ای سوپر لوکس و خارق‌العاده را با نام One معرفی نمود. این گوشی به قدری زیبا، خوش ساخت و کامل بود که توانست عنوان برترین گوشی سال 2013 را از اکثر وب‌سایت‌های تخصصی نقد و بررسی موبایل دریافت کند. به علاوه، گوشی One توانست دو سال پیاپی و با نظر 175 کارشناس حاضر در نمایشگاه MWC، عناوین برترین طراحی، برترین ساخت و جذاب‌ترین گوشی موجود در سیاره‌ی زمین را با خود به خانه ببرد. این موضوع، کمپانی تایوانی را بر آن کرد تا مدل جدید این ابر گوشی هوشمند را تقریبا یک سال بعد و اوایل فروردین‌ماه 1393 معرفی و روانه‌ی بازار نماید. مدل جدید این گوشی نیز، نام One را یدک می‌کشد ولی تنها نقطه‌ی مشترک این دو مدل، همین نام آن‌هاست زیرا One جدید (که با کد M8 معرفی گردیده) از همه نظر یک جهش بزرگ نسبت به مدل سال گذشته محسوب می‌گردد. با ورود One به ایران، فرصتی یافتیم تا مهمان این ابر گوشی جذاب و دوست‌داشتنی در دیجی کالا باشیم. پس با ما در نقد و بررسی HTC One M8 همراه شوید.",4.2,3.8,3.9,3.8,4,4.1
82437,"گوشي موبايل سامسونگ مدل Galaxy S6 Active SM-G890
Samsung Galaxy S6 Active SM-G890 Mobile Phone",,۴.۲,0,"بعد از رونمايي رسمي و عرضه‌ي گلکسي S6 به بازار، همه نگاه‌ها به‌سوي مدل‌هاي گوناگون اين پرچم‌دار رفت و منتظر اخبار موثق‌تر اين محصولات بودند. در واقع، قريب به اتفاق کاربران و طرفداران سامسونگ اين اطمينان را از اين غول کره‌اي داشتند تا همانند سال گذشته که مدل‌هاي اکتيو، ميني و زوم گوشي گلکسي S5 را عرضه نمود، همين کار را براي پرچم‌دار سال 2015 خود يعني گلکسي S6 انجام دهد. در حقيقت، امسال هم اين ايده‌ي سامسونگ در حال عملي شدن است و سامسونگ تاکنون از مدل اکتيو گوشي گلکسي S6 معرفي کرده است.
همان‌طور که بر همگان مبرهن است، گلکسي S6 اکتيو نسخه‌ي مقاوم شده و سرسخت‌تر گلکسي S6 در برابر ضربه، آب و گردوغبار است. سامسونگ به‌خوبي ثابت کرده است که هواي تمام کاربران خود را داشته و دارد و براي سليقه‌هاي گوناگون گوشي‌هاي مختلفي توليد مي‌نمايد. از اين رو اين شرکت، گلکسي S6 اکتيو را معرفي نمود تا باب ميل کساني باشد که به گوشي‌هاي ضدضربه و ضد آب علاقه دارند. از اين رو مي‌توان گوشي‌هاي اکتيو سري S سامسونگ را رقيبي جدي براي گوشي‌هاي صاحب‌نام و معروف کترپيلار دانست. اگر به ياد داشته باشيد، گلکسي S6 برخلاف گلکسي S5 موفق به کسب گواهينامه‌اي مبني بر مقاومت در برابر آب و گردوغبار نشده بود. از اين رو مي‌توان گواهينامه‌ي IP68 براي گلکسي S6 اکتيو را يک مزيت بزرگ نسبت به نسخه‌ي اصلي آن دانست. همچنين به دليل تعبيه کليدهاي فيزيکي بر لبه‌ي پاييني نمايشگر گلکسي S6 اکتيو، سامسونگ ديگر حاضر به استفاده‌ي حسگر تشخيص اثر انگشت در اين گوشي نشد. اما همچنان حسگر ضربان قلب در اين گوشي وجود دارد. اين گوشي قرار است در ابتدا تنها تحت قرارداد شرکت AT&T به بازار عرضه شود. «گلکسي S6 اکتيو» در سه رنگ آبي، سفيد و خاکستري توليد شده است. البته دو رنگ سفيد و آبي داراي يک طراحي اصطلاحا نظامي است که اين موضوع سبب مي‌شود تا اين دستگاه مستحکم‌تر به نظر رسد.
اين گوشي شباهت‌هاي زيادي با گوشي تحسين‌شده‌ي گلکسي S6 دارد. همچنين در مقايسه با نسخه‌هاي اکتيو سال‌هاي گذشته، جذابيت بيشتري دارد. باتري اين دستگاه در مقايسه مدل اصلي، ظرفيت بيشتري دارد؛ گوشي S6 داراي باتري‌اي با ظرفيت 2550 ميلي ‌آمپر-ساعت بود، اين در حالي‌که ظرفيت باتري مدل اکتيو اين گوشي به 3500 ميلي آمپر-ساعت رسيده است. (حدود 40 درصد افزايش در ظرفيت باتري) از ديگر مشخصات فني گلکسي S6 اکتيو مي‌توان به صفحه‌نمايش 5.1 اينچي با تراکم پيکسلي 577 پيکسل بر هر اينچ، دوربين اصلي 16 مگاپيکسلي و پردازشگر 8 هسته‌اي اگزينوس 7420 اشاره کرد.
وقتي گوشي گلکسي S6 معرفي شد، اکثر کارشناسان طراحي منحصر‌به‌فرد آن را تحسين کردند. اکنون گلکسي S6 اکتيو به عنوان يک گوشي اسپرت، طراحي خوبي دارد، اما در مقايسه با نسخه اصلي‌اش، يک گوشي زمخت و البته زشت به نظر مي‌رسد.",4.4,4.1,4.3,4.2,3.9,4.2
82697,"گوشي موبايل سامسونگ مدل Galaxy S5 Active SM-G870A
Samsung Galaxy S5 Active SM-G870A Mobile Phone",,۳.۸,0,,3.6,3.8,3.8,3.8,3.9,3.9
86146,"گوشي موبايل نوکيا مدل 130 دو سيم کارت
Nokia 130 Dual SIM Mobile Phone",,۳.۷,0,,3.7,3.8,3.5,3.6,3.9,3.6
86676,"گوشي موبايل فلاي مدل Blade IQ4516
Fly Blade IQ4516 Mobile Phone",,۳.۴,0,"گوشی‌های شرکت «فلای» (Fly) از تازه‌واردین در بازار گوشی‌های همراه کشور هستند. دفتر مرکزی این شرکت در انگلیس و محصولاتش به منظور عرضه به کشورهای آسیایی طراحی و ساخته می‌شوند. طی سال‌های اخیر، محصولات برند Fly در بازارهای بزرگ اروپایی، روسیه، اوکراین، ترکیه، کشورهای آفریقایی و همچنین بازارهای حوزه خلیج‌فارس عرضه شده است. با توجه به قیمت مناسب و ارزش خرید بالای محصولات Fly، در بازارهایی مثل روسیه، بعد از سامسونگ بیشترین سهم بازار فروش گوشی‌های هوشمند را به خود اختصاص داده است. گوشی «فلای بلید» (Fly Blade) یکی از محصولات ممتاز و خوش‌ساخت این شرکت مبتنی بر سیستم‌عامل اندروید است. این گوشی از جنس فلز و شیشه ساخته شده و فقط 5.1 میلی‌متر ضخامت و 95 گرم وزن دارد. بر طبق ادعای شرکت فلای، بلید باریک‌ترین گوشی هوشمند تولید شده در دنیاست. نمایشگری 4.8 اینچی Super AMOLED با رزولوشن 720×1280 پیکسل و تراکم 306 پیکسل بر هر اینچ برای فلای بلید در نظر گرفته شده است. این گوشی از یک سیم‌کارت پشتیبانی می‌کند؛ همچنین می‌تواند از شبکه‌ی 3G به‌عنوان شبکه‌ی ارتباطی استفاده کند. از دیگر فناوری‌های ارتباطی در بلید می‌توان به Wi-Fi ،GPS، بلوتوث و رادیوی FM اشاره کرد. سخت‌افزار فلای بلید را تراشه‌ی مدیاتک MT6592 که شامل پردازنده‌ی 8 هسته‌ای با فرکانس 1.7 گیگاهرتز و پردازنده‌ی گرافیکی Mali-450 می‌شود، به همراه 1 گیگابایت رم و 16 گیگابایت حافظه‌ی داخلی تشکیل داده‌اند. دوربین اصلی این گوشی می‌تواند تصاویری با نهایت رزولوشن 8 مگاپیکسل و سنسور ساخت شرکت سونی ثبت کند؛ همچنین می‌توانید از دوربینی با کیفیت 5 مگاپیکسل برای عکاسی سلفی بهره ببرید. این گوشی به سیستم‌عامل اندروید کیت‌کت نسخه‌ی 4.4 مجهز شده است. یک باتری 2050 میلی‌آمپرساعتی برای بلید در نظر گرفته شده که قابلیت تعویض توسط کاربر را ندارد.",3.6,3.2,3.2,3.5,3.8,3.2
86678,"گوشي موبايل فلاي مدل Epic IQ4602 دو سيم‌کارت
Fly Epic IQ4602 Dual SIM Mobile Phone","309,000",۴.۴,0,"گوشی‌های شرکت «فلای» (Fly) از تازه‌واردین در بازار گوشی‌های همراه کشور هستند. دفتر مرکزی این شرکت در انگلیس و محصولاتش به منظور عرضه به کشورهای آسیایی طراحی و ساخته می‌شوند. گوشی «فلای اپیک» (Fly Epic) یکی از محصولات میان‌رده‌ی این شرکت مبتنی بر سیستم‌عامل اندروید است. این گوشی از جنس پلاستیک ساخته شده و نزدیک به 8 میلی‌متر ضخامت و 200 گرم وزن دارد. نمایشگری 6 اینچی با رزولوشن 720 در 1280 پیکسل و تراکم 245 پیکسل بر هر اینچ برای فلای اپیک در نظر گرفته شده است. این گوشی از دو سیم کارت پشتیبانی می‌کند. همچنین می‌تواند از شبکه‌ی 3G به عنوان شبکه‌ی ارتباطی استفاده کند. از دیگر فن‌آوری‌های ارتباطی در اپیک می‌توان به Wi-Fi ،GPS، بلوتوث و رادیوی FM اشاره کرد. سخت‌افزار فلای اپیک را تراشه‌ی مدیاتک MT6582 که شامل پردازنده‌ی 4 هسته‌ای با فرکانس 1.3 گیگاهرتز و پردازنده‌ی گرافیکی Mali-400 می‌شود، به همراه 1 گیگابایت رم و 8 گیگابایت حافظه‌ی داخلی تشکیل داده‌اند. دوربین اصلی این گوشی می‌تواند تصاویری با نهایت رزولوشن 8 مگاپیکسل ثبت کند. همچنین می‌توانید از دوربینی با کیفیت 2 مگاپیکسل برای عکاسی سلفی بهره ببرید. این گوشی به سیستم‌عامل اندروید کیت‌کت نسخه‌ی 4.4 مجهز شده است. یک باتری 2300 میلی‌آمپرساعتی برای اپیک در نظر گرفته شده که قابلیت تعویض توسط کاربر را دارد.",4.4,4.4,4.3,4.4,4.4,4.4
86680,"گوشي موبايل فلاي مدل Tornado IQ4511 دو سيم‌کارت
Fly Tornado IQ4511 Dual SIM Mobile Phone",,۳.۹,0,"گوشی‌های شرکت «فلای» (Fly) از تازه‌واردین در بازار گوشی‌های همراه کشور هستند. دفتر مرکزی این شرکت در انگلیس و محصولاتش به منظور عرضه به کشورهای آسیایی طراحی و ساخته می‌شوند. گوشی «فلای تورنادو» (Fly Tornado) یکی از گوشی‌های میان‌رده‌ی این شرکت مبتنی بر سیستم‌عامل اندروید است. این گوشی از جنس پلاستیک ساخته شده البته قاب جلو و پشتی گوشی روکشی از جنس گوریلا گلس 3 دارد. این گوشی نزدیک به 8 میلی‌متر ضخامت و 155 گرم وزن دارد. نمایش‌گری 5 اینچی با رزولوشن 720 در 1280 پیکسل و تراکم 294 پیکسل بر هر اینچ برای فلای تورنادو در نظر گرفته شده است. این گوشی از دو سیم کارت پشتیبانی می‌کند. همچنین می‌تواند از شبکه‌ی 3G به عنوان شبکه‌ی ارتباطی استفاده کند. از دیگر فن‌آوری‌های ارتباطی در دون می‌توان به Wi-Fi ،GPS، بلوتوث و رادیوی FM اشاره کرد. سخت‌افزار فلای تورنادو را تراشه‌ی مدیاتک MT6592M که شامل پردازنده‌ی 8 هسته‌ای با قدرت پردازش 1.4 گیگاهرتز و پردازنده‌ی گرافیکی Mali-400 می‌شود، به همراه دو گیگابایت رم و 16 گیگابایت حافظه‌ی داخلی تشکیل داده‌اند. دوربین اصلی این گوشی می‌تواند تصاویری با نهایت رزولوشن 13 مگاپیکسل ثبت کند. همچنین می‌توانید از دوربینی با کیفیت 5 مگاپیکسل برای عکاسی سلفی بهره ببرید. این گوشی به سیستم‌عامل اندروید کیت‌کت نسخه‌ی 4.4 مجهز شده است. یک باتری 2000 میلی‌آمپرساعتی برای تورنادو در نظر گرفته شده که قابلیت تعویض توسط کاربر را ندارد.",3.9,3.6,3.7,4,4.2,3.8
86682,"گوشي موبايل فلاي مدل Eclipse 3 IQ4514 دو سيم کارت
Fly Eclipse 3 IQ4514 Dual SIM Mobile Phone",,۳.۸,0,"گوشی‌های شرکت «فلای» (Fly) از تازه‌واردان بازار گوشی‌های همراه کشور هستند. دفتر مرکزی این شرکت در انگلیس است و محصولاتش به منظور عرضه به کشورهای آسیایی، طراحی و ساخته می‌شوند. گوشی «فلای اکلیپس3» (Fly Eclipse 3) یکی از گوشی‌های پایین‌رده‌ی این شرکت مبتنی بر سیستم‌عامل اندروید است. این گوشی از جنس پلاستیک ساخته شده و نزدیک به 9 میلی‌متر ضخامت و 154 گرم وزن دارد. نمایشگری 5 اینچی با رزولوشن 720 در1280 پیکسل و تراکم 294 پیکسل بر هر اینچ برای فلای اکلیپس3 در نظر گرفته شده است. این گوشی از دو سیم‌کارت پشتیبانی می‌کند؛ همچنین می‌تواند از شبکه‌ی 3G به عنوان شبکه‌ی ارتباطی استفاده کند. از دیگر فناوری‌های ارتباطی در اکلیپس3 می‌توان به Wi-Fi، GPS، بلوتوث و رادیوی FM اشاره کرد. سخت‌افزار فلای اکلیپس3 را تراشه‌ی مدیاتک مدل MT6582M متشکل از پردازنده‌ی 4 هسته‌ای با قدرت پردازش 1.3 گیگاهرتز و پردازنده‌ی گرافیکی مالی 400، به همراه یک گیگابایت رم و هشت گیگابایت حافظه‌ی داخلی تشکیل داده‌اند. دوربین اصلی این گوشی می‌تواند تصاویری با نهایت رزولوشن 8 مگاپیکسل ثبت کند؛ همچنین از دوربینی با کیفیت 2 مگاپیکسل برای عکاسی سلفی بهره می‌برد. این گوشی به سیستم‌عامل اندروید کیت‌کت نسخه‌ی 4.4 مجهز شده است. یک باتری 2000 میلی‌آمپر ساعتی برای اکلیپس3 در نظر گرفته شده که امکان تعویض آن برای کاربر وجود دارد.",3.7,4,3.6,3.7,3.9,3.9
