id,title,price,userRate,recommendationCount,description,"سهولت در استفاده","عملکرد و کارآیی","کیفیت ساخت","طراحی و زیبایی","ارزش خرید به نسبت قیمت"
228615,"45,000","D-Link NTP-001 Punch Down Tool
آچار پانچ دي-لينک مدل NTP-001",,0,,,,,,,"ابزار شبکه","اتصالات شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
228608,"65,000","D-Link NTC-001 Crimping Tool
آچار پرس دي-لينک مدل NTC-001",,0,,,,,,,"ابزار شبکه","اتصالات شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
225563,"89,000","حسگر هوشمند گل و گياه شياومي
Xiaomi Plant Flower Care Smart Monitor",۳.۸,0,,2,3,4,,,"اينترنت اشيا","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
225292,"89,000","کنترل کننده شياومي مدل Magic Cube
Xiaomi Magic Cube Controller",,0,,,,,,,"اينترنت اشيا","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
224941,"289,000","دوربین تحت شبکه فوسکم مدل HT9873P
Foscam HT9873P Network Camera",,0,,,,,,,"دوربين هاي تحت شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
224939,"279,000","دوربین تحت شبکه فوسکم مدل HT9852P
Foscam HT9852P Network Camera",۴,0,,4,4,4,4,4,"دوربين هاي تحت شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
224880,"790,000","دوربين تحت شبکه پاناسونيک مدل BL-VP104WE
Panasonic BL-VP104WE Network Camera",,0,,,,,,,"دوربين هاي تحت شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
224696,"6,000","پچ کورد Cat 6 بدون شيلد سايز 24AWG دي-لينک مدل NCB-C6UGRYR1-05 طول 50 سانتي‌ متر
D-Link NCB-C6UGRYR1-05 Cat 6 24AWG UTP Patch Cord - 50CM",۵,0,,,,,,"کابل شبکه (LAN)","اتصالات شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
224384,"139,000","TP-Link TL-SG105 5-Port Gigabit Desktop Switch
سوييچ گيگابيتي 5 پورت دسکتاپ تي پي-لينک مدل TL-SG105",,0,,,,,,,سوييچ,"تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
224375,"177,000","TP-LINK Archer C25 AC900 Wireless Dual Band Router
روتر بي‌سيم و دوباند AC900 تي پي-لينک مدل AC900",۲.۸,0,,2,2,4,4,2,"روتر و اکسس پوينت","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
223534,"82,000","مودم 3G USB دي-لينک مدل DWM-157 V.1
D-Link DWM-157 V.1 3G USB Modem",۵,0,,,,,,,"مودم همراه 3G و 4G","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
220717,"335,000","هشدار دهنده صوتي دي-لينک مدل Siren DCH-Z510
D-Link Siren DCH-Z510 Sound Alarm",,0,,,,,,,"اينترنت اشيا","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
219694,"345,000","مودم همراه 4G LTE بي سيم تندا مدل 4G185
Tenda 4G185 4G LTE Modem",,0,,,,,,,"مودم همراه 3G و 4G","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
