id,title,price,userRate,recommendationCount,description,"کارآیی و عملکرد","امکانات و قابلیت‌ها","کیفیت ساخت","طراحی و ظاهر","ارزش خرید در برابر قیمت"
253032,"255,000","مودم روتر ADSL2 Plus و VDSL2 Plusبي‌سيم دوبانده دي-لينک مدل DSL-2877AL
D-Link DSL-2877AL Dual-Band Wieless AC750 ADSL2 Plus and VDSL2 plus Modem Router",,0,,,,,,,"مودم - روتر ADSL","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
198454,"52,000","D-Link DES-105 5-Port Desktop Switch
سوييچ 5 پورت دسکتاپ دي-لينک مدل DES-105",,0,,,,,,,سوييچ,"تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
194552,"971,000","قفل هوشمند واچ لاک مدل Economy
WatchLock Economy Smart Lock",۱,0,,,قفل,"حفاظتي و امنيتي","ابزار غير برقي","ابزار و الکتريک","فروشگاه اینترنتی دیجی کالا"
182539,"289,000","Huawei HiLink Carfi E 8377 4G Modem
مودم 4G هوآوي مدل HiLink Carfi E 8377",۳,0,,3.3,2.9,3.1,2.8,2.9,"مودم همراه 3G و 4G","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
178953,"440,000","ASUS DSL-N55U_D1 N600 Wireless Modem Router
مودم روتر بي‌سيم N600 ايسوس مدل DSL-N55U_D1",۴.۲,0,,4,4.3,4.3,,2.7,"مودم - روتر ADSL","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
172011,"655,000","Qnap RAIL-A03-57 Rail Kit for 2U and 3U Rackmount NAS
کيت ريل کيونپ مدل RAIL-A03-57 براي ذخيره سازهاي تحت شبکه رکمونت 2U و 3U",,0,,,,,,"لوازم جانبي NAS","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
162980,"63,000","D-LINK DES-108 8-Port Desktop Switch
سوييچ 8 پورت دسکتاپي دي-لينک مدل DES-108",,0,,,,,,,سوييچ,"تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
162624,"558,000","D-Link DIR-869 Wireless Router
روتر بي‌ سيم دي-لينک مدل DIR-869",۵,0,,,,,,,"روتر و اکسس پوينت","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
155679,"3,790,000","AHD Negron Retail Industrial Surveillance 16Cameras Network Video Recorder
سيستم امنيتي اي اچ دي نگرون کاربري صنعتي 16 دوربين",۵,0,,3,2.6,3,3,2.9,"ضبط کننده ويديويي تحت شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
155625,"2,590,000","AHD Negron Retail Store Surveillance 12Cameras Network Video Recorder
سيستم امنيتي اي اچ دي نگرون کاربري فروشگاهي 12 دوربين",۵,0,,,,,,,"ضبط کننده ويديويي تحت شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
155157,"47,000","TOTOLINK N150UA Wireless Network Adapter
کارت شبکه‌ي بي‌سيم توتولينک مدل N150UA",۴.۱,0,,4.3,4.5,4.5,4.3,3.5,"کارت شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
155049,"37,000","TOTOLINK N300UM Wireless Network Adapter
کارت شبکه‌ بي‌سيم توتولينک مدل N300UM",۳.۹,0,,4.3,3.9,3.6,3.4,3.8,"کارت شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
155036,"55,000","TOTOLINK N150UH Wireless Network Adapter
کارت شبکه‌ي بي‌سيم توتولينک مدل N150UH",۴.۱,0,,,,4,4,3,"کارت شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
151791,"136,000","Linksys AE2500-EE N300 Network Adapter
کارت شبکه N300 لينک سيس مدل AE2500-EE",۴.۲,0,,,,3,4,4,"کارت شبکه","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
151656,"518,000","Linksys LGS108P-EU Switch
سوييچ لينک سيس مدل LGS108P-EU",۵,0,,,,,,,سوييچ,"تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
151653,"1,100,000","Linksys LGS116P-EU Switch
سوييچ لينک سيس مدل LGS116P-EU",۵,0,,,,,,,سوييچ,"تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
151550,"875,000","Linksys EA7500-EU Dual-Band AC1900 Wireless Router
روتر دو بانده بي‌سيم AC1900 لينک سيس مدل EA7500-EU",۴.۷,0,,4.8,4.8,4.7,4.7,4.5,"روتر و اکسس پوينت","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
151538,"187,000","Linksys E1700-EK N300 Wireless Router
روتر بي‌سيم N300 لينک سيس مدل E1700-EK",۵,0,,,,,,,"روتر و اکسس پوينت","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
149348,"65,500","TP-LINK TD-W8151N 150Mbps Wireless N ADSL2 Plus Modem Router
مودم روتر بي‌سيم تي پي-لينک سري +ADSL2 مدل TD-W8151N",۳.۶,0,,3.8,3.3,3.6,3.6,3.8,"مودم - روتر ADSL","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
145132,"166,000","D-Link DWR-720 3G Modem
مودم همراه 3G بي سيم دي-لينک مدل DWR-720",۳.۶,0,,3.6,3.4,4,3.6,3.5,"مودم همراه 3G و 4G","تجهيزات شبکه و ارتباطات","کامپيوتر و تجهيزات جانبي","کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
