id,price,userRate,recommendationCount,"کیفیت ساخت",نوآوری,"امکانات و قابلیت ها","سهولت استفاده","طراحی و ظاهر","ارزش خرید به نسبت قیمت"
224623,"799,000",۳.۸,0,4,3.5,4,4.5,3.5,3
223081,"675,000",۳.۷,0,3.8,3.6,3.8,3.7,3.5,3.5
223027,"639,000",۳.۸,0,3.8,3.7,3.8,3.8,3.7,4
222634,"759,000",۴,0,4.1,3.8,4.1,4,4.3,3.9
220038,"979,000",۴,0,4.1,3.7,4,4,4.2,3.8
218673,"1,099,000",۳.۴,0,3.6,3.3,3.3,3.4,3.4,3.5
218659,"1,999,000",۴.۱,0,4.4,3.8,4.1,4.3,4.3,3.8
215752,"335,000",۳.۱,0,3,3.1,3,3.1,3.2,3.5
215701,"345,000",۳.۵,0,3.4,3.2,3.5,3.5,3.5,3.8
215561,"345,000",۳.۹,0,4,3.8,3.7,3.7,4.2,4
214989,"775,000",۳.۳,0,3.5,3,2.9,3.3,3.7,3.3
214094,"425,000",۳.۷,0,3.6,3.4,3.8,3.8,3.8,3.6
212126,"1,459,000",۲.۶,0,2.9,2.3,2.4,2.7,2.8,2.1
212035,"1,215,000",۴,0,4.2,3.6,3.9,4.1,4.2,3.6
211930,"800,000",۴.۲,0,4.3,3.8,4.2,4.3,4.3,4.2
211636,"560,000",۳.۳,0,3.2,3.3,3.3,3.7,3.5,2.3
211595,"410,000",۳.۴,0,3,3,3.3,3.7,4,3.7
209707,"179,000",۳.۴,0,3.4,3.2,3.2,3.4,3.5,3.6
208798,"145,000",۳,0,3.1,2.7,2.7,3.3,3.4,2.7
208239,"2,669,000",۳.۸,0,3.9,3.7,3.9,3.9,4,3.3
204355,"695,000",۳.۶,0,3.6,3.4,3.6,3.7,3.6,3.5
201571,"2,269,000",۳.۸,0,4,3.7,3.8,3.8,4,3.5
201434,"79,000",۳.۲,0,3.2,2.8,3.2,3.5,3.3,3.6
201175,"245,000",۲.۴,0,2.5,2.2,2.3,2.7,2.4,2.9
200760,"249,000",,0,,,,,,
200745,"155,000",۲.۸,0,3.5,2.5,2,3,3.5,2.5
200246,"1,929,000",۴.۱,0,4.6,3.9,4.2,4.2,4.2,3.3
200194,"1,135,000",۳.۶,0,3.8,3.3,3.6,3.7,3.5,3.2
