id,price,userRate,recommendationCount,"ارزش خرید به نسبت قیمت","طراحی و ظاهر","امکانات و قابلیت ها","سهولت استفاده","کیفیت ساخت",نوآوری
226565,"6,055,000",۴.۸,0,4.5,,4.5,,,
226560,"4,195,000",۴.۹,0,4,,,,,
226549,"5,195,000",,0,,,,,,
224539,"5,645,000",,0,,,,,,
224529,"3,799,000",,0,,,,,,
224526,"4,795,000",,0,,,,,,
222347,"499,000",۳,0,3,3,3,3,3,3
221344,"1,699,000",۴,0,4,4.2,4,4.1,4.3,3.5
215847,"515,000",۳.۵,0,3.8,3.8,3.5,3.5,3.4,3.3
212601,"7,097,000",۵,0,,,,,,
208684,"2,045,000",۲.۵,0,1.3,3,2.4,2.8,2.8,2.6
206223,"355,000",۳,0,3.2,3.5,2.6,3.1,3.1,2.7
204431,"1,199,000",۳.۷,0,4,3.8,3.8,3.8,3.6,3.3
202667,"3,625,000",۳.۵,0,4,4,3.7,3.7,3.7,2
202582,"4,849,000",۳,0,3,3,3,3,3,3
202314,"1,099,000",۳.۶,0,3.5,3.8,3.7,3.7,3.6,3.4
202141,"799,000",۳.۸,0,3.9,4,3.8,3.7,3.6,3.6
201756,"239,000",۲,0,1.8,2,2,2,2,2
201703,"3,199,000",۳.۶,0,2.6,4,3.8,3.6,3.6,3.7
199425,"9,299,000",۳.۵,0,1.9,3.6,3.4,3.6,4,3.7
199423,"5,949,000",,0,,,,,,
199418,"3,995,000",,0,,,,,,
199356,"9,797,000",۳.۲,0,2.6,2.8,3.6,3.2,3,3.2
199345,"6,197,000",۴.۵,0,2.5,,,4.5,,4
199324,"4,197,000",۴.۸,0,4.7,,,,,4
199312,"5,197,000",۳.۸,0,3,4,3.5,4,4,4
199153,"4,485,000",۳.۶,0,3,3.8,3.7,4,3.9,2.9
198711,"399,000",۳,0,3.5,3.3,3,3.1,2.7,2.5
198647,"1,483,000",۳.۶,0,3.4,3.7,3.8,3.9,3.6,3.4
196912,"1,015,000",۳.۷,0,3.7,3.8,3.7,3.6,3.8,3.6
192658,"2,910,000",۲.۷,0,2.3,2.7,2.7,2.8,2.8,2.6
185345,"2,750,000",۴,0,3.9,4.3,4.1,3.9,3.9,4.1
177887,"359,000",۳.۶,0,3.8,3.8,3.6,3.8,3.6,3.2
177830,"329,000",۳.۴,0,3.7,3.6,3.4,3.7,3.1,2.9
177819,"265,000",۳.۳,0,3.5,3.4,3.4,3.6,3.1,3.2
173097,"670,000",۳.۷,0,3.9,3.9,3.7,3.8,3.7,3.5
172179,"800,000",۳.۳,0,3.3,3.4,3.2,3.1,3.4,3.2
165582,"709,000",۳.۳,0,3.9,3.5,3.2,3.4,3.1,2.8
165555,"299,000",۲.۹,0,3.5,3.1,2.9,2.7,2.5,2.7
164620,"440,000",۳.۴,0,3.6,3.5,3.4,3.4,3.3,3.1
162102,"1,859,000",۳.۴,0,3.4,3.6,3.5,3.4,3.1,3.5
