method_id,measure_id,category_id,aspect_id,result
2,1,4,1,0.655555
2,2,4,1,0.716022
2,3,4,1,0.684455633
2,1,4,2,0.523333
2,2,4,2,0.642222
2,3,4,2,0.576714039
2,1,4,3,0.664444
2,2,4,3,0.694444
2,3,4,3,0.679112847
2,1,4,4,0.345555
2,2,4,4,0.4333555
2,3,4,4,0.384506718
2,1,4,5,0.611111
2,2,4,5,0.643333
2,3,4,5,0.626808168
2,1,4,6,0.345555
2,2,4,6,0.4333555
2,3,4,6,0.384506718
2,1,4,7,0.600445
2,2,4,7,0.595555
2,3,4,7,0.597990003
2,1,4,8,0.575666
2,2,4,8,0.632676
2,3,4,8,0.602826124
2,1,4,15,0.604254
2,2,4,15,0.660647
2,3,4,15,0.631193417
