method_id,measure_id,category_id,aspect_id,result
3,1,4,1,0.71553432
3,2,4,1,0.776022
3,3,4,1,0.744551669
3,1,4,2,0.593333
3,2,4,2,0.732222
3,3,4,2,0.655501244
3,1,4,3,0.724333
3,2,4,3,0.754644
3,3,4,3,0.739177895
3,1,4,4,0.435666
3,2,4,4,0.553555
3,3,4,4,0.487585873
3,1,4,5,0.691456
3,2,4,5,0.743878
3,3,4,5,0.716709708
3,1,4,6,0.447876
3,2,4,6,0.536654
3,3,4,6,0.488262312
3,1,4,7,0.672221
3,2,4,7,0.645555
3,3,4,7,0.658618199
3,1,4,8,0.725666
3,2,4,8,0.762555
3,3,4,8,0.74365331
3,1,4,15,0.624254
3,2,4,15,0.661647
3,3,4,15,0.64240682
