id,bestEntropyAspectId,text,like,dislike,1-rate,2-rate,3-rate,4-rate,5-rate,6-rate,1-entropy,2-entropy,3-entropy,4-entropy,5-entropy,6-entropy
1,6,العاده,1,0,5,5,5,5,5,5,-1.3056830037165,-1.1673455887277,-1.2353541057478,-1.2111092152868,-1.199999958424,-1.4150820010195
2,6,"رنج قیمتی اینو نمیکنید",1,0,5,5,5,5,5,5,-1.3867325693694,-1.3183197272537,-1.3665042443844,-1.289690247337,-1.3270333346691,-1.4840760928417
3,6,"عالی خریدم راضی",3,0,5,5,5,5,3,5,-1.32565971652,-1.2559829751829,-1.3003717970164,-1.2508491547504,-1.2365507171891,-1.4117126265602
4,6,"نزدیک ماه گوشی خریدم اولین بارم برند هواوی میکنم خرید گوشی اعتمادی برند",6,0,5,4,4,5,4,5,-1.396334126973,-1.3302832345394,-1.3808394508053,-1.3354313550287,-1.3139497379169,-1.481253086967
5,6,"مجبور خرید گوشی بودجه محدود",6,0,5,4,4,5,4,5,-1.4432413107591,-1.3298172416919,-1.4214933167872,-1.3682637187474,-1.3267160340373,-1.5128632143336
7,6,"رنج قیمت بررسی توجه امکانات سخت افزاری",6,0,5,4,4,5,4,5,-1.4500755108162,-1.354454272531,-1.3882206831256,-1.3529036071503,-1.3705370316018,-1.5117385269484
8,6,"ظاهری مدل انتخاب واسه مهم اجرای بازی ونرم افزارهای کیفیت دوربین واسه اهمیتی نداره",6,0,5,4,4,5,4,5,-1.4590653793481,-1.3270850754135,-1.3894920243984,-1.3209143277765,-1.3227901855601,-1.4944116124378
9,6,"عکس کار دستگاه کار دوربین عکاسیه هرحال بازی",6,0,5,4,4,5,4,5,-1.3933065097706,-1.3055298123135,-1.3348638620495,-1.314773783359,-1.3108301943993,-1.4085980150058
10,6,"نرم افزاری گوشی نصب اونم همزمان",6,0,5,4,4,5,4,5,-1.4750684767257,-1.3733433325542,-1.4336323782007,-1.3930549158799,-1.3764592871887,-1.5311558906077
13,6,"بیتی cpu هسته کوالکوم اینتل بالاتر فول صفحه حداقل",3,7,3,3,3,3,3,3,-1.401756645186,-1.3282324805587,-1.3697358103878,-1.3297025464973,-1.3331341436948,-1.4835219304195
14,6,"اینچی دوربین حداقل باشه باتری تعویض 3000 بالاتر بدنه فلزی",3,7,3,3,3,3,3,3,-1.4624443847248,-1.381268425716,-1.4133130642467,-1.3852889717516,-1.3711234154419,-1.5071696543532
15,6,"حدود ماه خریدم پیشنهاد",2,1,3,3,3,3,3,3,-1.4166852289132,-1.3405634665044,-1.372071671217,-1.3236373126514,-1.3252762593663,-1.4693637463988
16,6,سلام,1,11,4,4,5,5,5,4,-1.498633244472,-1.4208790298295,-1.4488809636535,-1.40772922562,-1.3956820818901,-1.5282987308927
17,6,"گوشی حدود ماهه",1,11,4,4,5,5,5,4,-1.3674152531396,-1.2900274929237,-1.319256471181,-1.2804098111956,-1.2500392284871,-1.4418770420169
18,6,"طراحی زیبایی داره سخت افزارش مناسبه",1,11,4,4,5,5,5,4,-1.4345948101775,-1.3138005052135,-1.3826020136304,-1.3502933258109,-1.3233376344301,-1.5194041781337
19,6,"نسبت محصولات htc Samsung رنج قیمتی برتری داره",1,11,4,4,5,5,5,4,-1.4880765416574,-1.3349048238735,-1.4033036579531,-1.3392226328258,-1.3908079130316,-1.5279908777177
21,6,"دوستان گوشی برادرم کیفیت دوربین وصفحه نمایش ظاهر زیبای دیدم",7,8,5,5,4,5,3,4,-1.4193480847684,-1.3053468603695,-1.3680079615633,-1.3339124485636,-1.29799028502,-1.4579492379857
22,6,دیدم,7,8,5,5,4,5,3,4,-1.4248538302753,-1.3496599041683,-1.3755578463544,-1.3389475065079,-1.3370353796186,-1.4724508894979
24,6,"موبایل فروشی گوشی مقایسه دیدم مقایسه",7,8,5,5,4,5,3,4,-1.4410368488752,-1.3387008223084,-1.3930943843193,-1.3684428782874,-1.3501855602683,-1.4762752916836
25,6,"منصرف خریدم راضی",7,8,5,5,4,5,3,4,-1.4415495753235,-1.3666419815918,-1.4216836735167,-1.3644875981196,-1.3540170014408,-1.506514818704
26,6,تشکر,7,8,5,5,4,5,3,4,-1.4667871571112,-1.3697494412366,-1.4208882536986,-1.3728139592695,-1.3702140207212,-1.4898704040097
27,6,"گوشی خوبی بازه قیمتی",6,3,5,4,4,4,5,3,-1.3904113494742,-1.3055190923186,-1.3558126371675,-1.312044312968,-1.3244759223706,-1.4534949017795
28,6,سلام,6,10,5,4,4,3,3,3,-1.498633244472,-1.4208790298295,-1.4488809636535,-1.40772922562,-1.3956820818901,-1.5282987308927
29,6,"بروید مقایسه محصول متوجه میشوید",6,10,5,4,4,3,3,3,-1.4324018048936,-1.2470097579947,-1.2869214651819,-1.2339829067717,-1.2248467334633,-1.4537939515194
30,6,"هواوی اسند گوشی گوشی خوبی هواوی",6,10,5,4,4,3,3,3,-1.3485402255513,-1.3370455878665,-1.3799325876265,-1.3375563247188,-1.32906296274,-1.4574385613853
31,6,"کاربردی درد بخوره",8,3,3,3,3,3,3,3,-1.4501260294465,-1.3716980275137,-1.4248165934536,-1.4282686042637,-1.3527001683682,-1.4752299175675
32,6,نظر,8,3,3,3,3,3,3,3,-1.4693816338132,-1.3155722974032,-1.3749255870061,-1.365061917391,-1.3449371207985,-1.516382356409
33,6,سلام,6,6,3,3,4,4,3,2,-1.498633244472,-1.4208790298295,-1.4488809636535,-1.40772922562,-1.3956820818901,-1.5282987308927
34,6,"دوستانی هونور ایکس گوشی میکشن",6,6,3,3,4,4,3,2,-1.3193966153659,-1.2749603035216,-1.3207918476996,-1.3305556607849,-1.2241066929075,-1.4601735794228
36,6,"گوشی ساپورت میکنه",6,6,3,3,4,4,3,2,-1.4410296026924,-1.3436433807357,-1.4141135582867,-1.3512958441373,-1.3494789559244,-1.5108540271419
37,6,"مزایا معایب گوشی",6,6,3,3,4,4,3,2,-1.4804682938485,-1.3874839586179,-1.4459294301239,-1.416886113411,-1.4048620554933,-1.5316232447738
