id,score,value
61254,233,Z3
61487,212,جناب
60624,190,1394
71306,168,compact
73872,162,J700F
71314,150,ifa
64106,149,حسینی
65734,144,متاسفم
61502,144,چگالی
69053,130,j1
73562,129,j2
61626,126,TD
74660,124,ردهاش
73407,119,پین
61498,117,مهمان
60460,115,آقای
71271,114,پسرفت
59723,109,G7
64302,106,سرمه
60586,105,یانه
73093,105,768
60846,103,E7
64496,102,Beat
64105,102,اسراء
59184,101,L01
61037,98,راهنماییم
60043,94,کارتش
66351,93,آلکاتل
64546,91,مربع
72028,90,امیری
64281,90,فرمول
66344,90,انگلیس
61925,90,TL00
64334,87,زحمتی
60769,86,k3
59531,86,M4
60132,78,پیشه
61625,78,UL20
66662,76,fly
61971,76,کارتشو
61957,74,بابا
68319,72,vowney
77420,72,J700H
59724,72,L11
69009,72,780
66875,72,بایستی
72214,72,گرمایش
75705,72,×
73859,71,مقدس
60104,68,افتضاح
60298,68,میدونه
62221,68,اصله
63462,68,طوره
62241,67,فیروزه
68412,67,ایسر
61968,66,کارتی
74043,65,vs
87367,65,darker
74270,63,واگرنه
60897,62,سیمشو
62563,62,کاربرش
60860,62,94
66267,62,فلای
66594,61,جیونی
64264,61,knox
69932,61,متعصب
66350,60,اسپایدر
61637,60,FHD
61128,60,حاجی
68255,59,سختیه
77605,58,626
64803,58,چقدره
64282,57,معجزه
64325,57,تعیین
71760,57,جوگیر
68707,56,root
75754,55,تکنولوژى
71217,54,نیک
66422,54,جدیدشون
63554,54,920f
66947,54,vivo
64939,54,نگفتید
61216,54,launcher
68429,54,A6000
66666,54,amigo
64520,54,چنجر
66775,54,آکوا
65341,54,نریزید
63821,54,نامعتبره
61488,54,ذاکری
60878,54,P70
66501,54,منصوری
73055,54,مناسبت
61394,54,ایرانسیل
71915,54,نتیج
75777,53,ورشکست
58987,53,کوالکوم
62421,52,میخرن
67656,52,کپي
71913,52,Elephone
64241,52,بخواطر
