id,score,value
58915,175017,گوشی
58994,42567,صفحه
59047,34428,دوربين
59302,32088,یه
59106,30254,عالیه
58947,28818,دوربین
58911,27823,عالي
58908,27666,عالی
59083,25071,نظر
58946,23325,کیفیت
59178,22216,کيفيت
59682,21910,شارژ
59110,21588,سامسونگ
58951,20985,کار
59028,20556,نسبت
58902,20443,العاده
59196,18496,اگه
58960,17944,دیگه
58936,17496,سخت
59235,16736,خوبه
59238,16712,دیجی
59104,16281,نمايش
59013,15995,دست
58933,15930,قیمت
59247,15567,سرعت
61295,15425,اثر
59524,15084,افزار
60404,14648,انگشت
59021,14369,سلام
59403,14250,بهترین
59069,13815,باتري
59048,13740,دوستان
59720,13609,رنگ
58943,12992,بازی
59052,12855,نمایش
59066,12557,خوبی
58921,12341,خرید
59239,12320,کالا
59068,12208,خوش
59046,11668,مناسب
59233,11427,حافظه
59152,11358,اون
59181,11325,اندروید
58989,11302,رم
60255,11133,اپل
59045,11081,طراحي
58999,11076,باتری
59151,10739,مشکل
59258,10530,ازش
58926,10434,امکانات
59002,10413,بدنه
62074,10344,حسگر
59131,10237,توی
59388,10054,شک
59762,10030,ساخت
59006,9769,جی
59132,9765,برنامه
59280,9586,گوشي
59422,9552,ک
59010,9421,زيبا
59108,9408,اس
59007,9352,پیشنهاد
58910,9126,راضی
58912,9070,قوي
59115,8557,نور
59229,8369,قيمت
59038,8364,مقایسه
59227,8297,زیاد
59213,8254,سونی
58914,8071,ماه
60314,8053,آیفون
59166,8019,داغ
59554,7991,چي
59236,7991,قیمتش
58955,7943,نرم
59452,7886,رابط
58938,7744,مدل
59550,7698,باطري
59297,7640,هنگ
59381,7435,باهاش
58935,7337,توجه
61199,7283,بازار
60110,7272,موجود
59315,7257,راضیم
59588,7254,لحاظ
59484,7234,سی
59018,7210,کارت
58975,7121,مشکلی
59730,7093,ساعت
60725,7067,سریع
59101,7037,باطری
59290,7019,خوبیه
59111,6977,بهتره
59004,6909,حدود
59023,6817,طراحی
58950,6808,عکس
58918,6766,برند
59328,6746,دوربینش
59289,6668,گوشیه
59180,6612,هيچي
61070,6607,ال
